Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/01/2019,11.5,25.2,0,,,S,37,14:50:00,18.9,70,,NW,7,1013.2,22.3,58,,SSE,20,1012.4
2/01/2019,15,22.7,0,,,S,37,16:15:00,18.6,68,,S,15,1014.5,21.9,55,,SSE,17,1013.8
3/01/2019,14,27.1,0,,,NNE,35,12:28:00,19.6,69,,E,7,1012.9,24.3,58,,SE,13,1010.6
4/01/2019,16.5,44.3,0,,,S,54,14:04:00,27,47,,NNE,9,1004.2,27.7,50,,S,37,1001.8
5/01/2019,14.4,22.7,0,,,S,41,15:54:00,16.6,57,,SW,15,1013.2,21.2,38,,S,24,1013
6/01/2019,11.3,23.5,0,,,S,39,16:06:00,18.7,48,,SW,19,1020.5,22.7,44,,SSE,20,1019.3
7/01/2019,16.4,22.8,0,,,S,35,17:48:00,18.4,62,,ESE,9,1020.1,21.4,53,,SSE,17,1016.7
8/01/2019,14.1,23.9,0,,,SSW,44,14:43:00,18.8,75,,SW,6,1012.1,20.7,63,,S,26,1010.1
9/01/2019,13.7,21.3,0,,,SSE,44,13:45:00,16.7,64,,SW,17,1016.3,19.8,42,,S,26,1017
10/01/2019,8.9,22.3,0,,,SSE,30,17:29:00,16.5,53,,WNW,6,1020.3,21.4,40,,SSE,17,1018.6
11/01/2019,11.8,28.8,0,,,S,31,12:31:00,19.4,64,,SE,7,1016.6,25.7,49,,SSE,19,1013.1
12/01/2019,16.8,23.9,0,,,S,50,15:14:00,21.3,64,,SSE,13,1015.9,21.8,50,,S,31,1017.4
13/01/2019,14.7,26.1,0,,,SE,46,16:04:00,19.7,68,,SE,17,1021,25,59,,S,28,1018.3
14/01/2019,15.9,32.5,0,,,SSW,37,17:07:00,21.7,79,,SSW,4,1013.1,28.2,54,,S,24,1010.3
15/01/2019,16.9,33.3,0,,,S,33,12:18:00,21.6,97,,ENE,4,1009.5,23.5,68,,S,13,1009.2
16/01/2019,16.5,26.5,0,,,S,48,12:58:00,21.2,83,,NNE,6,1011.1,20.8,74,,S,28,1012.3
17/01/2019,18.9,35.3,0,,,WNW,46,13:24:00,21.3,93,,S,11,1009.2,31.5,37,,NW,13,1006.8
18/01/2019,21.1,25.7,1.8,,,SW,48,18:45:00,22.3,89,,NW,7,1008.8,23.5,86,,SSE,13,1008.5
19/01/2019,12.7,23.3,0.2,,,S,37,14:14:00,18.7,61,,WSW,13,1020.8,22,48,,S,22,1021.7
20/01/2019,14.8,24,0,,,SSE,35,16:21:00,18.3,82,,SW,7,1022,23.2,60,,S,20,1020.9
21/01/2019,17.6,25.2,0,,,SE,39,12:46:00,18.8,93,,SE,6,1018.5,24.6,63,,SSE,19,1014.8
22/01/2019,16.9,27,0,,,S,37,18:28:00,18.7,93,,SE,6,1013.5,25.8,59,,S,17,1011.9
23/01/2019,15.7,24,0,,,SSE,37,17:28:00,19.2,89,,SSE,13,1016.7,22.4,62,,SSE,17,1016
24/01/2019,16.4,37.7,0,,,S,28,14:39:00,21.7,92,,ENE,11,1013.7,35.1,30,,NE,7,1009
