,date,mintemp,maxtemp,rainfall,dir_maxgust,spd_maxgust,time_maxgust,9am_temp,9am_rh,9am_wd,9am_ws,9am_mslp,3pm_temp,3pm_rh,3pm_wd,3pm_ws,3pm_mslp,month
0,2019-01-01,11.5,25.2,0.0,S,37.0,14:50:00,18.9,70.0,NW,7,1013.2,22.3,58.0,SSE,20,1012.4,1
1,2019-01-02,15.0,22.7,0.0,S,37.0,16:15:00,18.6,68.0,S,15,1014.5,21.9,55.0,SSE,17,1013.8,1
2,2019-01-03,14.0,27.1,0.0,NNE,35.0,12:28:00,19.6,69.0,E,7,1012.9,24.3,58.0,SE,13,1010.6,1
3,2019-01-04,16.5,44.3,0.0,S,54.0,14:04:00,27.0,47.0,NNE,9,1004.2,27.7,50.0,S,37,1001.8,1
4,2019-01-05,14.4,22.7,0.0,S,41.0,15:54:00,16.6,57.0,SW,15,1013.2,21.2,38.0,S,24,1013.0,1
5,2019-01-06,11.3,23.5,0.0,S,39.0,16:06:00,18.7,48.0,SW,19,1020.5,22.7,44.0,SSE,20,1019.3,1
6,2019-01-07,16.4,22.8,0.0,S,35.0,17:48:00,18.4,62.0,ESE,9,1020.1,21.4,53.0,SSE,17,1016.7,1
7,2019-01-08,14.1,23.9,0.0,SSW,44.0,14:43:00,18.8,75.0,SW,6,1012.1,20.7,63.0,S,26,1010.1,1
8,2019-01-09,13.7,21.3,0.0,SSE,44.0,13:45:00,16.7,64.0,SW,17,1016.3,19.8,42.0,S,26,1017.0,1
9,2019-01-10,8.9,22.3,0.0,SSE,30.0,17:29:00,16.5,53.0,WNW,6,1020.3,21.4,40.0,SSE,17,1018.6,1
10,2019-01-11,11.8,28.8,0.0,S,31.0,12:31:00,19.4,64.0,SE,7,1016.6,25.7,49.0,SSE,19,1013.1,1
11,2019-01-12,16.8,23.9,0.0,S,50.0,15:14:00,21.3,64.0,SSE,13,1015.9,21.8,50.0,S,31,1017.4,1
12,2019-01-13,14.7,26.1,0.0,SE,46.0,16:04:00,19.7,68.0,SE,17,1021.0,25.0,59.0,S,28,1018.3,1
13,2019-01-14,15.9,32.5,0.0,SSW,37.0,17:07:00,21.7,79.0,SSW,4,1013.1,28.2,54.0,S,24,1010.3,1
14,2019-01-15,16.9,33.3,0.0,S,33.0,12:18:00,21.6,97.0,ENE,4,1009.5,23.5,68.0,S,13,1009.2,1
15,2019-01-16,16.5,26.5,0.0,S,48.0,12:58:00,21.2,83.0,NNE,6,1011.1,20.8,74.0,S,28,1012.3,1
16,2019-01-17,18.9,35.3,0.0,WNW,46.0,13:24:00,21.3,93.0,S,11,1009.2,31.5,37.0,NW,13,1006.8,1
