,PRCP,TAVG,index,Cbd_Regional,total,left,left_avg,year,day,hour
2019-01-01,0.0,65.5,0,cbd,13.0,6.0,1.0,2019.0,1.0,13.0
2019-01-02,0.0,65.0,1,cbd,18.0,8.0,1.0,2019.0,2.0,11.0
2019-01-03,0.0,87.5,2,cbd,7.0,3.5,1.0,2019.0,3.0,12.0
2019-01-04,1.5239999999999998,59.5,3,cbd,19.0,9.0,1.0,2019.0,4.0,11.0
2019-01-05,0.0,65.5,4,cbd,17.0,8.0,1.0,2019.0,5.0,12.0
2019-01-06,1.016,54.5,5,cbd,15.0,7.0,1.0,2019.0,6.0,10.0
2019-01-07,0.0,51.5,6,cbd,19.0,9.0,1.0,2019.0,7.0,11.0
2019-01-08,0.0,51.5,7,cbd,20.0,10.0,1.0,2019.0,8.0,12.0
2019-01-09,0.0,60.0,8,cbd,16.0,8.0,1.0,2019.0,9.0,10.0
2019-01-10,0.0,51.0,9,cbd,21.0,10.0,1.0,2019.0,10.0,11.0
2019-01-11,0.0,76.5,10,cbd,21.0,11.0,1.0,2019.0,11.0,12.0
2019-01-12,1.27,57.0,11,cbd,17.0,8.0,1.0,2019.0,12.0,13.0
2019-01-13,0.0,70.5,12,cbd,16.0,7.0,1.0,2019.0,13.0,11.0
2019-01-14,0.0,80.0,13,cbd,16.0,7.0,1.0,2019.0,14.0,12.0
2019-01-15,0.0,78.0,14,cbd,15.0,7.0,1.0,2019.0,15.0,11.0
2019-01-16,0.254,72.0,15,cbd,25.0,12.0,1.0,2019.0,16.0,12.0
2019-01-17,0.0,82.0,16,cbd,18.0,8.0,1.0,2019.0,17.0,10.0
2019-01-18,0.508,75.0,17,cbd,27.0,14.0,1.0,2019.0,18.0,11.0
2019-01-19,1.016,65.0,18,cbd,20.0,9.0,1.0,2019.0,19.0,12.0
2019-01-20,0.0,68.0,19,cbd,12.0,5.0,1.0,2019.0,20.0,13.0
2019-01-21,0.0,72.5,20,cbd,17.0,8.0,1.0,2019.0,21.0,11.0
2019-01-22,0.0,74.0,21,cbd,22.0,9.0,1.0,2019.0,22.0,12.0
2019-01-23,0.0,69.0,22,cbd,16.5,8.0,1.0,2019.0,23.0,10.0
2019-01-24,0.0,81.0,23,cbd,19.0,9.0,1.0,2019.0,24.0,11.0
2019-01-25,0.0,92.5,24,cbd,26.0,13.0,1.0,2019.0,25.0,12.0
2019-01-26,0.0,71.5,25,cbd,17.0,8.0,1.0,2019.0,26.0,10.0
2019-01-27,0.0,74.0,26,cbd,22.0,10.0,1.0,2019.0,27.0,11.0
2019-01-28,0.0,72.0,27,cbd,10.0,5.0,1.0,2019.0,28.0,10.0
2019-01-29,0.0,78.5,28,cbd,15.5,8.0,1.0,2019.0,29.0,11.0
2019-01-30,0.0,77.0,29,cbd,14.0,6.0,1.0,2019.0,30.0,12.0
2019-01-31,1.5239999999999998,66.5,30,cbd,16.0,7.0,1.0,2019.0,31.0,13.0
2019-02-01,0.0,69.5,31,cbd,30.5,14.0,1.0,2019.0,1.0,11.0
2019-02-02,0.0,74.0,32,cbd,15.0,7.0,1.0,2019.0,2.0,15.0
2019-02-03,0.0,85.0,33,cbd,11.0,4.0,1.0,2019.0,3.0,10.0
2019-02-04,0.0,59.5,34,cbd,17.0,8.5,1.0,2019.0,4.0,11.0
2019-02-05,29.972,66.0,35,cbd,12.5,5.0,1.0,2019.0,5.0,12.0
2019-02-06,0.0,54.0,36,cbd,8.0,4.0,1.0,2019.0,6.0,13.0
2019-02-07,0.0,53.5,37,cbd,15.0,8.0,1.0,2019.0,7.0,11.0
2019-02-08,0.0,50.0,38,cbd,26.0,13.0,1.0,2019.0,8.0,12.0
2019-02-09,0.0,53.0,39,cbd,18.0,8.0,1.0,2019.0,9.0,11.0
2019-02-10,0.0,59.0,40,cbd,18.0,9.0,1.0,2019.0,10.0,12.0
