Date,index,Cbd_Regional,total,left,left_avg,year,day,hour
2019-01-01,0,cbd,13.0,6.0,1.0,2019.0,1.0,13.0
2019-01-02,1,cbd,18.0,8.0,1.0,2019.0,2.0,11.0
2019-01-03,2,cbd,7.0,3.5,1.0,2019.0,3.0,12.0
2019-01-04,3,cbd,19.0,9.0,1.0,2019.0,4.0,11.0
2019-01-05,4,cbd,17.0,8.0,1.0,2019.0,5.0,12.0
2019-01-06,5,cbd,15.0,7.0,1.0,2019.0,6.0,10.0
2019-01-07,6,cbd,19.0,9.0,1.0,2019.0,7.0,11.0
2019-01-08,7,cbd,20.0,10.0,1.0,2019.0,8.0,12.0
2019-01-09,8,cbd,16.0,8.0,1.0,2019.0,9.0,10.0
2019-01-10,9,cbd,21.0,10.0,1.0,2019.0,10.0,11.0
2019-01-11,10,cbd,21.0,11.0,1.0,2019.0,11.0,12.0
2019-01-12,11,cbd,17.0,8.0,1.0,2019.0,12.0,13.0
2019-01-13,12,cbd,16.0,7.0,1.0,2019.0,13.0,11.0
2019-01-14,13,cbd,16.0,7.0,1.0,2019.0,14.0,12.0
2019-01-15,14,cbd,15.0,7.0,1.0,2019.0,15.0,11.0
2019-01-16,15,cbd,25.0,12.0,1.0,2019.0,16.0,12.0
2019-01-17,16,cbd,18.0,8.0,1.0,2019.0,17.0,10.0
2019-01-18,17,cbd,27.0,14.0,1.0,2019.0,18.0,11.0
2019-01-19,18,cbd,20.0,9.0,1.0,2019.0,19.0,12.0
2019-01-20,19,cbd,12.0,5.0,1.0,2019.0,20.0,13.0
2019-01-21,20,cbd,17.0,8.0,1.0,2019.0,21.0,11.0
2019-01-22,21,cbd,22.0,9.0,1.0,2019.0,22.0,12.0
2019-01-23,22,cbd,16.5,8.0,1.0,2019.0,23.0,10.0
2019-01-24,23,cbd,19.0,9.0,1.0,2019.0,24.0,11.0
2019-01-25,24,cbd,26.0,13.0,1.0,2019.0,25.0,12.0
2019-01-26,25,cbd,17.0,8.0,1.0,2019.0,26.0,10.0
2019-01-27,26,cbd,22.0,10.0,1.0,2019.0,27.0,11.0
2019-01-28,27,cbd,10.0,5.0,1.0,2019.0,28.0,10.0
2019-01-29,28,cbd,15.5,8.0,1.0,2019.0,29.0,11.0
2019-01-30,29,cbd,14.0,6.0,1.0,2019.0,30.0,12.0
2019-01-31,30,cbd,16.0,7.0,1.0,2019.0,31.0,13.0
2019-02-01,31,cbd,30.5,14.0,1.0,2019.0,1.0,11.0
2019-02-02,32,cbd,15.0,7.0,1.0,2019.0,2.0,15.0
2019-02-03,33,cbd,11.0,4.0,1.0,2019.0,3.0,10.0
2019-02-04,34,cbd,17.0,8.5,1.0,2019.0,4.0,11.0
2019-02-05,35,cbd,12.5,5.0,1.0,2019.0,5.0,12.0
2019-02-06,36,cbd,8.0,4.0,1.0,2019.0,6.0,13.0
2019-02-07,37,cbd,15.0,8.0,1.0,2019.0,7.0,11.0
2019-02-08,38,cbd,26.0,13.0,1.0,2019.0,8.0,12.0
2019-02-09,39,cbd,18.0,8.0,1.0,2019.0,9.0,11.0
