Suburb,,TrainDistThresh,TrainPres,BusDistThresh,BusPres,Percentage Area,Distance Activity Centre,House Density
10Clifton Springs,,0,0,1,1,0.211762447,21768.17007,6.138844752
11Geelong West,,1,0,1,1,0.031718385,1812.155338,13.94074304
12Newcomb/Moolap,,0,0,1,1,0.425467107,5267.718643,0.676010839
13City/Drum/Sth Geelong,,1,1,1,1,0.14260005,1663.495404,7.481206563
14Hamlyn Heights,,0,0,1,1,0.103317439,4325.191244,9.638755767
15Bell Park,,1,0,1,1,0.066116375,5604.934726,6.863578224
16St Albans Park,,0,0,1,1,0.049040654,6505.646796,9.828607591
17Bell Post Hill,,0,0,1,1,0.049179373,6247.54509,3.559912869
18Waurn Ponds,,0,0,0,1,0.00566142,7143.010736,0.324107795
1Grovedale/Marshall,,1,1,1,1,0.054322076,7280.750816,3.16840353
20Drysdale,,1,1,1,1,0.024916969,20319.72924,0.428610347
21Whittington,,0,0,1,1,0.331427277,5407.438632,9.929678148
22East Geelong,,1,0,1,1,0.373459949,2701.234902,6.16137137
24Herne Hill,,0,0,1,1,0.123426062,3908.636859,11.31588913
25Barwon Heads,,0,0,1,1,0.554617535,23115.53276,3.978732129
26Portarlington,,0,0,1,1,0.055974759,29756.77123,0.442741486
27StLeonards/IndentedHd,,0,0,1,1,0.342539267,33733.80603,3.27564219
28NthGeelong/Rippleside,,1,1,1,1,0.101578906,3146.363437,2.28759698
29Manifold Heights,,1,0,1,1,0.016929688,2775.464709,11.86933222
2Highton,,0,0,1,1,0.166303758,6272.131139,5.802167723
30Thomson/Breakwater,,1,0,1,1,0.307800705,3946.259849,2.291587264
31Wandana Heights,,0,0,0,1,0.088619136,6702.915589,4.090074688
3Corio,,0,1,1,1,0.140103051,7262.99104,3.176497154
4Lara,,1,1,0,1,0.059830067,8640.036685,0.562513025
5Belmont,,0,0,1,1,0.276302391,4848.377607,7.026936577
6Ocean Grove,,0,0,1,1,0.237994548,23522.6012,5.428165535
7Newtown,,1,0,1,1,0.213785243,2691.218885,7.579489569
8Leopold,,0,0,1,1,0.035066942,11553.16688,1.45067135
9Norlane/North Shore,,1,1,1,1,0.096396911,6724.783286,6.115061212
Anakie,,0,0,0,0,0.004769081,25884.48133,0.015401027
Avalon (Vic.),,0,0,0,0,0.095563165,8849.593339,0.013934315
Balliang,,0,0,0,0,0.222162792,32549.5287,0.007524527
Batesford,,0,0,0,1,0.008104883,8868.561512,0.252367641
Breamlea,,0,0,0,1,0.582522665,20041.55757,0.069636885
Ceres,,0,0,0,0,0.011667929,8282.352266,0.073213728
Connewarre,,0,0,0,1,0.115040665,12872.05563,0.031843778
Curlewis (Vic.),,0,0,0,1,0.062760028,17524.7685,0.057741287
Fyansford,,0,0,0,1,0.038952908,5762.392085,0.03071952
Little River (Vic.),,0,1,0,0,0.087691201,11609.05438,0.021234359
Lovely Banks,,0,0,0,1,0.02689432,7104.337618,0.687323775
Mannerim,,0,0,0,1,0.063944044,26009.99958,0.019819154
Marcus Hill,,0,0,1,1,0.072129089,23135.67494,0.039792557
Moorabool,,0,0,0,0,0.001474983,10976.57883,0.015722062
Mount Duneed,,0,0,0,1,0.01481934,11497.80289,0.066460084
Point Lonsdale,,0,0,1,1,0.008054826,28127.45216,6.569043781
Wallington,,0,0,1,1,0.18523198,18305.76432,0.119599128
