Suburb,LUM,LUMquintile,TrainDistThresh,BusDistThresh,AccUtDestPres,AccUtDestPresquintile,AccUtDestDist,AccUtDestDistquintile,SprtLeiDens,SprtLeiDensquintile,SprtLeiDist,SprtLeiDistquintile,POSAreaPct,POSAreaPctquintile,TakeawayDens,TakeawayDensquintile,TakeawayDist,TakeawayDistquintile,HealthyFoodDensity,HealthyFoodDensityquintile,HealthyFoodDist,HealthyFoodDistquintile,ActCenDist,TobPopDensp1000quintile,TobTobVendDistquintile,CAGR,TrainPres
Clifton Springs,0.42,4,0,1,2,2,2,2,0,1,2334.84,3,0.21,4,0.09,3,734.85,2,0,1,2681.51,4,21768.17,2,3,0.01,0
Geelong West,0.51,4,1,1,7,5,7,5,0,1,913.55,1,0.03,1,0.49,5,341.13,1,0.18,5,584.1,1,1812.16,4,1,0.01,0
Newcomb/Moolap,0.21,2,0,1,5,3,4,4,0.02,3,1400.55,2,0.43,5,0.16,4,769.45,3,0.05,2,1366.1,2,5267.72,4,2,0.01,0
City/Drum/Sth Geelong,0.85,5,1,1,7,5,7,5,0.04,4,965.34,1,0.14,4,0.62,5,369.51,1,0.02,2,956.27,2,1663.5,5,1,0.02,1
Hamlyn Heights,0.31,3,0,1,3,2,4,3,0,1,1967.16,3,0.1,4,0.06,3,721.55,2,0.03,2,932.82,2,4325.19,2,2,0.01,0
Bell Park,0.54,5,1,1,4,2,6,3,0.03,3,1121.62,1,0.07,1,0.26,5,742.75,2,0.13,5,612.03,1,5604.93,3,2,0,0
St Albans Park,0.13,2,0,1,2,2,2,2,0,1,1948.11,3,0.05,1,0.04,2,844.94,3,0,1,2430.58,3,6505.65,2,3,0.03,0
Bell Post Hill,0.42,4,0,1,4,2,4,3,0,1,1546.18,2,0.05,1,0.05,2,697.34,2,0.02,2,706.69,1,6247.55,2,3,0.01,0
Waurn Ponds,0.25,3,0,0,3,2,0,3,0.01,2,2137.78,3,0.01,1,0.04,2,1822.27,4,0,1,3016.18,4,7143.01,5,4,0.01,0
Grovedale/Marshall,0.53,5,1,1,8,5,6,5,0.02,3,2094.27,3,0.05,1,0.13,4,846.38,3,0.07,5,961.27,2,7280.75,3,3,0.01,1
Drysdale,0.21,2,1,1,6,4,6,4,0.04,4,1371.96,2,0.02,1,0.11,3,991.77,3,0.01,2,1368.53,2,20319.73,4,3,0.03,1
Whittington,0.4,4,0,1,2,2,6,2,0.05,5,1088.6,1,0.33,5,0.11,4,644.7,2,0,1,1362.5,2,5407.44,2,2,0,0
East Geelong,0.62,5,1,1,4,2,6,3,0,1,927.57,1,0.37,5,0.14,4,337.8,1,0.05,2,839.67,1,2701.23,3,1,0,0
Herne Hill,0.4,3,0,1,3,2,4,3,0,1,1665.03,2,0.12,4,0.32,5,433.48,1,0,1,1526.54,3,3908.64,3,1,0.03,0
