,Area,Total_dwellings_2016,Train_2016,pop_2016,LUM,LUMquintile,TrainDistThresh,TrainPres,BusDistThresh,BusPres,AccUtDestPres,AccUtDestPresquintile,AccUtDestDist,AccUtDestDistquintile,SprtLeiDens,SprtLeiDensquintile,SprtLeiDist,SprtLeiDistquintile,POSDist,POSDistquintile,POSAreaPct,POSAreaPctquintile,TakeawayDens,TakeawayDensquintile,TakeawayDist,TakeawayDistquintile,HealthyFoodDensity,HealthyFoodDensityquintile,HealthyFoodDist,HealthyFoodDistquintile,GrossDwlDens,GrossDwlDensquintile,StrtConn,StrtConnquintile,ActCenDist,ActCenDistquintile,TobPopDensp1000,TobPopDensp1000quintile,TobTobVendDist,TobTobVendDistquintile,RatioTrailsToRoads,RatioTrailsToRoadsquintile
0,Balliang,106,0,290,0.000145826,1,0,0,0,0,1,1,0,1,0.0,1,26140.12692,5,1711.468932,5,0.222162792,4,0.0,1,23445.162640000002,5,0.0,1,24994.534480000002,5,0.007524527,1,0.983318916,1,32549.5287,5,0.0,1,18751.68283,5,0.038605499,1
1,Highton,7547,192,18953,0.386139379,3,0,0,1,1,6,4,4,4,0.008631878,2,1681.611727,2,217.11884869999997,2,0.166303758,4,0.10358254,3,1141.854025,3,0.017263757,2,1463.441728,3,5.802167722999999,4,40.65159111,4,6272.131139,2,0.480048005,2,1019.6183880000001,3,0.12190052900000001,2
2,Thomson/Breakwater,1433,11,2621,0.45042992299999995,4,1,0,1,1,2,2,6,2,0.090396015,5,1166.3800039999999,2,138.2614252,1,0.307800705,5,0.36158406200000004,5,465.8536804,1,0.0,1,1608.507807,3,2.291587264,3,34.39109092,4,3946.259849,1,5.7892705520000005,5,433.9333025,1,0.22285225399999997,4
3,Anakie,271,5,690,0.000120424,1,0,0,0,0,2,2,0,2,0.0,1,21560.13364,5,2682.871535,5,0.004769081,1,0.0,1,16310.61926,5,0.0,1,18311.6785,5,0.015401027,1,0.567092079,1,25884.481330000002,5,0.0,1,14757.09296,5,0.0,1
4,Mount Duneed,587,25,1578,0.140498297,2,0,0,0,1,2,2,1,2,0.0,1,6520.56403,5,923.2610445,5,0.01481934,1,0.0,1,4379.5014280000005,4,0.0,1,4362.59463,4,0.066460084,2,2.00250909,1,11497.80289,4,0.0,1,4362.59463,5,0.09061678199999999,2
5,Wandana Heights,736,20,2037,0.41461013,4,0,0,0,1,2,2,2,2,0.0,1,2412.145401,3,184.85832580000002,1,0.088619136,1,0.0,1,2327.635718,4,0.0,1,2306.150057,3,4.0900746880000005,4,29.47801577,3,6702.915589,2,0.0,1,2033.601867,4,0.046827451,2
6,Barwon Heads,2226,49,3875,0.542890346,5,0,0,1,1,6,4,5,4,0.0,1,4927.240811,4,158.27607949999998,1,0.554617535,5,0.11473532300000001,4,717.3337387,2,0.028683831,2,1326.723488,2,3.978732129,4,31.72020693,3,23115.53276,5,1.413227812,3,696.377342,2,0.292692613,5
7,City/Drum/Sth Geelong,479,36,993,0.8475458709999999,5,1,1,1,1,7,5,7,5,0.037317509,4,965.3443082999999,1,229.9753429,2,0.14260005,4,0.621958479,5,369.506218,1,0.024878339,2,956.2746678999999,2,7.481206563,5,113.2659854,5,1663.495404,1,9.479434447000001,5,316.1791847,1,0.17203757,3
8,Drysdale,4275,0,1858,0.213629758,2,1,1,1,1,6,4,6,4,0.03566556,4,1371.957516,2,295.56050719999996,3,0.024916969,1,0.106996679,3,991.7744379000001,3,0.01188852,2,1368.527751,2,0.428610347,2,5.672784002,2,20319.72924,4,1.617749018,4,999.4898927999999,3,0.138250276,3
9,Clifton Springs,3412,66,7521,0.418635803,4,0,0,1,1,2,2,2,2,0.0,1,2334.8402929999997,3,195.30812769999997,1,0.211762447,4,0.08852821,3,734.8545343999999,2,0.0,1,2681.513753,4,6.138844752000001,4,41.37873213,4,21768.17007,4,0.419932811,2,775.3718252,3,0.06344304,2
10,St Albans Park,2149,47,4846,0.133935008,2,0,0,1,1,2,2,2,2,0.0,1,1948.1085059999998,3,242.31470290000001,2,0.049040654,1,0.039778978,2,844.9388845000001,3,0.0,1,2430.582007,3,9.828607591,5,54.20364362,5,6505.646796,2,0.2027164,2,839.8501413999999,3,0.031002017000000003,1
11,Curlewis (Vic.),618,8,1551,0.218661312,3,0,0,0,1,1,1,0,1,0.0,1,5648.705,4,315.6647897,3,0.062760028,1,0.0,1,4651.538184,5,0.0,1,5275.631700999999,5,0.057741287,2,4.157372689,2,17524.7685,4,4.444444444,5,2888.923238,4,0.267464023,5
12,Hamlyn Heights,2842,101,6292,0.307938454,3,0,0,1,1,3,2,4,3,0.0,1,1967.15597,3,295.4103463,3,0.103317439,4,0.056174145999999994,3,721.5471177000001,2,0.028087072999999997,2,932.8196312000001,2,9.638755767000001,5,57.58778651,5,4325.191244,1,0.329326527,2,669.3418987000001,2,0.157551089,3
