,date,mintemp,maxtemp,rainfall,dir_maxgust,spd_maxgust,time_maxgust,9am_temp,9am_rh,9am_wd,9am_ws,9am_mslp,3pm_temp,3pm_rh,3pm_wd,3pm_ws,3pm_mslp,pm25,pm10,o3,no2,so2,co
0,2013-12-31,9.6,22.7,0.0,S,28.0,11:20:00,15.3,69.0,WNW,13.0,1016.3,21.2,53.0,SSE,15.0,1015.8,25.0,17.0,4.0,7.0,2.0,1.0
1,2014-01-01,12.8,26.0,0.0,NNW,59.0,15:00:00,18.5,73.0,S,2.0,1009.0,17.0,88.0,N,22.0,1002.5,29.0,15.0,9.0,1.0,2.0,1.0
2,2014-01-02,12.9,21.4,11.6,WSW,35.0,11:09:00,15.9,74.0,WSW,17.0,1008.9,20.7,55.0,S,22.0,1008.7,29.0,18.0,12.0,1.0,2.0,1.0
3,2014-01-03,11.1,22.3,0.2,WSW,50.0,15:30:00,15.5,68.0,SE,4.0,1004.1,19.7,47.0,WNW,22.0,1003.0,29.0,24.0,11.0,1.0,2.0,1.0
4,2014-01-04,11.9,20.6,0.0,WSW,65.0,11:50:00,14.9,75.0,W,24.0,1006.2,20.0,40.0,WNW,28.0,1006.8,29.0,18.0,8.0,3.0,2.0,1.0
5,2014-01-05,9.1,26.0,0.0,W,78.0,14:04:00,17.6,51.0,NNW,20.0,1005.8,23.1,32.0,NW,33.0,1000.8,29.0,14.0,10.0,1.0,1.0,1.0
6,2014-01-06,10.7,19.6,2.0,W,54.0,23:10:00,13.9,63.0,W,19.0,1015.2,17.4,45.0,SSW,30.0,1018.4,29.0,13.0,10.0,2.0,2.0,1.0
7,2014-01-07,12.2,19.5,0.0,SSW,41.0,11:15:00,16.0,55.0,S,26.0,1024.9,17.6,53.0,SSE,22.0,1024.1,29.0,14.0,9.0,2.0,1.0,1.0
8,2014-01-08,10.2,24.1,0.0,SSE,48.0,17:33:00,16.2,62.0,ESE,17.0,1023.3,22.8,45.0,SSE,26.0,1020.2,29.0,12.0,6.0,5.0,2.0,2.0
9,2014-01-09,13.0,26.5,0.0,SSE,33.0,14:59:00,18.8,64.0,ESE,9.0,1020.8,24.5,51.0,SSE,20.0,1017.7,29.0,27.0,9.0,5.0,2.0,1.0
