date,pm25,pm10,o3,no2,so2,co
1/03/2021,45,17,12,2,13,
2/03/2021,17,14,12,2,,
3/03/2021,8,17,11,2,,
4/03/2021,9,18,14,2,,
5/03/2021,30,23,14,1,,
6/03/2021,26,14,3,5,2,1
7/03/2021,18,15,14,3,,1
8/03/2021,27,12,14,2,,
9/03/2021,16,15,13,4,,
10/03/2021,14,24,19,5,1,1
11/03/2021,23,30,43,8,,1
12/03/2021,37,20,22,5,,1
13/03/2021,29,12,12,3,,
14/03/2021,22,15,11,3,,
15/03/2021,8,,,,,
1/02/2021,22,16,10,2,,
2/02/2021,19,18,13,2,,
3/02/2021,13,32,23,9,,1
4/02/2021,33,15,18,5,,1
5/02/2021,24,11,18,4,,
6/02/2021,15,10,13,1,,
7/02/2021,15,17,10,2,,
8/02/2021,21,21,13,2,,
9/02/2021,15,25,22,4,,
10/02/2021,21,38,27,8,2,1
11/02/2021,31,17,13,3,,
12/02/2021,36,13,11,1,,
13/02/2021,16,10,12,1,,
14/02/2021,10,19,17,1,,
15/02/2021,18,21,31,4,1,
16/02/2021,23,24,19,4,,1
17/02/2021,31,33,29,7,,1
18/02/2021,36,28,24,5,1,1
19/02/2021,23,25,17,2,,1
23/02/2021,18,16,13,4,,
24/02/2021,12,17,12,4,,
25/02/2021,13,18,11,2,,
26/02/2021,20,22,11,3,2,
27/02/2021,21,25,27,4,2,1
28/02/2021,47,24,12,2,7,
4/01/2021,20,13,11,,,
5/01/2021,15,11,9,1,,
6/01/2021,17,28,14,1,5,
7/01/2021,33,21,15,1,7,
8/01/2021,25,,18,2,8,
9/01/2021,18,,18,2,6,
10/01/2021,17,52,25,5,6,1
11/01/2021,27,24,16,1,7,
12/01/2021,39,30,25,3,9,
13/01/2021,32,16,12,1,8,
14/01/2021,25,14,11,1,8,
15/01/2021,18,11,10,,10,
16/01/2021,15,23,12,,10,
17/01/2021,34,14,8,,11,
18/01/2021,17,27,11,,,
19/01/2021,37,28,17,2,13,
20/01/2021,27,34,26,5,14,1
21/01/2021,28,27,17,3,,
22/01/2021,35,17,17,,,
23/01/2021,19,23,36,4,13,1
24/01/2021,26,30,22,4,12,1
25/01/2021,26,12,13,1,13,1
26/01/2021,25,25,12,,12,
27/01/2021,25,27,12,1,14,
28/01/2021,24,9,16,2,12,1
29/01/2021,8,9,18,,14,
30/01/2021,26,10,12,1,,
31/01/2021,11,16,13,5,,
1/10/2020,39,34,24,6,,1
2/10/2020,30,29,26,1,,1
3/10/2020,25,21,25,2,2,1
4/10/2020,33,9,23,2,,
5/10/2020,20,15,23,2,,
6/10/2020,17,9,14,4,,1
7/10/2020,23,5,19,3,,1
8/10/2020,17,11,21,1,,
9/10/2020,16,11,21,1,,
10/10/2020,19,8,21,2,,1
11/10/2020,10,18,18,8,1,1
12/10/2020,24,20,20,2,,
13/10/2020,29,21,20,4,,1
14/10/2020,29,25,20,8,,1
15/10/2020,29,15,22,2,,
16/10/2020,22,12,20,6,,1
17/10/2020,31,11,20,1,,
18/10/2020,15,11,20,2,,1
19/10/2020,11,13,21,6,,1
20/10/2020,14,16,20,5,,1
21/10/2020,13,8,18,4,,1
22/10/2020,10,15,17,3,,1
23/10/2020,23,9,19,1,,
24/10/2020,21,16,21,,,
25/10/2020,22,18,20,1,,
26/10/2020,24,14,20,1,,
27/10/2020,23,13,21,2,,
28/10/2020,16,15,19,5,,1
29/10/2020,26,16,21,2,,1
30/10/2020,22,14,19,,,1
31/10/2020,20,10,19,1,,
1/11/2020,15,20,29,4,,1
2/11/2020,30,24,31,5,,1
3/11/2020,31,18,20,3,,1
4/11/2020,25,14,16,2,,
5/11/2020,21,12,16,2,,
6/11/2020,13,17,16,,,
7/11/2020,24,19,20,1,1,
8/11/2020,22,27,31,6,,1
9/11/2020,26,30,29,4,,1
10/11/2020,26,27,21,7,,1
11/11/2020,35,14,19,3,,1
12/11/2020,21,8,15,2,,
13/11/2020,7,9,16,,,
14/11/2020,12,21,23,3,,
15/11/2020,17,37,19,1,,
16/11/2020,34,26,15,1,,
17/11/2020,20,27,27,6,,1
18/11/2020,36,35,28,9,,
19/11/2020,29,30,21,1,1,1
20/11/2020,38,28,25,2,,1
21/11/2020,59,25,29,6,,1
22/11/2020,40,11,15,3,,1
23/11/2020,28,13,13,2,,
24/11/2020,13,19,19,4,1,1
25/11/2020,17,24,15,3,,
26/11/2020,35,34,30,5,,
27/11/2020,29,26,20,2,,1
28/11/2020,46,11,15,1,,
29/11/2020,22,17,18,2,,
30/11/2020,9,26,17,4,,
1/12/2020,36,23,13,1,,
2/12/2020,29,24,20,3,1,
3/12/2020,27,20,15,2,,
4/12/2020,15,32,21,4,,1
5/12/2020,26,13,14,,,
6/12/2020,26,13,13,,,
7/12/2020,19,17,13,1,,
8/12/2020,20,18,15,1,,
9/12/2020,16,20,12,,,
10/12/2020,27,27,18,1,,
11/12/2020,27,25,28,2,,
12/12/2020,26,21,26,2,,1
13/12/2020,20,24,30,3,,1
14/12/2020,23,33,17,6,2,1
15/12/2020,37,24,14,,,
16/12/2020,22,16,17,2,,1
17/12/2020,21,12,13,2,,
18/12/2020,16,14,13,1,,
19/12/2020,17,10,13,1,,
20/12/2020,9,20,14,5,,1
21/12/2020,17,9,13,1,,
22/12/2020,22,13,11,1,,
23/12/2020,17,12,12,1,,
24/12/2020,17,11,12,,,
25/12/2020,12,18,21,2,4,1
26/12/2020,21,21,22,3,2,1
27/12/2020,29,12,12,,,
28/12/2020,21,12,12,1,,
29/12/2020,10,7,9,,2,
30/12/2020,11,17,11,,3,
