Suburb,Suburb_Code,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,School,Shop,Restaurant,Station,Park,Hospital,Rent Amount PW,Auction,Last Sell Date,Last Sell Price,Sell Date,Sell Price
Armstrong Creek,1,539.0,176.0,4.0,2.0,2.0,4,17,6,17,4,0,390.0,0.0,2000-02-01,175000.0,2021-03-01,610000
Armstrong Creek,1,446.0,157.80025348542458,4.0,2.0,2.0,5,9,7,14,3,0,800.847867054994,0.0,2019-04-01,545000.0,2021-03-01,645000
Armstrong Creek,1,398.0,161.0,4.0,2.0,2.0,2,3,4,14,4,0,400.0,0.0,2018-10-01,550000.0,2021-03-01,597500
Armstrong Creek,1,630.0,157.80025348542458,4.0,2.0,4.0,2,4,4,14,3,0,800.847867054994,0.0,2014-03-01,207000.0,2021-03-01,841000
Armstrong Creek,1,449.0,170.0,4.0,2.0,2.0,1,2,4,12,3,0,800.847867054994,0.0,2017-07-01,475000.0,2021-03-01,640000
Armstrong Creek,1,339.0,157.80025348542458,3.0,2.0,1.0,4,11,7,12,4,0,355.0,0.0,2019-12-01,438000.0,2021-02-01,540000
Armstrong Creek,1,444.0,157.80025348542458,4.0,2.0,2.0,4,17,4,15,3,0,380.0,0.0,2000-02-01,171500.0,2021-02-01,550000
Armstrong Creek,1,528.0,203.0,4.0,2.0,2.0,4,16,6,14,3,0,800.847867054994,0.0,2016-03-01,445000.0,2021-02-01,675000
Armstrong Creek,1,527.0,157.80025348542458,4.0,2.0,2.0,3,8,7,12,4,0,800.847867054994,0.0,2015-05-01,182000.0,2021-02-01,675500
Armstrong Creek,1,466.0,165.0,3.0,2.0,2.0,3,17,7,13,4,0,800.847867054994,0.0,2011-11-01,169000.0,2021-02-01,580000
Armstrong Creek,1,498.0,168.0,4.0,2.0,2.0,4,17,7,13,4,0,800.847867054994,0.0,2013-07-01,170000.0,2021-02-01,565000
Armstrong Creek,1,503.0,157.80025348542458,4.0,2.0,2.0,3,8,7,10,4,0,440.0,0.0,2016-04-01,182000.0,2021-02-01,625000
Armstrong Creek,1,453.0,170.0,4.0,2.0,4.0,4,17,5,16,3,0,800.847867054994,0.0,2015-08-01,392500.0,2021-01-01,590000
Armstrong Creek,1,351.0,157.80025348542458,3.0,2.0,2.0,1,4,4,13,3,0,800.847867054994,0.0,2019-03-01,507500.0,2021-01-01,550000
Armstrong Creek,1,548.0,157.80025348542458,5.0,3.0,2.0,5,17,7,16,4,0,800.847867054994,0.0,2011-03-01,189000.0,2021-01-01,766000
Armstrong Creek,1,338.0,157.80025348542458,3.0,1.0,2.0,3,11,7,14,4,0,370.0,0.0,2012-06-01,149000.0,2021-01-01,469000
Armstrong Creek,1,450.0,181.0,4.0,2.0,2.0,3,7,7,12,4,0,420.0,0.0,2012-01-01,166000.0,2021-01-01,581000
Armstrong Creek,1,400.0,169.0,3.0,1.0,2.0,4,17,4,15,3,0,800.847867054994,0.0,2012-12-01,156500.0,2021-01-01,615000
Armstrong Creek,1,350.0,119.0,3.0,2.0,2.0,4,18,4,17,3,0,420.0,0.0,2013-06-01,342500.0,2021-01-01,510000
Armstrong Creek,1,497.0,160.0,3.0,1.0,2.0,4,17,7,13,4,0,800.847867054994,0.0,2012-07-01,165000.0,2021-01-01,600000
Armstrong Creek,1,527.0,157.80025348542458,3.0,1.0,2.0,5,16,7,15,3,0,800.847867054994,0.0,2012-11-01,178000.0,2021-01-01,595000
Armstrong Creek,1,399.0,157.80025348542458,4.0,2.0,2.0,1,4,4,14,3,0,800.847867054994,0.0,2017-05-01,420000.0,2020-12-01,551000
Armstrong Creek,1,513.0,157.80025348542458,3.0,1.0,2.0,2,3,4,14,3,0,800.847867054994,0.0,2014-05-01,195000.0,2020-12-01,620000
Armstrong Creek,1,400.0,157.80025348542458,3.0,1.0,2.0,1,4,4,13,3,0,470.0,0.0,2000-02-01,154000.0,2020-12-01,550000
Armstrong Creek,1,1037.6571585802074,157.80025348542458,3.0,1.0,2.0,2,2,4,13,3,0,800.847867054994,0.0,2013-08-01,162000.0,2020-12-01,545000
Armstrong Creek,1,400.0,157.80025348542458,4.0,2.0,2.0,4,17,7,15,4,0,380.0,0.0,2015-03-01,353100.0,2020-12-01,545682
Armstrong Creek,1,372.0,157.80025348542458,3.0,2.0,2.0,4,18,6,17,4,0,800.847867054994,0.0,2014-07-01,324630.0,2020-12-01,475000
Armstrong Creek,1,538.0,157.80025348542458,3.0,1.0,2.0,4,14,5,13,3,0,800.847867054994,0.0,2010-06-01,178000.0,2020-12-01,610000
Armstrong Creek,1,472.0,157.80025348542458,3.0,1.0,2.0,1,4,4,13,4,0,515.0,0.0,2013-10-01,185000.0,2020-12-01,722500
Armstrong Creek,1,504.0,233.0,4.0,2.0,2.0,2,3,4,15,3,0,800.847867054994,0.0,2013-12-01,198000.0,2020-12-01,653000
Armstrong Creek,1,527.0,193.0,3.0,1.0,2.0,5,17,7,14,4,0,800.847867054994,0.0,2012-07-01,183000.0,2020-12-01,640000
Armstrong Creek,1,461.0,141.0,3.0,2.0,2.0,4,15,7,13,4,0,400.0,0.0,2018-09-01,505000.0,2020-12-01,540000
Armstrong Creek,1,615.0,157.80025348542458,4.0,2.0,2.0,2,4,4,14,3,0,800.847867054994,0.0,2000-02-01,230000.0,2020-11-01,753000
Armstrong Creek,1,493.0,157.80025348542458,3.0,1.0,2.0,4,17,6,17,4,0,800.847867054994,0.0,2011-03-01,168000.0,2020-11-01,615000
Armstrong Creek,1,571.0,157.80025348542458,3.0,2.0,1.0,2,2,4,14,4,0,800.847867054994,0.0,2016-02-01,219000.0,2020-11-01,750000
Armstrong Creek,1,447.0,182.0,4.0,2.0,2.0,2,2,4,13,3,0,430.0,0.0,2013-03-01,179000.0,2020-11-01,510000
Armstrong Creek,1,451.0,157.80025348542458,3.0,1.0,2.0,4,18,4,15,3,0,800.847867054994,0.0,2011-03-01,183000.0,2020-11-01,537000
Armstrong Creek,1,579.0,241.0,3.0,1.0,2.0,4,17,6,16,4,0,190000.0,0.0,2014-12-01,190000.0,2020-11-01,655000
Armstrong Creek,1,443.0,151.0,3.0,2.0,2.0,5,17,6,15,4,0,360.0,0.0,2013-12-01,127000.0,2020-11-01,475000
Armstrong Creek,1,420.0,157.80025348542458,4.0,2.0,2.0,4,17,6,12,3,0,380.0,0.0,2017-05-01,189500.0,2020-11-01,481000
