Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
22 Booker Place,640000,Mar 2021,,,,,,,,,,,Armstrong Creek,1
100 Creekward Drive,610000,Mar 2021,175000.0,Feb 2000,,390,Dec 2013,539,176.0,4.0,2.0,2.0,Armstrong Creek,1
207 Warralily Boulevard,605500,Mar 2021,,,,,,399,,,,,Armstrong Creek,1
15 McKinley Avenue,455000,Mar 2021,,,,,,238,,,,,Armstrong Creek,1
486 Boundary Road,665000,Mar 2021,,,,,,507,,,,,Armstrong Creek,1
8 Buchanan Boulevard,820000,Mar 2021,,,,,,512,,,,,Armstrong Creek,1
10 Buchanan Boulevard,650000,Mar 2021,,,,,,448,,,,,Armstrong Creek,1
1 Element Circuit,550000,Mar 2021,,,,,,322,,,,,Armstrong Creek,1
2/16 Sanderling Avenue,465000,Mar 2021,,,,,,225,,,,,Armstrong Creek,1
1/16 Sanderling Avenue,465000,Mar 2021,,,,,,282,,,,,Armstrong Creek,1
22 Rockingham Street,645000,Mar 2021,545000.0,Apr 2019,,,,446,,4.0,2.0,2.0,Armstrong Creek,1
Lot 838 Anchoridge Estate,419000,Mar 2021,,,,,,,,3.0,2.0,2.0,Armstrong Creek,1
Lot 1807 Ashbury Estate,424950,Mar 2021,,,,,,,,3.0,2.0,2.0,Armstrong Creek,1
Lot 1808 Ashbury Estate,389950,Mar 2021,,,,,,,,3.0,2.0,1.0,Armstrong Creek,1
Lot 1438 Ashbury Estate,389950,Mar 2021,,,,,,,,,,,Armstrong Creek,1
Lot 1439 Ashbury Estate,394950,Mar 2021,,,,,,176,,,,,Armstrong Creek,1
Lot 834 Fleurieu Circuit,401300,Mar 2021,,,,,,221,,3.0,2.0,2.0,Armstrong Creek,1
81 Coastside Drive,597500,Mar 2021,550000.0,Oct 2018,,400,May 2017,398,161.0,4.0,2.0,2.0,Armstrong Creek,1
25 Sirrom Crescent,841000,Mar 2021,207000.0,Mar 2014,,,,630,,4.0,2.0,4.0,Armstrong Creek,1
5 Lampard Street,640000,Mar 2021,475000.0,Jul 2017,,,,449,170.0,4.0,2.0,2.0,Armstrong Creek,1
2205 Warralily Boulevard,705000,Mar 2021,,,,,,510,,,,,Armstrong Creek,1
53 Ambrosia Drive,750000,Mar 2021,,,,,,512,,4.0,2.0,2.0,Armstrong Creek,1
17 Macedon Street,610000,Mar 2021,,,,,,399,,4.0,2.0,2.0,Armstrong Creek,1
6 Carisbrook Street,640000,Feb 2021,,,,,,512,,,,,Armstrong Creek,1
Lot 635 Eagle Road,445990,Feb 2021,,,,,,228,,3.0,2.0,1.0,Armstrong Creek,1
8 Tumino Way,540000,Feb 2021,438000.0,Dec 2019,,355,May 2015,339,,3.0,2.0,1.0,Armstrong Creek,1
4 Reeve Avenue,660000,Feb 2021,,,,,,445,,4.0,2.0,2.0,Armstrong Creek,1
83 Iris Loop,550000,Feb 2021,,,,,,313,,,,,Armstrong Creek,1
55 Ashbury Boulevard,605000,Feb 2021,,,,,,444,,4.0,2.0,2.0,Armstrong Creek,1
19 Chucklecreek Lane,550000,Feb 2021,171500.0,Feb 2000,,380,Aug 2019,444,,4.0,2.0,2.0,Armstrong Creek,1
26 Cootamundra Drive,535000,Feb 2021,,,,,,336,,,,,Armstrong Creek,1
14 Carter Road,585000,Feb 2021,,,,,,448,,4.0,2.0,2.0,Armstrong Creek,1
Lot 644 5 Pintail Road (Armstrong Waters),262000,Feb 2021,,,,,,375,,,,,Armstrong Creek,1
Lot 839 Anchoridge Estate,366300,Feb 2021,,,,,,179,,3.0,2.0,1.0,Armstrong Creek,1
14 Maroubra Street,780500,Feb 2021,,,,,,512,,4.0,2.0,2.0,Armstrong Creek,1
24 Trinity Way,494000,Feb 2021,,,,,,262,,,,,Armstrong Creek,1
152-160 Batten Road,470000,Feb 2021,,,,,,,,,,,Armstrong Creek,1
21 Lance Drive,626000,Feb 2021,,,,,,455,,4.0,2.0,2.0,Armstrong Creek,1
19 Whalley Road,675000,Feb 2021,445000.0,Mar 2016,,,,528,203.0,4.0,2.0,2.0,Armstrong Creek,1
44 Sanctuary Boulevard,660000,Feb 2021,,,,,,577,,,,,Armstrong Creek,1
18 SANDHILL Street,675500,Feb 2021,182000.0,May 2015,,,,527,,4.0,2.0,2.0,Armstrong Creek,1
22 Restful Way,540000,Feb 2021,,,,,,448,,3.0,2.0,2.0,Armstrong Creek,1
5 Snedden Street,590000,Feb 2021,,,,,,400,,,,,Armstrong Creek,1
4 Hudson Street,580000,Feb 2021,169000.0,Nov 2011,,,,466,165.0,3.0,2.0,2.0,Armstrong Creek,1
165 Warralily Boulevard,565000,Feb 2021,170000.0,Jul 2013,,,,498,168.0,4.0,2.0,2.0,Armstrong Creek,1
7 Lyall Street,540000,Feb 2021,,,,,,348,,,,,Armstrong Creek,1
11 Carisbrook Street,560000,Feb 2021,,,,,,400,,4.0,2.0,2.0,Armstrong Creek,1
156 Batten Road,470000,Feb 2021,,,,,,269,,,,,Armstrong Creek,1
26 Ackland Street,625000,Feb 2021,182000.0,Apr 2016,,440,Aug 2018,503,,4.0,2.0,2.0,Armstrong Creek,1
24 Cootamundra Drive,505000,Jan 2021,,,,390,Oct 2019,336,,3.0,2.0,2.0,Armstrong Creek,1
2207 Warralily Boulevard,602000,Jan 2021,,,,,,447,,,,,Armstrong Creek,1
62 Madeira Street,600000,Jan 2021,,,,,,448,,,,,Armstrong Creek,1
139/1 Avonbury Drive,259000,Jan 2021,,,,,,384,,,,,Armstrong Creek,1
Lot 139 1 Avonbury Drive,259000,Jan 2021,,,,,,384,,,,,Armstrong Creek,1
20 Whitecliff Way,590000,Jan 2021,392500.0,Aug 2015,,,,453,170.0,4.0,2.0,4.0,Armstrong Creek,1
31 Portrush Loop,550000,Jan 2021,507500.0,Mar 2019,,,,351,,3.0,2.0,2.0,Armstrong Creek,1
60 Creekward Drive,766000,Jan 2021,189000.0,Mar 2011,,,,548,,5.0,3.0,2.0,Armstrong Creek,1
52 Atherton Street,267000,Jan 2021,,,,,,392,,,,,Armstrong Creek,1
2243 Warralily Boulevard,631000,Jan 2021,,,,,,446,,4.0,2.0,2.0,Armstrong Creek,1
24 Chucklecreek Lane,705000,Jan 2021,,,,,,532,,,,,Armstrong Creek,1
13 Hudson Street,469000,Jan 2021,149000.0,Jun 2012,,370,Jun 2019,338,,,,,Armstrong Creek,1
9 Sandhill Street,581000,Jan 2021,166000.0,Jan 2012,,420,Aug 2016,450,181.0,4.0,2.0,2.0,Armstrong Creek,1
2 Whitecliff Way,760000,Jan 2021,,,,,,535,,5.0,3.0,2.0,Armstrong Creek,1
27 Beekeeper Road,615000,Jan 2021,156500.0,Dec 2012,,,,400,169.0,,,,Armstrong Creek,1
8 Hirst Way,500000,Jan 2021,,,,,,293,,,,,Armstrong Creek,1
28 Rutherford Grove,570000,Jan 2021,,,,,,448,,,,,Armstrong Creek,1
28 Beekeeper Road,510000,Jan 2021,342500.0,Jun 2013,,420,Feb 2021,350,119.0,3.0,2.0,2.0,Armstrong Creek,1
2 Eaglehawk Avenue,600000,Jan 2021,165000.0,Jul 2012,,,,497,160.0,,,,Armstrong Creek,1
9 Kingscliff Avenue,595000,Jan 2021,178000.0,Nov 2012,,,,527,,,,,Armstrong Creek,1
23 Tenneyson Close,560000,Dec 2020,,,,430,Nov 2019,448,,4.0,2.0,2.0,Armstrong Creek,1
Lot 116 4 Langdon Street,285000,Dec 2020,,,,,,423,,,,,Armstrong Creek,1
116/4 Langdon Street,285000,Dec 2020,,,,,,423,,,,,Armstrong Creek,1
23 Noosa Circuit,551000,Dec 2020,420000.0,May 2017,,,,399,,4.0,2.0,2.0,Armstrong Creek,1
Lot 7141 17 Iris Loop,285000,Dec 2020,,,,,,,,,,,Armstrong Creek,1
7141/17 Iris Loop,285000,Dec 2020,,,,,,406,,,,,Armstrong Creek,1
12 Simony Drive,470000,Dec 2020,,,,,,284,,,,,Armstrong Creek,1
13-15 Creekward Drive,775000,Dec 2020,,,,,,528,,3.0,2.0,2.0,Armstrong Creek,1
95 Coastside Drive,605000,Dec 2020,,,,,,451,,,,,Armstrong Creek,1
22 Mandalay Avenue,570000,Dec 2020,,,,,,400,,,,,Armstrong Creek,1
77 Coastside Drive,620000,Dec 2020,195000.0,May 2014,,,,513,,,,,Armstrong Creek,1
37 Cootamundra Drive,490000,Dec 2020,,,,,,262,,3.0,2.0,2.0,Armstrong Creek,1
18 Portrush Loop,550000,Dec 2020,154000.0,Feb 2000,,470,Jan 2021,400,,,,,Armstrong Creek,1
Lot 764 Avonbury Drive,436950,Dec 2020,,,,,,269,,3.0,2.0,2.0,Armstrong Creek,1
1327 Ashbury Estate,322500,Dec 2020,,,,,,512,,,,,Armstrong Creek,1
127 Coastside Drive,610000,Dec 2020,,,,,,400,,,,,Armstrong Creek,1
10 Sunshine Avenue,545000,Dec 2020,162000.0,Aug 2013,,,,,,,,,Armstrong Creek,1
18 Rochford Drive,545682,Dec 2020,353100.0,Mar 2015,,380,May 2016,400,,4.0,2.0,2.0,Armstrong Creek,1
26 Lance Drive,552000,Dec 2020,,,,,,426,,,,,Armstrong Creek,1
42 Whitecliff Way,475000,Dec 2020,324630.0,Jul 2014,,,,372,,3.0,2.0,2.0,Armstrong Creek,1
19 Swaine Street,580000,Dec 2020,,,,,,393,,,,,Armstrong Creek,1
39 Middleton Road,597500,Dec 2020,,,,,,421,,4.0,2.0,2.0,Armstrong Creek,1
5 Albanel Street,527500,Dec 2020,,,,,,350,,,,,Armstrong Creek,1
Lot 149 Lapis St (HARRIOTT),387200,Dec 2020,,,,,,,,3.0,2.0,1.0,Armstrong Creek,1
Lot 152 Lapis St (HARRIOTT),387200,Dec 2020,,,,,,,,3.0,2.0,1.0,Armstrong Creek,1
Lot 703 Avonbury Drive,354950,Dec 2020,,,,,,,,3.0,2.0,1.0,Armstrong Creek,1
Lot 1239 Netherley Walk (ASHBURY),374950,Dec 2020,,,,,,,,,,,Armstrong Creek,1
7 Mistybrook Place,610000,Dec 2020,178000.0,Jun 2010,,,,538,,,,,Armstrong Creek,1
19 Rutherford Grove,590000,Dec 2020,,,,450,Sep 2019,448,,4.0,2.0,2.0,Armstrong Creek,1
13 Sanctuary Boulevard,495000,Dec 2020,,,,,,352,,3.0,2.0,2.0,Armstrong Creek,1
12 Canoe Street,722500,Dec 2020,185000.0,Oct 2013,,515,Sep 2019,472,,,,,Armstrong Creek,1
15 Cloudbreak Street,653000,Dec 2020,198000.0,Dec 2013,,,,504,233.0,4.0,2.0,2.0,Armstrong Creek,1
22 Mcmahon Avenue,640000,Dec 2020,183000.0,Jul 2012,,,,527,193.0,,,,Armstrong Creek,1
31 Middleton Road,560000,Dec 2020,,,,,,378,,,,,Armstrong Creek,1
100 Warralily Boulevard,540000,Dec 2020,505000.0,Sep 2018,,400,Jan 2020,461,141.0,3.0,2.0,2.0,Armstrong Creek,1
Lot 1248 Netherley Walk (ASHBURY),419950,Dec 2020,,,,,,176,,,,,Armstrong Creek,1
705 Fawkner Crescent,599000,Dec 2020,,,,,,448,,4.0,2.0,2.0,Armstrong Creek,1
42 Sirrom Crescent,753000,Nov 2020,230000.0,Feb 2000,,,,615,,4.0,2.0,2.0,Armstrong Creek,1
98 Creekward Drive,615000,Nov 2020,168000.0,Mar 2011,,,,493,,,,,Armstrong Creek,1
45 Hedge Street,548000,Nov 2020,,,,,,353,,3.0,2.0,2.0,Armstrong Creek,1
23 Mallacoota Crescent,625000,Nov 2020,,,,,,427,,3.0,2.0,2.0,Armstrong Creek,1
35 Iris Loop,645000,Nov 2020,,,,,,448,,,,,Armstrong Creek,1
Lot 741 Fawkner Crescent,442990,Nov 2020,,,,,,350,,3.0,2.0,2.0,Armstrong Creek,1
18 Middleton Road,610000,Nov 2020,,,,,,448,,4.0,2.0,2.0,Armstrong Creek,1
38 MALLACOOTA Crescent,750000,Nov 2020,219000.0,Feb 2016,,,,571,,3.0,2.0,1.0,Armstrong Creek,1
13 Sunshine Avenue,510000,Nov 2020,179000.0,Mar 2013,,430,Dec 2014,447,182.0,4.0,2.0,2.0,Armstrong Creek,1
