Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
22 Booker Place,"640,000",Mar 2021,,,,,,,,,,,Armstrong Creek,1
100 Creekward Drive,"610,000",Mar 2021,"175,000",Feb 2000,,390,Dec 2013,539,176,4,2,2,Armstrong Creek,1
207 Warralily Boulevard,"605,500",Mar 2021,,,,,,399,,,,,Armstrong Creek,1
15 McKinley Avenue,"455,000",Mar 2021,,,,,,238,,,,,Armstrong Creek,1
486 Boundary Road,"665,000",Mar 2021,,,,,,507,,,,,Armstrong Creek,1
8 Buchanan Boulevard,"820,000",Mar 2021,,,,,,512,,,,,Armstrong Creek,1
10 Buchanan Boulevard,"650,000",Mar 2021,,,,,,448,,,,,Armstrong Creek,1
1 Element Circuit,"550,000",Mar 2021,,,,,,322,,,,,Armstrong Creek,1
2/16 Sanderling Avenue,"465,000",Mar 2021,,,,,,225,,,,,Armstrong Creek,1
1/16 Sanderling Avenue,"465,000",Mar 2021,,,,,,282,,,,,Armstrong Creek,1
22 Rockingham Street,"645,000",Mar 2021,"545,000",Apr 2019,,,,446,,4,2,2,Armstrong Creek,1
Lot 838 Anchoridge Estate,"419,000",Mar 2021,,,,,,,,3,2,2,Armstrong Creek,1
Lot 1807 Ashbury Estate,"424,950",Mar 2021,,,,,,,,3,2,2,Armstrong Creek,1
Lot 1808 Ashbury Estate,"389,950",Mar 2021,,,,,,,,3,2,1,Armstrong Creek,1
Lot 1438 Ashbury Estate,"389,950",Mar 2021,,,,,,,,,,,Armstrong Creek,1
Lot 1439 Ashbury Estate,"394,950",Mar 2021,,,,,,176,,,,,Armstrong Creek,1
Lot 834 Fleurieu Circuit,"401,300",Mar 2021,,,,,,221,,3,2,2,Armstrong Creek,1
81 Coastside Drive,"597,500",Mar 2021,"550,000",Oct 2018,,400,May 2017,398,161,4,2,2,Armstrong Creek,1
25 Sirrom Crescent,"841,000",Mar 2021,"207,000",Mar 2014,,,,630,,4,2,4,Armstrong Creek,1
