Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
40B Shannahan Drive,"545,000",Mar 2021,,,,,,323,,,,,Bell Park,2
13 Ashleigh Crescent,"510,000",Mar 2021,"155,000",Jul 2002,,,,562,,1,2,2,Bell Park,2
63 Malinda Crescent,"403,000",Mar 2021,"200,750",May 2006,,,,764,,,,,Bell Park,2
3/3 Maple Crescent,"560,000",Feb 2021,,,,,,,,,,,Bell Park,2
8 Yaraan Street,"571,000",Feb 2021,,,,,,630,,,,,Bell Park,2
2/61 McClelland Street,"426,000",Feb 2021,,,,,,,,,,,Bell Park,2
44-46 Shannahan Drive,"626,000",Feb 2021,,,,,,"1,217",,,,,Bell Park,2
42 Shannahan Drive,"324,000",Feb 2021,,,,,,630,,,,,Bell Park,2
4/16-18 Yaraan Street,"540,000",Feb 2021,,,,,,309,,,,,Bell Park,2
33B Malcolm Street,"550,000",Feb 2021,,,,360,Mar 2015,308,,3,2,1,Bell Park,2
2/16-18 Yaraan Street,"547,000",Jan 2021,,,,,,254,,,,,Bell Park,2
2/24 Milan Street,"430,000",Jan 2021,,,,,,,,,,,Bell Park,2
"2, 3 & 4/32 Tallinn Street","430,000",Dec 2020,,,,,,,,,,,Bell Park,2
24 Milan Street,"430,000",Dec 2020,,,,,,,,,,,Bell Park,2
24 Deakin Street,"439,994",Dec 2020,,,,235,Jun 2016,650,,2,1,2,Bell Park,2
17 Woodvale Court,"642,500",Dec 2020,"380,000",Jul 2014,,,,637,196,4,2,2,Bell Park,2
29 Libau Avenue,"411,200",Dec 2020,"331,000",Feb 2014,1.0,310,May 2014,455,118,3,1,2,Bell Park,2
45 Malinda Crescent,"580,800",Dec 2020,"145,000",Mar 2000,,,,913,,,,,Bell Park,2
72 Anakie Road,"545,000",Dec 2020,"344,000",Jun 2017,1.0,,,655,,2,1,5,Bell Park,2
4/1 Alcona Court,"197,000",Dec 2020,"120,000",Jan 2016,,220,Feb 2019,847,,,,,Bell Park,2
12 Nandina Close,"337,000",Dec 2020,"67,000",Oct 2002,,,,504,,,,,Bell Park,2
2/39 Deakin Street,"420,000",Dec 2020,"310,000",Jan 2016,,,,329,107,,,,Bell Park,2
26 Nanworen Crescent,"500,000",Dec 2020,"228,000",May 2005,,,,692,113,3,1,2,Bell Park,2
17 Vistula Avenue,"655,000",Dec 2020,"445,000",Jun 2014,,,,603,,4,2,2,Bell Park,2
6 David Court,"435,000",Nov 2020,"148,000",Dec 2002,,380,Dec 2020,656,,3,1,1,Bell Park,2
3/16-18 Yaraan Street,"535,000",Nov 2020,,,,,,254,,,,,Bell Park,2
1/4 Karlovac Court,"385,300",Nov 2020,"264,250",Dec 2012,,,,291,,,,,Bell Park,2
2/4 Karlovac Court,"435,000",Nov 2020,"380,000",Jun 2019,,320,Feb 2017,203,,,,,Bell Park,2
90 McClelland Street,"485,000",Nov 2020,,,,340,Jan 2021,603,,3,1,3,Bell Park,2
38 Bruce Street,"459,000",Nov 2020,,,,350,Feb 2021,650,,2,2,1,Bell Park,2
4B Milan Street,"362,000",Nov 2020,,,,360,Feb 2021,288,,3,1,2,Bell Park,2
33 Thorburn Street,"506,000",Nov 2020,,,,,,598,,,,,Bell Park,2
118 Anakie Road,"420,000",Nov 2020,"310,000",Jul 2014,,,,442,149,4,2,1,Bell Park,2
8 Kaunas Street,"590,000",Nov 2020,,,,,,604,,,,,Bell Park,2
169 Thompson Road,"405,000",Nov 2020,,,,,,682,,,,,Bell Park,2
8 Ozone Crescent,"580,000",Nov 2020,"495,000",Jan 2019,,320,Aug 2013,645,,4,2,4,Bell Park,2
44 Furner Avenue,"645,000",Oct 2020,"115,000",Jul 2003,,,,636,,,,,Bell Park,2
1/34 Roma Street,"420,000",Oct 2020,,,,,,227,,,,,Bell Park,2
1/40 Thorburn Street,"355,000",Oct 2020,"245,500",Oct 2011,,320,Sep 2017,248,,,,,Bell Park,2
2/37 Bruce Street,"495,000",Oct 2020,,,,380,Jul 2017,,,,,,Bell Park,2
74 Bruce Street,"465,000",Oct 2020,"355,000",Apr 2016,,340,Sep 2017,160,,,,,Bell Park,2
2/106 Anakie Road,"450,000",Sep 2020,,,,,,223,,3,2,2,Bell Park,2
69 McClelland Street,"580,000",Sep 2020,"330,000",Feb 2011,,,,781,154,3,2,4,Bell Park,2
34 Alicia Street,"482,500",Sep 2020,"320,100",Jul 2010,,285,Nov 2010,619,,3,1,2,Bell Park,2
38 Maple Crescent,"505,000",Sep 2020,"315,000",Sep 2014,,,,703,137,3,1,2,Bell Park,2
38 Maple Cresent,"505,000",Sep 2020,,,,,,,,,,,Bell Park,2
4 Bruce Street,"565,000",Sep 2020,,,,,,719,,3,2,2,Bell Park,2
2/25 Bruce Street,"475,000",Sep 2020,"355,000",Dec 2016,,325,Dec 2015,381,,,,,Bell Park,2
2/52 Curtin Street,"470,000",Sep 2020,"340,000",Oct 2014,,,,238,120,3,2,2,Bell Park,2
1/25 Vistula Avenue,"375,000",Sep 2020,,,,,,289,,3,1,1,Bell Park,2
19A Curtin Street,"190,000",Sep 2020,,,,,,242,,,,,Bell Park,2
1 Milton Street,"560,000",Aug 2020,,,,,,873,,3,1,4,Bell Park,2
28 Anakie Road,"458,000",Aug 2020,"236,000",Apr 2009,,190,Apr 2004,604,108,3,1,2,Bell Park,2
2/12 Willow Crescent,"395,000",Aug 2020,"247,000",May 2009,,270,Sep 2014,223,,,,,Bell Park,2
2/207 Separation Street,"467,000",Aug 2020,,,,,,218,,,,,Bell Park,2
1/42 Curtin Street,"400,000",Aug 2020,"290,000",Jul 2014,,,,331,136,4,1,2,Bell Park,2
26 Bellavista Road,"445,000",Aug 2020,"432,000",Aug 2018,,,,332,,2,1,2,Bell Park,2
30 Malinda Crescent,"506,750",Jul 2020,"385,000",May 2017,1.0,320,Mar 2012,653,,3,2,2,Bell Park,2
107/28-36 Barton Street,"440,000",Jul 2020,,,,,,,,,,,Bell Park,2
23 Malinda Crescent,"530,000",Jul 2020,,,,,,636,,,,,Bell Park,2
12 Nambet Court,"465,000",Jul 2020,"96,000",Jul 1999,,350,Sep 2018,650,,3,2,2,Bell Park,2
29 Alicia Street,"495,000",Jul 2020,"325,000",Dec 2014,,330,Nov 2014,627,107,3,1,2,Bell Park,2
54 Nanworen Crescent,"525,000",Jul 2020,"134,000",Mar 1997,,,,561,,4,,,Bell Park,2
2/45 Thorburn Street,"517,500",Jul 2020,,,,,,,,,,,Bell Park,2
144 Separation Street,"460,000",Jul 2020,,,,,,602,,3,1,3,Bell Park,2
3/6 Hughes Street,"470,000",Jun 2020,,,,360,Nov 2019,197,,,,,Bell Park,2
21 Karlovac Court,"510,000",Jun 2020,"226,000",Jan 2006,,350,Dec 2015,565,116,3,2,2,Bell Park,2
13 Stella Court,"510,000",Jun 2020,"303,500",Oct 2007,,,,350,,3,1,1,Bell Park,2
4 Samuel Close,"666,000",Jun 2020,,,,,,823,,,,,Bell Park,2
2/206B Separation Street,"521,000",Jun 2020,,,,,,,,,,,Bell Park,2
206B Separation Street,"521,000",Jun 2020,,,,,,,,,,,Bell Park,2
25 Prestige Avenue,"715,000",Jun 2020,"83,000",Oct 2002,,465,Nov 2018,631,,4,2,2,Bell Park,2
