Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
10 Dane Avenue,"1,100,000",Mar 2021,"170,000",Sep 2003,,,,720,365,,,,Bell Post Hill,3
74A Ernest Street,"450,000",Feb 2021,"345,000",Aug 2018,,,,,,2,1,,Bell Post Hill,3
44 Newton Avenue,"478,000",Feb 2021,"280,000",Aug 2013,,310,Apr 2017,544,112,3,1,1,Bell Post Hill,3
2/82 Braund Avenue,"380,000",Feb 2021,"201,000",Sep 2008,,280,Feb 2015,218,90,,,,Bell Post Hill,3
1/111 Liston Street,"422,000",Feb 2021,,,,,,283,,,,,Bell Post Hill,3
3/14-16 Wolseley Grove,"250,000",Feb 2021,"130,000",Dec 2014,,210,Jun 2018,"1,299",,,,,Bell Post Hill,3
8 Aintree Road,"535,000",Feb 2021,"275,000",Mar 2008,,380,Feb 2018,552,127,3,2,1,Bell Post Hill,3
7 Kansas Avenue,"565,000",Feb 2021,"430,000",Jun 2015,,420,Jul 2015,537,199,5,2,3,Bell Post Hill,3
49 Jedda Street,"560,000",Jan 2021,"386,000",May 2014,,400,Dec 2011,446,203,4,2,2,Bell Post Hill,3
2/10-12 Chatham Close,"373,750",Jan 2021,"218,000",Aug 2014,,260,Nov 2018,138,,,,,Bell Post Hill,3
2 Ravenell Court,"745,000",Jan 2021,"435,000",May 2012,,445,Oct 2011,817,,4,2,2,Bell Post Hill,3
19 McNaughton Street,"215,000",Dec 2020,"133,250",Sep 2016,,,,218,,,,,Bell Post Hill,3
24 Kansas Avenue,"430,000",Dec 2020,,,,,,527,,,,,Bell Post Hill,3
29 Kinlock Street,"426,000",Dec 2020,"195,000",May 2005,,,,624,,4,1,2,Bell Post Hill,3
4 Schofield Court,"827,000",Dec 2020,"495,000",Jan 2007,,,,815,,5,2,2,Bell Post Hill,3
33 Kansas Avenue,"496,000",Dec 2020,"332,000",Jan 2015,,345,Dec 2014,539,169,3,1,1,Bell Post Hill,3
12 Darriwill Street,"435,000",Dec 2020,,,,380,Jan 2021,537,,3,1,2,Bell Post Hill,3
13 Kinlock Street,"640,000",Dec 2020,"450,000",Aug 2016,,480,Jan 2021,624,188,4,2,2,Bell Post Hill,3
18 Tova Avenue,"450,000",Dec 2020,,,,,,899,,,,,Bell Post Hill,3
9 Pratt Court,"515,700",Dec 2020,,,,340,Sep 2018,677,,3,2,1,Bell Post Hill,3
169 Anakie Road,"575,000",Dec 2020,"482,500",Sep 2018,,,,569,,4,1,8,Bell Post Hill,3
4 Darriwill Street,"440,000",Dec 2020,"258,250",Feb 2010,,310,Feb 2016,544,,3,1,1,Bell Post Hill,3
6a Eagleview Crescent,"310,500",Nov 2020,,,,,,454,,,,,Bell Post Hill,3
16 Tova Avenue,"450,000",Nov 2020,,,,,,901,,,,,Bell Post Hill,3
141 Anakie Road,"580,000",Nov 2020,"437,500",Mar 2016,1.0,,,648,284,4,2,2,Bell Post Hill,3
74 Newton Avenue,"693,000",Nov 2020,"175,000",May 1989,,,,795,,5,2,3,Bell Post Hill,3
16 Schofield Court,"917,000",Nov 2020,"720,000",Apr 2013,,,,710,,5,3,2,Bell Post Hill,3
40 Beauford Avenue,"510,000",Nov 2020,,,,,,569,,3,1,2,Bell Post Hill,3
8A Wolseley Grove,"530,000",Oct 2020,,,,,,,,,,,Bell Post Hill,3
14 Kansas Avenue,"415,000",Oct 2020,,,,,,536,,,,,Bell Post Hill,3
