Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
89 Shackleton Street,"1,235,000",Mar 2021,"360,000",May 2013,,,,850,144,1,1,1,Belmont,4
8 Collins Street,"850,000",Mar 2021,,,,,,495,,,,,Belmont,4
26 Peary Street,"1,125,000",Mar 2021,,,,,,"1,001",,,,,Belmont,4
4/2 Eton Road,"450,000",Mar 2021,"220,000",Oct 2003,,300,May 2020,159,,,,,Belmont,4
99 Mt Pleasant Road,"851,250",Mar 2021,"276,500",Feb 2000,,,,806,,3,2,2,Belmont,4
8 Alsop Street,"982,000",Mar 2021,"305,000",Nov 2006,,,,812,,3,1,2,Belmont,4
60 Settlement Road,"382,000",Mar 2021,"275,000",Feb 2016,,225,Mar 2008,501,,3,1,1,Belmont,4
36 Ursa Street,"626,000",Mar 2021,"165,000",Aug 2010,,,,301,123,,,,Belmont,4
11 Crows Road,"590,000",Mar 2021,"77,000",May 1991,,,,768,,3,1,1,Belmont,4
17 Culbin Avenue,"981,000",Mar 2021,"525,000",May 2011,,,,677,,3,1,,Belmont,4
99 Mount Pleasant Road,"851,250",Mar 2021,,,,,,806,,,,,Belmont,4
3/148 Francis Street,"417,500",Mar 2021,"241,000",Jun 2009,,270,Mar 2011,192,,,,,Belmont,4
5/4-6 Hazel Street,"670,000",Mar 2021,,,,,,,,,,,Belmont,4
3 East View Parade,"1,790,000",Mar 2021,,,,,,950,,,,,Belmont,4
24 Rugby Street,"681,000",Mar 2021,,,,,,585,,,,,Belmont,4
3 Carr Street,"755,000",Mar 2021,"330,000",May 2011,,300,Oct 2012,773,,3,1,2,Belmont,4
5 The Avenue,"855,000",Mar 2021,"350,000",Jul 2010,,335,Aug 2018,804,,3,1,1,Belmont,4
3 Glenys Court,"764,000",Mar 2021,"440,000",Jan 2014,,,,657,,5,2,2,Belmont,4
4/11 Waurnvale Drive,"440,000",Mar 2021,"252,500",Nov 2012,,310,Apr 2019,134,,,,,Belmont,4
10 Jacobs Street,"850,000",Mar 2021,"101,000",Feb 1994,,,,788,206,,,,Belmont,4
23B Rotherham Street,"620,000",Mar 2021,,,,,,298,,,,,Belmont,4
18 Jacobs Street,"385,000",Mar 2021,,,,,,267,,,,,Belmont,4
3/177 Roslyn Road,"485,000",Mar 2021,"285,000",Aug 2013,,300,Aug 2016,167,,,,,Belmont,4
3A Rotherham Street,"850,000",Mar 2021,"695,000",Nov 2017,,,,356,,4,2,2,Belmont,4
