Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
7 Higgins Court,"500,000",Mar 2021,,,,,,588,,3,1,1,BreakWater,5
2 Solomon Court,"456,500",Mar 2021,,,,,,622,,3,1,4,BreakWater,5
20 Fellmongers Road,"417,000",Feb 2021,"278,000",Nov 2016,,270,Mar 2012,655,120,3,1,2,BreakWater,5
66-70 Tucker Street,"1,710,000",Dec 2020,,,,,,"2,042",,,,,BreakWater,5
6 Hitchcock Street,"434,000",Dec 2020,"271,000",Oct 2016,,320,May 2018,581,,3,1,1,BreakWater,5
11/1 Holman Court,"290,000",Dec 2020,"180,000",Dec 2016,,260,Apr 2019,54,,,,,BreakWater,5
4/58 Tucker Street,"470,000",Oct 2020,"371,000",Mar 2017,,,,"1,364",,3,2,2,BreakWater,5
3/21 Tucker Street,"290,000",Sep 2020,"133,000",Nov 2005,,200,Jan 2017,71,,2,1,1,BreakWater,5
6/43-45 Tucker Street,"310,000",Sep 2020,"89,000",May 2001,,250,Sep 2017,153,,,,,BreakWater,5
25 Hitchcock Street,"410,000",Aug 2020,"130,000",Nov 2002,,,,548,,2,,,BreakWater,5
26 Cosgrove Street,"445,000",Jun 2020,,,,,,771,,3,1,1,BreakWater,5
20 Young Street,"387,000",Jun 2020,"234,000",Aug 2010,,350,Feb 2019,591,,,,,BreakWater,5
14 Tucker Street,"406,500",May 2020,"181,000",Jun 2006,,230,Apr 2007,687,,3,1,1,BreakWater,5
2/24 Cosgrove Street,"405,500",Dec 2019,"302,000",Jul 2015,,,,285,111,,,,BreakWater,5
50 Hitchcock Street,"400,000",Nov 2019,"51,000",Jan 1987,,,,534,,3,1,1,BreakWater,5
33 Hitchcock Street,"410,000",Nov 2019,"265,000",Mar 2015,,,,560,102,2,1,2,BreakWater,5
3/51 Tucker Street,"385,000",Oct 2019,"285,500",Apr 2011,,,,214,,,,,BreakWater,5
25 Tucker Street,"405,000",Oct 2019,,,,370,Dec 2020,717,,3,1,1,BreakWater,5
1 Hodges Court,"385,000",Oct 2019,"336,000",Nov 2017,,360,Jul 2019,543,,3,1,1,BreakWater,5
44 Fidge Crescent,"425,000",Oct 2019,"250,000",Nov 2013,,295,Oct 2017,557,99,3,1,2,BreakWater,5
10 Fidge Crescent,"382,000",Sep 2019,,,,,,545,,3,1,2,BreakWater,5
8 Fidge Crescent,"410,000",Jul 2019,"195,000",Oct 2005,,325,May 2018,558,,3,1,4,BreakWater,5
27 Fidge Crescent,"392,000",Jul 2019,"213,000",Mar 2009,,300,Sep 2013,581,,3,1,2,BreakWater,5
29 Hitchcock Street,"405,000",Jul 2019,"230,000",Jan 2012,,,,553,102,3,1,1,BreakWater,5
29B Tanner Street,"400,000",Jun 2019,,,,350,Jun 2019,337,,3,1,2,BreakWater,5
52 Tucker Street,"830,000",May 2019,"110,000",Feb 2000,,500,Jul 2019,"1,979",,4,2,6,BreakWater,5
25 Tanner Street,"540,000",May 2019,"163,000",Dec 2008,,,,767,209,4,2,2,BreakWater,5
64 Fidge Crescent,"398,000",May 2019,,,,,,558,,3,1,2,BreakWater,5
8/55 Tanner Street,"359,000",May 2019,"300,000",Sep 2017,,300,Oct 2017,251,,,,,BreakWater,5
16 Tanner Street,"450,000",May 2019,"350,000",Nov 2013,,,,613,111,4,1,2,BreakWater,5
1/21 Tucker Street,"255,000",Apr 2019,,,,,,67,,2,1,1,BreakWater,5
4/51 Tanner Street,"362,000",Jan 2019,"272,500",Jul 2009,,330,Jan 2017,325,103,,,,BreakWater,5
4 Solomon Court,"385,000",Jan 2019,,,,370,Mar 2019,603,,3,1,2,BreakWater,5
29A Tanner Street,"475,000",Jan 2019,,,,,,428,,4,2,3,BreakWater,5
16 Hitchcock Street,"376,000",10 Nov 2018,,,1.0,,,557,,3,1,1,BreakWater,5
13 Fellmongers Road,"370,000",Oct 2018,,,,,,665,,3,1,6,BreakWater,5
236 St Albans Road,"455,000",Oct 2018,"77,500",Aug 1995,,,,663,,3,1,3,BreakWater,5
41 Fidge Crescent,"375,000",Oct 2018,,,,350,Nov 2018,589,,2,2,2,BreakWater,5
108 Tanner Street,"975,000",Sep 2018,"284,000",Feb 2000,,,,"9,977",,4,2,3,BreakWater,5
49 Tucker Street,"517,000",25 Aug 2018,,,1.0,390,Dec 2016,876,,4,2,2,BreakWater,5
2/58 Tucker Street,"367,500",Aug 2018,"310,000",Jul 2016,,350,May 2018,"1,364",,,,,BreakWater,5
9/1 Holman Court,"225,500",Aug 2018,"146,000",Jun 2012,,250,Jun 2019,52,,,,,BreakWater,5
9 Young Street,"385,000",Jul 2018,"275,000",Dec 2016,,,,596,116,3,1,2,BreakWater,5
48 Fidge Crescent,"378,000",Jul 2018,"151,000",Sep 2002,,350,Jun 2019,557,,3,1,3,BreakWater,5
18 Fidge Crescent,"420,000",Jul 2018,,,,360,Aug 2020,557,,3,1,5,BreakWater,5
12 McAllister Street,"400,000",Jul 2018,"210,000",Jun 2007,,,,536,,3,1,2,BreakWater,5
62 Fidge Crescent,"440,000",Jun 2018,"206,000",Jan 2010,,310,Oct 2014,557,,3,1,2,BreakWater,5
51A Tanner Street,"507,000",Jun 2018,,,,,,631,,4,2,2,BreakWater,5
2/21 Tucker Street,"325,000",Jun 2018,"266,000",Jan 2015,,290,Mar 2019,72,72,,,,BreakWater,5
30 Fidge Crescent,"385,000",Jun 2018,"257,000",May 2015,,280,Jul 2016,557,,3,1,1,BreakWater,5
8/58 Tucker Street,"390,000",Jun 2018,"360,000",Dec 2015,,,,322,,,,,BreakWater,5
3/2 Hamilton Court,"355,000",Jun 2018,"290,000",Nov 2014,,340,Aug 2020,192,,2,1,1,BreakWater,5
3 Higgins Court,"385,000",Apr 2018,"245,000",Apr 2014,,300,Aug 2014,615,102,3,1,1,BreakWater,5
10/1 Holman Court,"200,000",Apr 2018,"125,000",Feb 2000,,,,51,,,,,BreakWater,5
2/3 Tanner Street,"360,000",Apr 2018,,,,360,Dec 2017,149,,,,,BreakWater,5
3 Holman Court,"325,000",Apr 2018,"182,600",Aug 2004,,,,406,,,,,BreakWater,5
2/51 Tanner Street,"346,000",Apr 2018,"260,000",Oct 2009,,365,Nov 2019,329,,,,,BreakWater,5
1/1 Tanner Street,"355,000",Mar 2018,"310,000",Apr 2015,,330,May 2018,249,,,,,BreakWater,5
2 Fidge Crescent,"410,000",Mar 2018,"187,500",Apr 2005,,365,Nov 2018,591,,4,1,1,BreakWater,5
4 Hodges Court,"332,000",17 Feb 2018,,,1.0,,,538,,2,1,1,BreakWater,5
15 Hitchcock Street,"380,000",Feb 2018,,,,,,534,,3,1,2,BreakWater,5
5 Young Street,"285,000",Feb 2018,"205,000",Oct 2010,,,,534,,3,1,,BreakWater,5
3/3 Tanner Street,"350,000",Jan 2018,"310,000",Jan 2016,,340,Dec 2016,180,138,,,,BreakWater,5
7 Fellmongers Road,"295,000",Dec 2017,"157,500",May 2002,,,,604,,3,,,BreakWater,5
12 Tanner Street,"335,000",16 Dec 2017,"149,000",Jan 2003,1.0,350,May 2018,477,151,3,1,1,BreakWater,5
29 Tanner Street,"400,000",Nov 2017,"165,000",Apr 2006,,290,Nov 2013,767,148,4,2,2,BreakWater,5
27 Young Street,"391,000",Nov 2017,,,,,,534,,3,1,1,BreakWater,5
11 Fellmongers Road,"391,000",Nov 2017,"247,500",Dec 2014,,280,Sep 2011,664,113,3,1,4,BreakWater,5
6/22 Apparel Close,"450,000",Nov 2017,"290,000",May 2011,,,,"2,776",,,,,BreakWater,5
33 Tanner Street,"417,000",Oct 2017,,,,,,767,,3,1,2,BreakWater,5
5 Fellmongers Road,"349,000",Oct 2017,"237,000",Sep 2009,,349,Nov 2018,608,,3,1,4,BreakWater,5
4/55 Tanner Street,"300,000",Oct 2017,"245,000",Nov 2009,,285,Dec 2015,248,,,,,BreakWater,5
53 Tanner Street,"372,000",Sep 2017,"240,000",May 2009,,320,Feb 2017,739,126,3,1,2,BreakWater,5
5 Tucker Street,"332,000",Aug 2017,,,,,,282,,2,1,1,BreakWater,5
13 Fidge Crescent,"319,000",Aug 2017,,,,310,May 2019,557,,3,1,1,BreakWater,5
26 Fellmongers Road,"363,000",05 Aug 2017,"255,002",May 2015,1.0,,,657,129,3,1,2,BreakWater,5
66 Fidge Crescent,"320,000",Jul 2017,"72,000",Dec 1989,,,,591,,3,1,1,BreakWater,5
8 Hodges Court,"311,000",22 Jul 2017,"100,000",Jan 2002,1.0,400,Nov 2019,563,,3,1,3,BreakWater,5
22 Fellmongers Road,"295,000",Jul 2017,"231,000",Aug 2012,,280,Feb 2017,656,118,2,1,2,BreakWater,5
1/3 Tanner Street,"360,000",May 2017,,,,360,Feb 2012,268,,,,,BreakWater,5
35 Hitchcock Street,"315,000",May 2017,"270,000",Dec 2011,,330,Sep 2014,562,97,3,1,2,BreakWater,5
1/51 Tucker Street,"325,000",Apr 2017,"290,000",Jun 2011,,,,261,107,3,1,1,BreakWater,5
13 Tanner Street,"330,000",Apr 2017,"290,000",Oct 2015,,260,Jun 2015,843,122,2,1,4,BreakWater,5
27 Tanner Street,"435,000",08 Apr 2017,"51,400",Jan 1985,1.0,,,766,,3,1,5,BreakWater,5
16 Tucker Street,"226,500",Mar 2017,,,,,,&,,3,1,,BreakWater,5
1/60 Tanner Street,"310,000",Mar 2017,,,,270,Jun 2013,273,,,,,BreakWater,5
1/7 Tucker Street,"245,000",Feb 2017,"180,000",Aug 2010,,280,Apr 2017,642,,,,,BreakWater,5
8 Solomon Court,"280,000",Jan 2017,,,,300,Mar 2017,591,,3,1,,BreakWater,5
5 Hodges Court,"257,000",Dec 2016,,,,,,595,,3,1,1,BreakWater,5
19 Tucker Street,"432,000",Nov 2016,"320,000",Jul 2009,,,,22,138,3,1,1,BreakWater,5
23 Young Street,"247,500",Nov 2016,,,,280,Jan 2018,534,,3,1,1,BreakWater,5
17 Mcallister Street,"305,000",Oct 2016,"230,000",Feb 2011,,220,Jul 2008,557,,3,1,1,BreakWater,5
28 Tanner Street,"350,000",Oct 2016,"131,000",Nov 1999,,,,28,,4,2,4,BreakWater,5
