Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
176 Bacchus Marsh Road,"420,000",Mar 2021,"184,000",Mar 2015,,,,609,,,,,Corio,6
9 Vigar Court,"385,000",Mar 2021,"215,000",Jun 2014,,280,Jun 2018,597,96,3,1,3,Corio,6
7 Dargo Court,"450,000",Mar 2021,,,,,,649,,3,1,4,Corio,6
313 Princes Highway,"420,000",Mar 2021,,,,300,Apr 2015,739,94,3,1,1,Corio,6
58 Kingsley Drive,"430,000",Mar 2021,"254,500",Jun 2010,,300,Mar 2016,529,109,3,1,6,Corio,6
63 Sharland Road,"415,000",Mar 2021,"175,000",Apr 2006,,,,729,,3,1,4,Corio,6
82 Bacchus Marsh Road,"445,000",Mar 2021,"398,000",Nov 2018,,300,Feb 2019,706,100,3,1,3,Corio,6
4 Ovens Court,"410,000",Mar 2021,"305,000",Aug 2017,,330,Jul 2017,635,130,3,1,5,Corio,6
5 Moyston Grove,"552,000",Mar 2021,"439,000",May 2018,,305,Jun 2009,534,,4,2,5,Corio,6
19 Caldermeade Road,"435,000",Mar 2021,"260,000",Aug 2013,,,,509,111,3,2,1,Corio,6
29 Sharland Road,"455,000",Mar 2021,"397,000",Feb 2020,,,,664,98,3,1,,Corio,6
19 Teleta Crescent,"455,000",Mar 2021,"406,000",Mar 2018,,370,Jun 2018,641,188,4,1,1,Corio,6
39 Kosciusko Avenue,"445,000",Mar 2021,"250,000",Aug 2016,,275,Mar 2014,608,123,3,1,2,Corio,6
59 Glenelg Avenue,"440,000",Mar 2021,"220,000",Jun 2013,,,,600,104,3,1,5,Corio,6
1 Commander Way,"457,000",Mar 2021,,,,,,305,,,,,Corio,6
4 Laceby Court,"375,000",Mar 2021,"235,000",Jun 2016,,245,Sep 2016,670,,3,1,1,Corio,6
1 Kyeamba Court,"420,000",Mar 2021,"370,000",Jul 2018,,300,Jul 2018,607,126,3,1,1,Corio,6
4 Rockley Close,"450,000",Mar 2021,"263,000",May 2011,,280,Aug 2014,538,,3,1,4,Corio,6
41 Purnell Road,"410,000",Mar 2021,"310,000",Apr 2019,,,,660,,,,,Corio,6
18 Florida Avenue,"385,000",Mar 2021,"325,000",Jun 2019,,240,Feb 2017,557,,3,1,1,Corio,6
55 Colorado Drive,"382,500",Mar 2021,,,,,,560,,,,,Corio,6
13 Colorado Drive,"391,000",Mar 2021,"212,000",Sep 2016,,,,537,96,2,1,1,Corio,6
18 Talona Crescent,"350,000",Mar 2021,"140,000",Nov 2009,,250,Oct 2018,557,,2,1,2,Corio,6
225 Princes Highway,"390,000",Mar 2021,,,,,,697,,,,,Corio,6
15 Torbreck Street,"370,000",Mar 2021,"227,500",May 2017,,295,Mar 2018,557,,3,1,1,Corio,6
24 Matthews Road,"440,000",Mar 2021,"240,000",Oct 2011,,,,528,118,3,1,1,Corio,6
8 Sutcliffe Court,"407,500",Mar 2021,"192,000",May 2010,,,,651,104,3,2,2,Corio,6
16 Oregon Avenue,"380,000",Mar 2021,"155,000",Aug 2007,,,,551,,3,1,2,Corio,6
1/20-22 Talpa Crescent,"429,000",Feb 2021,,,,,,,,,,,Corio,6
9 Chaffey Square,"496,000",Feb 2021,,,,,,533,,,,,Corio,6
8 Chaffey Square,"495,500",Feb 2021,,,,,,527,,,,,Corio,6
15 Montana Court,"355,000",Feb 2021,"58,000",Nov 1993,,,,535,,3,1,1,Corio,6
26 Cranbourne Drive,"395,000",Feb 2021,"258,000",Dec 2013,,340,Jul 2018,534,,3,1,2,Corio,6
9 Pembroke Street,"437,000",Feb 2021,"373,000",Jul 2019,,260,Sep 2016,582,110,3,2,2,Corio,6
3 Wyoming Avenue,"420,000",Feb 2021,"305,000",Jul 2019,,,,536,,3,1,,Corio,6
1 Leonora Court,"459,000",Feb 2021,"90,000",May 1992,,,,608,,3,1,2,Corio,6
1/20 Talpa Crescent,"429,000",Feb 2021,,,,,,302,,,,,Corio,6
11 Leonora Court,"465,000",Feb 2021,"88,000",Jun 1990,,,,692,,3,,,Corio,6
2/76 Fairbairn Drive,"325,000",Feb 2021,"186,500",Jan 2016,,225,Jul 2014,233,,,,,Corio,6
59 Goldsworthy Road,"395,000",Feb 2021,"254,000",Mar 2014,,,,543,,3,1,2,Corio,6
11 Consedine Court,"470,000",Feb 2021,"159,000",May 2003,,,,574,,3,2,2,Corio,6
2/72-74 St Georges Road,"185,000",Feb 2021,,,,,,86,,,,,Corio,6
2/72 St. Georges Road,"185,000",Feb 2021,,,,,,,,,,,Corio,6
12 Florida Avenue,"365,000",Feb 2021,,,,,,564,,,,,Corio,6
61 Cloverdale Drive,"416,000",Feb 2021,"245,000",Apr 2012,,300,Jan 2013,686,102,3,1,1,Corio,6
134 Princess Road,"438,000",Feb 2021,"220,000",Aug 2011,,,,606,102,3,1,3,Corio,6
10 Ontario Avenue,"365,000",Feb 2021,"205,000",Jul 2012,,250,Nov 2012,620,,3,1,2,Corio,6
9 Beretta Court,"480,000",Jan 2021,"285,000",Oct 2014,,310,Oct 2014,598,128,3,2,2,Corio,6
39 Browallia Drive,"560,000",Jan 2021,"345,000",Nov 2011,,,,653,30,3,2,2,Corio,6
38 Donax Road,"400,000",Jan 2021,"185,000",Aug 2006,,265,Aug 2016,613,,3,1,1,Corio,6
51 Goldsworthy Road,"398,000",Jan 2021,,,,,,631,,,,,Corio,6
3 Glendye Court,"440,000",Jan 2021,"175,000",Apr 2003,,,,547,,3,1,3,Corio,6
3 Mitta Court,"500,000",Jan 2021,"255,000",May 2014,,220,Mar 2016,860,104,3,1,1,Corio,6
37 Goulburn Avenue,"390,000",Jan 2021,,,,,,694,,3,1,6,Corio,6
17 Amanda Avenue,"370,000",Jan 2021,"190,000",Mar 2009,,270,Sep 2014,746,120,3,2,5,Corio,6
5 Goodall Court,"410,000",Jan 2021,"74,000",Apr 1993,,260,Sep 2018,795,,3,1,1,Corio,6
3 Abelia Street,"394,000",Jan 2021,"177,000",Nov 2008,,,,583,116,3,1,1,Corio,6
1 Norfolk Crescent,"350,000",Jan 2021,"337,000",Dec 2018,,280,Nov 2018,579,,3,1,,Corio,6
7 Virgillia Square,"470,000",Jan 2021,"303,000",Sep 2012,,330,Jun 2011,538,,3,2,2,Corio,6
19 Fiona Avenue,"378,000",Jan 2021,,,,,,736,,,,,Corio,6
4 Petrea Close,"470,000",Dec 2020,"83,000",Oct 2005,,,,664,161,,,,Corio,6
3/31-33 CRANBOURNE Drive,"355,500",Dec 2020,"285,000",Nov 2017,,265,Feb 2014,205,,,,,Corio,6
40 Kingsley Drive,"455,000",Dec 2020,"285,500",Jun 2014,,,,587,,3,1,2,Corio,6
43 Sharland Road,"410,000",Dec 2020,"73,000",May 2001,,290,Sep 2019,754,,,,,Corio,6
8/11-17 Howitt Avenue,"215,000",Dec 2020,"110,000",Aug 2006,,,,56,,,,,Corio,6
1 Officer Court,"485,000",Dec 2020,"245,000",Jul 2014,,,,713,,3,2,3,Corio,6
14 Redfearn Court,"400,000",Dec 2020,,,,,,623,,4,1,4,Corio,6
9 Remington Street,"395,000",Dec 2020,"354,000",Mar 2019,,,,542,108,3,1,3,Corio,6
7 Moray Court,"345,000",Dec 2020,,,,235,Jan 2015,616,,3,1,1,Corio,6
23 Wilkins Street,"416,000",Dec 2020,,,,,,650,,,,,Corio,6
44 Coleraine Crescent,"472,500",Dec 2020,"260,000",Jul 2008,,,,720,720,3,2,1,Corio,6
33 Kingsley Drive,"450,100",Dec 2020,"220,000",Jan 2008,,220,May 2007,561,110,3,1,2,Corio,6
17 Granault Parade,"394,000",Dec 2020,,,,,,606,,,,,Corio,6
56 Hendy Street,"346,000",Dec 2020,"180,000",Sep 2009,,215,Oct 2009,557,,3,1,2,Corio,6
39 Howitt Avenue,"420,000",Dec 2020,"186,500",Dec 2014,,,,612,,3,1,2,Corio,6
23 Expedition Way,"480,000",Dec 2020,,,,,,353,,3,2,2,Corio,6
8 Wattle Place,"427,000",Dec 2020,"108,500",Sep 1993,,,,570,,1,3,2,Corio,6
6 CHARLTON ROAD,"437,000",Dec 2020,"230,000",Jan 2012,,180,May 2004,535,,3,1,1,Corio,6
221 Princes Highway,"345,000",Dec 2020,"110,000",Dec 2010,,,,697,,,,,Corio,6
34 Cabernet Road,"400,000",Dec 2020,"235,000",May 2011,,350,Jun 2019,562,,3,1,3,Corio,6
29 Bacchus Marsh Road,"300,000",Dec 2020,"73,000",Jan 2001,,,,576,,1,1,1,Corio,6
82 Princess Road,"390,000",Dec 2020,"330,000",Nov 2017,,,,613,124,4,1,2,Corio,6
7 Correa Close,"438,000",Dec 2020,"293,000",Jun 2014,,,,618,112,3,1,3,Corio,6
12 Glendye Court,"445,000",Dec 2020,,,,,,633,,3,2,2,Corio,6
9 Cabernet Road,"450,000",Dec 2020,"57,500",May 2003,,,,545,,,,,Corio,6
11 Loddon Street,"375,000",Dec 2020,"219,500",Jul 2014,,240,Aug 2014,630,103,3,1,1,Corio,6
