Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
25 Glenleith Avenue,"1,953,000",Mar 2021,"1,070,000",Feb 2016,,,,971,,4,2,3,Drumcondra,7
2/55 Melbourne Road,"689,000",Jan 2021,"475,002",May 2012,,,,220,157,,,,Drumcondra,7
31 Bell Parade,"980,000",Dec 2020,,,,,,252,,,,,Drumcondra,7
37 Bell Parade,"1,215,000",Jun 2020,"915,000",Apr 2015,,520,Jul 2015,646,177,3,2,3,Drumcondra,7
1/55 The Esplanade,"1,900,000",18 May 2020,,,1.0,,,421,,3,,,Drumcondra,7
55A The Esplanade,"1,900,000",18 May 2020,,,1.0,,,423,,3,2,3,Drumcondra,7
28 Wattletree Road,"1,520,000",Mar 2020,,,,,,343,,,,,Drumcondra,7
23 Beach Parade,"1,100,000",15 Feb 2020,"626,000",May 2012,1.0,420,Nov 2019,613,,3,1,3,Drumcondra,7
1/26 Lunan Avenue,"865,000",Feb 2020,"316,500",Sep 2000,,,,215,,,,,Drumcondra,7
39 The Esplanade,"2,275,000",Jul 2019,,,,660,Oct 2019,730,,5,2,4,Drumcondra,7
9 Grandview Grove,"1,219,000",Mar 2019,"590,000",Oct 2005,,,,625,253,4,2,,Drumcondra,7
3 Lunan Avenue,"900,000",Mar 2019,"775,000",Dec 2012,,,,610,,3,2,2,Drumcondra,7
15 Drumcondra Avenue,"901,000",14 Apr 2018,,,1.0,420,Jun 2016,624,,4,1,1,Drumcondra,7
9A Wattletree Road,"885,000",16 Dec 2017,,,1.0,470,May 2019,624,,3,1,1,Drumcondra,7
53 Princes Highway,"640,000",Dec 2017,"435,000",Oct 2011,,320,Jul 2010,835,,4,1,1,Drumcondra,7
53 Melbourne Road,"640,000",09 Dec 2017,"435,000",Oct 2011,1.0,410,Dec 2018,640,,3,1,1,Drumcondra,7
3 Bell Parade,"680,000",Nov 2017,"360,000",2009,,400,Mar 2010,330,122,3,2,1,Drumcondra,7
