Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
8 Lindon Street,"870,000",Mar 2021,"259,000",Apr 2003,,350,Dec 2017,629,,3,1,2,East Geelong,8
11 Philpott Street,"1,013,000",Mar 2021,,,,,,586,,,,,East Geelong,8
12 Tully Street,"645,000",Mar 2021,,,,,,322,,,,,East Geelong,8
185 Verner Street,"820,000",Mar 2021,"484,000",Aug 2015,,,,337,118,3,1,2,East Geelong,8
2a Loftus Street,"535,000",Feb 2021,"298,000",Aug 2012,,,,175,,2,1,1,East Geelong,8
41 Loch Street,"665,000",Feb 2021,,,,,,417,,,,,East Geelong,8
404 Ryrie Street,"797,500",Feb 2021,"350,000",Sep 2011,,,,149,,,,,East Geelong,8
201B McKillop Street,"720,000",Jan 2021,"485,000",Sep 2015,,,,,,3,2,2,East Geelong,8
7 Humble Street,"1,550,000",Jan 2021,"218,000",Oct 1995,,,,233,,3,,,East Geelong,8
5 Denman Street,"906,000",Dec 2020,"179,000",Sep 1994,,,,700,,4,3,3,East Geelong,8
22 Bendle Street,"750,000",Dec 2020,"580,000",Aug 2017,1.0,,,709,154,3,2,2,East Geelong,8
9 Normanby Street,"901,000",Dec 2020,"510,000",Dec 2013,,,,437,,3,2,1,East Geelong,8
392 Ryrie Street,"915,000",Dec 2020,"460,000",Mar 2016,,480,Oct 2019,405,129,3,1,1,East Geelong,8
290 Myers Street,"750,000",Nov 2020,"500,000",Dec 2012,,550,Dec 2020,257,,4,2,2,East Geelong,8
426 Ryrie Street,"900,000",Nov 2020,"452,000",Nov 2009,,290,Jan 2008,170,,4,1,2,East Geelong,8
207 Mckillop Street,"740,000",Nov 2020,"310,000",Jun 2005,,320,Apr 2016,407,,3,1,1,East Geelong,8
7 Bendle Street,"800,000",Oct 2020,,,,,,593,,,,,East Geelong,8
11 Thorne Street,"1,110,000",Oct 2020,"810,000",Jun 2016,1.0,450,Mar 2013,401,171,3,2,2,East Geelong,8
17 Anderson Street,"860,000",Oct 2020,"129,000",Dec 1999,,370,Nov 2015,666,125,3,1,1,East Geelong,8
15 Darling Street,"603,000",Oct 2020,"385,000",Dec 2011,,355,Oct 2012,344,119,3,1,2,East Geelong,8
1 Darling Street,"892,000",Oct 2020,"225,000",Jul 2006,,210,Apr 2007,345,150,2,1,2,East Geelong,8
464 Ryrie Street,"697,500",Oct 2020,"280,000",Mar 2004,,,,567,,3,2,3,East Geelong,8
15 Anderson Street,"1,320,000",Sep 2020,"417,850",Jan 2012,,305,Nov 2011,666,227,2,1,1,East Geelong,8
181 Verner Street,"1,030,000",Sep 2020,"300,000",Sep 2013,,280,May 2014,337,87,2,1,1,East Geelong,8
2 Lindon Street,"1,210,000",Sep 2020,"725,000",Apr 2014,1.0,,,666,209,4,2,1,East Geelong,8
219 McKillop Street,"560,000",Sep 2020,,,,,,481,,3,1,,East Geelong,8
24 MEAKIN Street,"1,305,000",Sep 2020,"52,000",Aug 1976,,,,134,,4,3,3,East Geelong,8
14 Tully Street,"840,000",Sep 2020,"123,000",Sep 1992,,,,224,,3,,,East Geelong,8
21 McNeill Avenue,"510,000",Aug 2020,,,,,,703,,3,2,2,East Geelong,8
5 Boyne Avenue,"745,000",Aug 2020,"315,350",Sep 2008,,,,434,129,2,1,1,East Geelong,8
23 Loch Street,"685,000",Aug 2020,"540,000",Oct 2017,1.0,460,Jan 2020,337,,3,2,2,East Geelong,8
3/21 Glen Avenue,"410,000",Aug 2020,"270,000",Oct 2011,,,,"1,093",81,,,,East Geelong,8
4 Bendle Street,"740,000",Aug 2020,"255,000",Dec 2006,,240,Apr 2007,672,131,3,1,1,East Geelong,8
4D Walter Street,"840,000",Aug 2020,,,,,,,,3,,,East Geelong,8
7/22-24 Walter Street,"365,000",Jul 2020,,,,280,Mar 2017,159,,,,,East Geelong,8
10 Frederick Street,"900,000",Jul 2020,"877,000",Nov 2017,,170,Nov 2004,491,138,3,1,2,East Geelong,8
5 Darling Street,"852,500",Jul 2020,"785,000",Mar 2018,,600,Jul 2018,515,,2,2,1,East Geelong,8
409 Myers Street,"498,500",Jul 2020,"242,500",Mar 2009,,,,244,,2,1,1,East Geelong,8
