Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
775 Pettavel Road,"1,400,000",Aug 2020,"445,000",May 2002,,,,"40,328",,,,,Freshwater Creek,9
2115 Hendy Main Road,"2,780,000",Jul 2020,,,,,,"627,479",,,,,Freshwater Creek,9
535 Pettavel Road,"1,560,000",Jul 2020,"570,000",Apr 2005,,,,"42,344",,5,2,3,Freshwater Creek,9
1440 Blackgate Road,"1,250,000",Jan 2020,,,,,,"81,516",,,,,Freshwater Creek,9
1305 Blackgate Road,"2,150,000",Nov 2019,"1,075,000",Oct 2015,,,,"144,885",,3,2,3,Freshwater Creek,9
2245 Hendy Main Road,"1,350,000",Nov 2019,"193,000",Jul 1991,,585,May 2019,"15,940",,,,,Freshwater Creek,9
30 Hardings Road,"1,675,000",Oct 2019,,,,,,"54,016",,4,2,12,Freshwater Creek,9
785 Dickins Road,"1,195,000",26 Oct 2019,,,1.0,,,"80,649",,,,,Freshwater Creek,9
20 Yandina Road,"1,599,999",Jun 2019,"890,000",Oct 2013,,,,"124,216",236,,,,Freshwater Creek,9
2145 Hendy Main Road,"1,540,000",Mar 2019,"800,000",Aug 2006,,,,"64,968",,,,,Freshwater Creek,9
5 Hardings Road,"1,520,000",Dec 2018,"165,500",Sep 1984,,,,"43,471",,,,,Freshwater Creek,9
735 Anglesea Road,"805,000",Nov 2018,"347,000",Mar 2003,,600,Nov 2019,"19,882",,4,1,2,Freshwater Creek,9
1120 Anglesea Road,"1,150,000",Jul 2018,"511,000",Dec 2005,,650,Nov 2019,"17,665",,3,2,2,Freshwater Creek,9
455 Dickins Road,"1,600,000",Jul 2018,"602,500",Sep 2011,,,,"68,918",,4,2,2,Freshwater Creek,9
1115 Dickins Road,"1,600,000",Jul 2018,"570,000",May 2009,,,,"470,388",,,,,Freshwater Creek,9
900 Mt Duneed Road,"1,642,000",Aug 2017,,,,,,"39,405",,,,,Freshwater Creek,9
380 Coombes Road,"1,235,000",20 May 2017,"210,000",May 1989,1.0,,,"89,717",,,,,Freshwater Creek,9
135 Loutitt Bay Road,"1,225,000",Dec 2016,"392,500",Dec 2001,,,,"64,489",230,,,,Freshwater Creek,9
25 Hardings Road,"1,200,000",Nov 2016,,,,,,"86,805",,,,,Freshwater Creek,9
510 Loutitt Bay Road,"1,320,000",Oct 2016,"1,100,000",May 2007,,,,"70,409",,,,,Freshwater Creek,9
865 Anglesea Road,"1,390,000",Apr 2016,,,,,,"105,600",,,,,Freshwater Creek,9
605 Mt Duneed Road,"720,000",Mar 2016,,,,,,"56,656",167,,,,Freshwater Creek,9
655 Willowite Road,"870,000",Oct 2015,"580,000",Jun 2003,,,,"15,016",,5,2,4,Freshwater Creek,9
1185 Blackgate Road,"1,075,000",Oct 2015,,,,,,"364,472",,5,1,4,Freshwater Creek,9
