Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
45 Hope Street,"760,000",Mar 2021,"180,000",Sep 2006,,,,433,,2,,,Geelong West,11
1 Pizer Street,"782,000",Mar 2021,"660,000",May 2018,,220,Feb 2005,241,,3,1,1,Geelong West,11
101 Britannia Street,"650,000",Mar 2021,,,,,,388,,3,1,2,Geelong West,11
3/225 Hope Street,"680,000",Mar 2021,"337,000",Nov 2004,,"439,000",May 2014,315,,3,2,1,Geelong West,11
48 Trigg Street,"940,000",Mar 2021,"506,000",Oct 2015,1.0,410,May 2012,539,,4,2,3,Geelong West,11
11 French Street,"734,000",Mar 2021,,,,,,389,,,,,Geelong West,11
28 Potter Street,"660,000",Mar 2021,"395,750",May 2012,,300,Sep 2010,24,,,,,Geelong West,11
6 Cross Street,"815,000",Mar 2021,"113,000",Jan 1999,,230,Apr 2007,253,,2,1,,Geelong West,11
32-32A Elizabeth Street,"875,000",Mar 2021,,,,,,312,,,,,Geelong West,11
45 Catherine Street,"1,375,000",Mar 2021,"602,500",Oct 2018,1.0,,,497,,3,1,1,Geelong West,11
212 Shannon Avenue,"995,000",Mar 2021,"440,000",Feb 2009,,510,Mar 2019,616,,4,2,2,Geelong West,11
19 Church Street,"800,000",Feb 2021,"190,000",Jul 2013,,,,227,,,,,Geelong West,11
36 Clarence Street,"1,428,000",Feb 2021,"870,000",Sep 2016,,300,Nov 2016,410,,4,1,1,Geelong West,11
66-68 Elizabeth Street,"575,000",Feb 2021,"205,000",Apr 2015,,,,240,,1,1,4,Geelong West,11
1/105 Gertrude Street,"375,000",Feb 2021,"167,000",Jul 2007,,,,"1,416",,,,,Geelong West,11
7/48-50 Britannia Street,"715,000",Feb 2021,"470,000",Jul 2015,,450,Aug 2015,193,,,,,Geelong West,11
19 John Street,"696,000",Feb 2021,,,,,,461,,3,1,1,Geelong West,11
61 Crofton Street,"807,000",Feb 2021,"99,500",Jun 1998,,310,Jan 2015,409,163,3,1,2,Geelong West,11
66 Elizabeth Street,"575,000",Feb 2021,"470,000",May 2015,,,,240,,1,1,1,Geelong West,11
130 Elizabeth Street,"1,004,999",Feb 2021,"472,000",Jun 2011,,,,479,,4,2,2,Geelong West,11
29 Collins Street,"885,000",Feb 2021,"259,950",Aug 2006,,370,Nov 2017,721,,3,1,2,Geelong West,11
75 Clarence Street,"1,085,000",Feb 2021,"790,000",Mar 2017,1.0,,,519,146,4,2,4,Geelong West,11
109/12 Bowlers Avenue,"410,000",Feb 2021,,,,,,,,,,,Geelong West,11
G02/12 Bowlers Avenue,"665,000",Feb 2021,,,,,,,,,,,Geelong West,11
9 Elizabeth Street,"1,290,000",Jan 2021,"540,000",Dec 2018,1.0,270,May 2015,391,,3,1,1,Geelong West,11
51 Catherine Street,"915,000",Jan 2021,"362,500",Aug 2004,,,,497,,3,1,,Geelong West,11
32 George Street,"535,000",Jan 2021,,,,260,Apr 2013,611,,3,1,1,Geelong West,11
G06/12 Bowlers Avenue,"496,000",Jan 2021,,,,,,,,,,,Geelong West,11
103 Elizabeth Street,"863,150",Jan 2021,"501,000",Sep 2014,1.0,290,Jan 2009,446,,3,1,2,Geelong West,11
10/1-4 Howe Court,"285,000",Jan 2021,"205,000",Feb 2012,,,,133,,1,1,1,Geelong West,11
Lot 27/12 Bowlers Avenue,"649,000",Jan 2021,,,,,,,,,,,Geelong West,11
5/12 Bowlers Avenue,"749,000",Jan 2021,,,,,,,,,,,Geelong West,11
Lot 24/12 Bowlers Avenue,"659,000",Jan 2021,,,,,,,,,,,Geelong West,11
118 Elizabeth Street,"1,150,000",Jan 2021,"493,000",Oct 2018,1.0,,,513,,3,1,1,Geelong West,11
207/12 Bowlers Avenue,"425,000",Jan 2021,,,,,,,,,,,Geelong West,11
114 Britannia Street,"850,000",Jan 2021,"315,000",Aug 2012,,,,583,205,3,1,1,Geelong West,11
1/34 O'connell Street,"590,000",Jan 2021,"260,000",Sep 2009,,340,Jan 2015,214,,,,,Geelong West,11
3/12 Bowlers Avenue,"729,000",Dec 2020,,,,,,,,,,,Geelong West,11
2/57 Waratah Street,"1,135,000",Dec 2020,"197,500",Nov 2009,,,,290,,4,2,1,Geelong West,11
108/12 Bowlers Avenue,"639,000",Dec 2020,,,,,,,,,,,Geelong West,11
135 Elizabeth Street,"810,000",Dec 2020,"695,000",Feb 2018,,450,Aug 2019,553,163,4,1,3,Geelong West,11
38 Collins Street,"1,010,000",Dec 2020,"700,000",Jun 2016,1.0,380,Jun 2012,665,205,4,2,4,Geelong West,11
209/12 Bowlers Avenue,"434,000",Dec 2020,,,,,,,,,,,Geelong West,11
7 O'Connell Street,"920,000",Dec 2020,"640,000",Jul 2014,1.0,585,Sep 2019,568,,3,2,3,Geelong West,11
20 Waratah Street,"970,000",Dec 2020,"761,000",Sep 2017,1.0,470,Apr 2013,377,117,3,1,,Geelong West,11
47a Albert Street,"720,000",Dec 2020,"214,000",Aug 2014,,,,293,,,,,Geelong West,11
3/30 Albert Street,"320,000",Dec 2020,"212,000",Dec 2013,,320,Feb 2021,106,,,,,Geelong West,11
Lot 8/12 Bowlers Avenue,"729,000",Dec 2020,,,,,,,,,,,Geelong West,11
18 McDougall Street,"507,000",Dec 2020,,,,,,288,,3,1,1,Geelong West,11
10/12 Bowlers Avenue,"709,000",Dec 2020,,,,,,,,,,,Geelong West,11
35 Coquette Street,"755,000",Dec 2020,"287,000",Nov 2003,,350,Sep 2019,400,104,3,1,,Geelong West,11
45 Crofton Street,"1,200,000",Dec 2020,"343,000",Jun 2008,,,,409,,4,1,1,Geelong West,11
12/12 Bowlers Avenue,"899,000",Dec 2020,,,,,,,,,,,Geelong West,11
29 Wellington Street,"1,200,000",Dec 2020,"169,950",Feb 2000,,,,543,,3,2,2,Geelong West,11
Lot 7/12 Bowlers Avenue,"739,000",Dec 2020,"729,000",Dec 2019,,,,,,,,,Geelong West,11
2/52 Clarence Street,"590,000",Dec 2020,"387,000",Oct 2014,1.0,,,282,134,,,,Geelong West,11
209/50 Bowlers Avenue,"434,000",Dec 2020,,,,,,,,,,,Geelong West,11
7 Hodgson Street,"876,000",Dec 2020,"437,000",Nov 2012,1.0,,,515,165,3,1,,Geelong West,11
50-52 Clonard Avenue,"1,400,000",Dec 2020,,,,,,"1,177",,5,1,4,Geelong West,11
19 Crofton Street,"743,500",Dec 2020,"164,000",Jun 2001,,,,409,,3,,,Geelong West,11
2/15 Isabella Street,"270,000",Dec 2020,"198,000",Aug 2012,,235,Jun 2017,61,,1,1,1,Geelong West,11
