Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
58 Sydney Parade,"660,000",Mar 2021,"274,500",Aug 2004,,450,Jan 2018,29,95,2,1,2,Geelong,10
74 Little Myers Street,"955,000",Mar 2021,,,,,,401,,,,,Geelong,10
50 Mundy Street,"545,000",Mar 2021,"92,500",Mar 2001,,200,Jun 2010,213,87,2,1,,Geelong,10
323 Moorabool Street,"825,000",Mar 2021,"399,000",Mar 2007,,470,Apr 2018,430,152,3,1,1,Geelong,10
404/18 Malone Street,"461,000",Mar 2021,,,,,,"2,030",,,,,Geelong,10
189 Kilgour Street,"790,000",Mar 2021,"475,000",Sep 2013,,340,Jan 2012,487,135,3,1,4,Geelong,10
1105/18 Malone Street,"1,017,500",Mar 2021,,,,,,"2,030",,,,,Geelong,10
512/18 Malone Street,"1,366,000",Mar 2021,,,,,,"2,030",,,,,Geelong,10
52 Eastern Beach Road,"1,930,000",Feb 2021,,,,,,335,,2,2,2,Geelong,10
52-54 Eastern Beach Road,"1,930,000",Feb 2021,,,,,,10,,,,,Geelong,10
151 Swanston Street,"701,000",Feb 2021,"581,000",Jun 2018,,335,Nov 2015,251,,2,1,1,Geelong,10
109 Swanston Street,"778,000",Feb 2021,"285,000",Jan 2011,,,,152,,2,1,4,Geelong,10
403 18-20 Cavendish Street,"600,000",Feb 2021,,,,,,,,,,,Geelong,10
"403, 18-20 Cavendish Street","600,000",Feb 2021,,,,,,,,,,,Geelong,10
7 Douglas Place,"731,000",Feb 2021,"177,000",Aug 2015,,,,320,162,3,2,1,Geelong,10
226 Moorabool Street,"1,030,000",Feb 2021,"870,000",Apr 2017,,650,Mar 2021,235,,,,,Geelong,10
20 Mundy Street,"840,000",Feb 2021,"180,000",Jul 2003,,,,222,,3,1,,Geelong,10
4 Suttons Lane,"720,000",Feb 2021,"656,000",Jun 2018,,390,Sep 2012,272,,3,2,2,Geelong,10
121 McKillop Street,"1,050,000",Feb 2021,,,,,,"1,015",,4,1,,Geelong,10
302/110 Brougham Street,"1,460,000",Feb 2021,,,,,,,,,,,Geelong,10
23 Maud Street,"911,000",Feb 2021,"334,000",May 2005,,,,430,,3,1,1,Geelong,10
Level 5 705/100 Western Beach Road,"1,830,000",Feb 2021,,,,,,,,,,,Geelong,10
"Level 5, 705/100 Western Beach Road","1,830,000",Feb 2021,,,,,,,,,,,Geelong,10
209/6-8 Eastern Beach Road,"425,000",Jan 2021,"390,000",Oct 2010,1.0,400,Jun 2018,"2,126",72,,,,Geelong,10
20/61 Brougham Street,"970,000",Jan 2021,"487,000",Nov 2009,,420,Jul 2009,830,183,,,,Geelong,10
2/146 Bellerine Street,"447,000",Jan 2021,,,,,,"9,817",,,,,Geelong,10
1/7 Carr Street,"595,000",Jan 2021,"465,000",Jul 2011,,360,Jun 2015,222,154,,,,Geelong,10
