Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
4/6 Blair Court,"315,000",Mar 2021,"183,777",Sep 2007,,280,May 2019,123,90,,,,Grovedale,12
85 Reserve Road,"516,000",Mar 2021,"335,000",Nov 2011,,385,Oct 2017,436,,3,2,2,Grovedale,12
Lot 2342 31 Bedajanawa Drive,"330,000",Mar 2021,,,,,,,,,,,Grovedale,12
Lot 2324 29 Panabeh Place,"380,000",Mar 2021,,,,,,550,,,,,Grovedale,12
Lot 2344 35 Bedajanawa Drive,"357,500",Mar 2021,,,,,,539,,,,,Grovedale,12
16 Nevett Court,"540,000",Mar 2021,,,,,,577,,,,,Grovedale,12
Lot 2345 37 Bedajanawa Drive,"337,500",Mar 2021,,,,,,471,,,,,Grovedale,12
Lot 2327 35-39 Panabeh Place,"337,500",Mar 2021,,,,,,,,,,,Grovedale,12
8 Serica Court,"610,000",Mar 2021,"113,000",Jul 1995,,,,625,,,,,Grovedale,12
44 Waratah Place,"475,000",Mar 2021,,,,,,244,,3,2,1,Grovedale,12
19 Skinner Court,"651,000",Mar 2021,"106,000",May 1986,,,,588,,,,,Grovedale,12
1/65 Gloucester Street,"428,000",Mar 2021,"268,000",Dec 2012,,285,Jul 2016,156,,,,,Grovedale,12
Lot 2312 34 Panabeh Place,"315,000",Mar 2021,,,,,,,,,,,Grovedale,12
20 Heyers Road,"500,000",Mar 2021,"265,000",Jul 2012,,,,592,,3,1,1,Grovedale,12
Lot 2313 32 Panabeh Place,"315,000",Mar 2021,,,,,,400,,,,,Grovedale,12
Lot 2310 38 Panabeh Place,"330,000",Mar 2021,,,,,,448,,,,,Grovedale,12
Lot 2343 33 Bedajanawa Drive,"330,000",Mar 2021,,,,,,473,,,,,Grovedale,12
8 Jaybree Court,"575,000",Mar 2021,"390,000",Jan 2016,,410,Mar 2018,917,123,3,2,4,Grovedale,12
22 Greenville Drive,"1,020,000",Feb 2021,,,,,,"3,825",,,,,Grovedale,12
Lot 2336 11 Bedajanawa Drive,"350,000",Feb 2021,,,,,,512,,,,,Grovedale,12
Lot 2303 14 Bedajanawa Drive,"322,500",Feb 2021,,,,,,504,,,,,Grovedale,12
42 Gloucester Street,"646,000",Feb 2021,"427,000",Jun 2019,,,,620,,3,2,2,Grovedale,12
38 Muscovy Drive,"571,000",Feb 2021,"150,000",Jul 2009,,,,495,,,,,Grovedale,12
1 Jutland Court,"567,000",Feb 2021,"213,000",Jul 2006,,,,653,,3,1,,Grovedale,12
Lot 2336 Bedajanawa Drive,"350,000",Feb 2021,,,,,,,,,,,Grovedale,12
Lot 2302 16 Bedajanawa Drive,"322,500",Feb 2021,,,,,,504,,,,,Grovedale,12
Lot 2319 20 Panabeh Place,"330,000",Feb 2021,,,,,,448,,,,,Grovedale,12
34 Killarney Avenue,"275,000",Feb 2021,"189,000",Feb 2014,,,,420,,,,,Grovedale,12
2 Daventry Avenue,"570,000",Feb 2021,"315,000",Dec 2015,,370,Nov 2018,544,152,3,1,1,Grovedale,12
13 Marma Court,"645,000",Feb 2021,"428,000",Feb 2016,,,,"1,071",193,4,2,2,Grovedale,12
Lot 2314 30 Panabeh Place,"330,000",Feb 2021,,,,,,,,,,,Grovedale,12
6 Niblett Court,"620,000",Feb 2021,"148,000",Mar 2000,,,,706,,2,1,1,Grovedale,12
Lot 2337 13 Bedajanawa Drive,"320,000",Feb 2021,,,,,,448,,,,,Grovedale,12
3/5 Reserve Road,"540,000",Feb 2021,,,,,,365,,,,,Grovedale,12
140 Burdoo Drive,"552,500",Feb 2021,"62,500",Sep 1984,,,,619,,3,1,1,Grovedale,12
71 Reserve Road,"1,080,000",Feb 2021,"650,000",Aug 2017,,,,"1,767",,3,1,3,Grovedale,12
3 Allambee Avenue,"726,000",Feb 2021,"515,000",Sep 2016,,,,616,,4,2,2,Grovedale,12
Lot 2340 19-23 Bedajanawa Drive,"315,000",Feb 2021,,,,,,500,,,,,Grovedale,12
27 Heyers Road,"610,000",Feb 2021,"455,000",Jul 2017,,,,695,,3,2,,Grovedale,12
82 Moruya Drive,"535,000",Feb 2021,,,,,,642,,,,,Grovedale,12
Lot 2349 45-49 Bedajanawa Drive,"340,000",Feb 2021,,,,,,,,,,,Grovedale,12
1/8 Flower Court,"540,000",Feb 2021,"259,000",Mar 2006,,,,341,,,,,Grovedale,12
Lot 2323 27 Panabeh Place,"365,000",Feb 2021,,,,,,,,,,,Grovedale,12
227 Bailey Street,"695,000",Feb 2021,"127,000",Jul 2006,,,,654,,,,,Grovedale,12
Lot 2222 Jockia Ridge,"340,000",Jan 2021,,,,,,552,,,,,Grovedale,12
6 Param Street,"700,000",Jan 2021,,,,,,755,,4,2,2,Grovedale,12
3 Griffith Street,"630,000",Jan 2021,"226,000",Apr 2001,,,,638,,1,2,2,Grovedale,12
9 Sadean Place,"635,000",Jan 2021,"127,000",Jul 2004,,,,739,,4,2,2,Grovedale,12
74 Grove Road,"618,000",Dec 2020,,,,,,409,,,,,Grovedale,12
Lot 2304 Bedajanawa Drive,"350,000",Dec 2020,,,,,,,,,,,Grovedale,12
Lot 2328 Panabeh Place,"350,000",Dec 2020,,,,,,,,,,,Grovedale,12
Lot 2330 Panabeh Place,"352,500",Dec 2020,,,,,,,,,,,Grovedale,12
Lot 2329 Panabeh Place,"355,000",Dec 2020,,,,,,,,,,,Grovedale,12
Lot 2325 Panabeh Place,"380,000",Dec 2020,,,,,,,,,,,Grovedale,12
Lot 2306 Bedajanawa Drive,"345,000",Dec 2020,,,,,,,,,,,Grovedale,12
10 Alan Street,"545,600",Dec 2020,"120,000",Mar 2006,,450,Feb 2021,584,156,4,2,2,Grovedale,12
97 Church Street,"520,000",Dec 2020,"132,000",Aug 1997,,,,"1,539",,3,2,2,Grovedale,12
33 Burleigh Drive,"556,000",Dec 2020,"73,500",Sep 1987,,420,Feb 2021,667,,3,1,2,Grovedale,12
7 Kerrie Court,"805,000",Dec 2020,"623,000",Oct 2018,1.0,600,Nov 2018,915,239,5,2,2,Grovedale,12
9 Hyatt Court,"720,000",Dec 2020,"489,000",Feb 2014,,,,557,185,3,2,2,Grovedale,12
Lot 2309 2 Bedajanawa Drive,"355,000",Dec 2020,,,,,,568,,,,,Grovedale,12
