Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
1/14 Waiora Avenue,"510,000",Mar 2021,"292,500",Mar 2015,,300,Apr 2014,650,101,,,,Hamlyn Heights,13
10 Bayview Parade,"840,000",Mar 2021,"320,000",Nov 2006,,,,674,,3,1,1,Hamlyn Heights,13
22 Highview Parade,"675,553",Mar 2021,,,,,,,,3,1,3,Hamlyn Heights,13
2/14 Mary Street,"702,500",Mar 2021,"575,000",Oct 2018,,385,Jan 2015,253,,3,2,1,Hamlyn Heights,13
75 Sladen Street,"620,000",Mar 2021,"587,500",May 2018,,370,Jul 2018,772,,4,1,1,Hamlyn Heights,13
18b Calvert Street,"620,000",Mar 2021,"319,000",Apr 2013,,330,Dec 2016,414,,3,1,3,Hamlyn Heights,13
7 Sladen Street,"800,000",Mar 2021,"52,000",Jul 1998,,,,635,,4,2,2,Hamlyn Heights,13
18a Calvert Street,"657,000",Mar 2021,"420,000",Jan 2015,,,,415,,,,,Hamlyn Heights,13
18 Heather Street,"680,000",Feb 2021,"116,000",Feb 2000,,,,735,,3,,,Hamlyn Heights,13
350 Church Street,"733,000",Feb 2021,"345,000",Aug 2013,,,,736,136,3,1,2,Hamlyn Heights,13
7 Robb Avenue,"560,000",Feb 2021,,,,,,650,,,,,Hamlyn Heights,13
9 Teak Street,"540,000",Feb 2021,,,,,,649,,3,1,1,Hamlyn Heights,13
2/12 Alkoomi Avenue,"525,000",Feb 2021,"370,000",Feb 2000,,320,Nov 2009,228,131,,,,Hamlyn Heights,13
1b Sheridan Street,"619,000",Feb 2021,,,,,,236,,,,,Hamlyn Heights,13
19 Parkland Drive,"740,000",Feb 2021,"370,000",Jan 2010,,,,744,195,4,2,2,Hamlyn Heights,13
7 Langibanool Avenue,"650,000",Feb 2021,,,,,,731,,,,,Hamlyn Heights,13
11 Downie Crescent,"785,000",Feb 2021,"130,190",Nov 1999,,,,692,,3,,,Hamlyn Heights,13
36 Pride Avenue,"755,000",Feb 2021,"282,500",Nov 2007,,210,Sep 2006,950,145,4,1,2,Hamlyn Heights,13
51 Glengate Street,"844,000",Feb 2021,"405,000",Sep 2007,,,,680,,3,2,2,Hamlyn Heights,13
2A Hamlyn Avenue,"513,000",Feb 2021,"301,000",Mar 2015,,,,269,,2,1,1,Hamlyn Heights,13
1/160 Church Street,"440,000",Feb 2021,"275,000",Apr 2016,,260,Feb 2014,205,,,,,Hamlyn Heights,13
1 Logan Street,"640,000",Jan 2021,"407,500",Nov 2010,,330,Sep 2019,692,166,4,2,1,Hamlyn Heights,13
3/2 Fassifern Court,"325,000",Jan 2021,"248,000",Jan 2012,1.0,285,Jun 2018,75,,,,,Hamlyn Heights,13
1 Olea Court,"745,000",Jan 2021,"190,000",Oct 2003,,,,660,,,,,Hamlyn Heights,13
9 Royal Crescent,"305,000",Jan 2021,,,,,,,,,,,Hamlyn Heights,13
80 Calvert Street,"881,000",Jan 2021,"600,000",Oct 2018,1.0,,,763,,3,2,1,Hamlyn Heights,13
21 Lily Street,"832,000",Jan 2021,"515,000",Mar 2015,1.0,,,717,256,5,3,2,Hamlyn Heights,13
51 Hamlyn Avenue,"660,000",Jan 2021,"495,000",Jun 2019,,,,611,,3,1,2,Hamlyn Heights,13
1/7 Ebden Street,"625,000",Jan 2021,"412,000",Nov 2010,,450,Mar 2019,288,179,,,,Hamlyn Heights,13
1/36 Kalimna Street,"530,000",Jan 2021,,,,,,294,,3,1,1,Hamlyn Heights,13
5 Gwynne Street,"475,000",Jan 2021,,,,,,318,,2,1,,Hamlyn Heights,13
1 Woorayl Street,"603,000",Dec 2020,"279,000",Jul 2009,,,,163,,3,2,2,Hamlyn Heights,13
68A Vines Road,"485,000",Dec 2020,,,,,,317,,,,,Hamlyn Heights,13
39 Forfar Road,"520,000",Dec 2020,"355,000",Nov 2017,1.0,,,623,,,,,Hamlyn Heights,13
13 Drysdale Avenue,"492,500",Dec 2020,"267,000",May 2006,,395,Jan 2021,239,,2,1,1,Hamlyn Heights,13
49 Logan Street,"807,500",Dec 2020,,,,,,"1,011",,2,1,1,Hamlyn Heights,13
112 Sladen Street,"700,000",Dec 2020,"497,000",Apr 2018,,525,Jan 2021,597,,2,1,1,Hamlyn Heights,13
61 Hamlyn Avenue,"425,000",Dec 2020,,,,,,609,,,,,Hamlyn Heights,13
116 Ballarat Road,"517,000",Dec 2020,"222,000",Jan 2012,,320,May 2018,509,,3,1,3,Hamlyn Heights,13
1-4/72 Sladen Street,"795,000",Dec 2020,,,,,,,,,,,Hamlyn Heights,13
30 Devon Street,"635,000",Dec 2020,"384,000",Sep 2010,,350,Nov 2015,712,,3,1,2,Hamlyn Heights,13
34 Sladen Street,"557,000",Dec 2020,"347,000",Nov 2015,,350,Jan 2016,710,,3,2,4,Hamlyn Heights,13
79 Drysdale Avenue,"525,000",Dec 2020,"300,000",Feb 2000,,310,Apr 2013,674,138,3,1,1,Hamlyn Heights,13
24 Quamby Avenue,"500,000",Dec 2020,"225,000",Oct 2007,,340,Sep 2019,349,,2,1,1,Hamlyn Heights,13
1/15 Sheridan Street,"540,000",Dec 2020,"510,000",Mar 2018,,,,235,,,,,Hamlyn Heights,13
2/14 Belcher Street,"514,000",Dec 2020,"485,000",Apr 2019,,,,195,,,,,Hamlyn Heights,13
19 Sladen Street,"618,000",Dec 2020,"225,000",Aug 2004,,300,Sep 2011,635,,3,1,1,Hamlyn Heights,13
45 Lily Street,"680,000",Nov 2020,"84,500",Nov 2000,,,,749,147,3,1,6,Hamlyn Heights,13
17 Forfar Road,"615,000",Nov 2020,,,,,,664,,,,,Hamlyn Heights,13
15 Highview Parade,"600,000",Nov 2020,"440,000",May 2019,,300,Jun 2017,635,101,3,1,1,Hamlyn Heights,13
1/15 Shannon Avenue,"530,000",Nov 2020,"267,000",Aug 2008,,250,Sep 2004,254,,,,,Hamlyn Heights,13
37 Glengate Street,"450,000",Nov 2020,"280,000",Sep 2009,,,,146,,2,1,1,Hamlyn Heights,13
17 Synnott Street,"585,000",Nov 2020,"440,000",Feb 2017,,335,Oct 2019,794,,3,1,1,Hamlyn Heights,13
28 Sheridan Street,"640,000",Nov 2020,,,,300,Jul 2015,886,,3,1,1,Hamlyn Heights,13
