Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
27B Finchaven Street,"740,000",Mar 2021,,,,,,,,,,,Herne Hill,14
2/14 Hennessy Avenue,"290,000",Mar 2021,"167,650",Nov 2011,,160,Jun 2011,98,,,,,Herne Hill,14
42 Fraser Street,"628,000",Mar 2021,"479,000",Jun 2018,,315,Jan 2021,478,78,3,1,3,Herne Hill,14
2 Joyce Parade,"620,000",Feb 2021,"210,000",Oct 2006,,,,572,,3,1,1,Herne Hill,14
7-9 Spectre Close,"415,000",Feb 2021,,,,,,676,,,,,Herne Hill,14
1/10 Beckley Street,"325,000",Feb 2021,"215,000",Sep 2015,,,,116,,,,,Herne Hill,14
80 Mccurdy Road,"641,000",Feb 2021,"530,000",Jul 2017,1.0,,,604,,3,1,2,Herne Hill,14
10 Dundas Street,"576,000",Feb 2021,"210,000",May 2006,,,,484,,3,1,2,Herne Hill,14
302 Autumn Street,"1,620,000",Feb 2021,"512,000",Dec 2001,,,,"1,126",,3,,,Herne Hill,14
128 Mccurdy Road,"750,000",Feb 2021,"82,500",Apr 1990,,,,623,,3,1,1,Herne Hill,14
11 Wirksworth Street,"706,500",Feb 2021,"565,000",Dec 2017,1.0,,,534,,4,1,2,Herne Hill,14
6/6-8 Stafford Street,"417,500",Feb 2021,"335,000",Nov 2017,,,Superbly located,164,,,,,Herne Hill,14
29 Ashbourne Street,"675,000",Jan 2021,"56,700",Mar 1986,,,,731,,,,,Herne Hill,14
14 Fraser Street,"900,000",Jan 2021,"99,500",Sep 2002,,,,804,,4,2,2,Herne Hill,14
2/11 Stafford Street,"745,000",Jan 2021,"180,000",Apr 2013,,,,452,210,,,,Herne Hill,14
5 Itkeston Street,"635,000",Jan 2021,"452,000",Oct 2017,1.0,320,Nov 2017,604,,3,1,2,Herne Hill,14
22 Graylea Avenue,"590,000",Jan 2021,"356,000",May 2015,1.0,380,Jun 2016,581,,2,1,1,Herne Hill,14
57 McCurdy Road,"510,000",Jan 2021,"227,500",Feb 2009,,,,520,109,2,1,1,Herne Hill,14
78 Graylea Avenue,"400,000",Jan 2021,,,,,,562,,,,,Herne Hill,14
34 Graylea Avenue,"702,000",Jan 2021,,,,,,580,,,,,Herne Hill,14
