Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
Lot 672 Strathlachlan Drive,"322,000",Mar 2021,,,,,,,,,,,Highton,15
Lot 799 Radstock Avenue,"278,000",Mar 2021,,,,,,,,,,,Highton,15
LOT 724 Strathlachlan Drive,"312,000",Mar 2021,,,,,,,,,,,Highton,15
Lot 736 Radstock Avenue,"284,000",Mar 2021,,,,,,,,,,,Highton,15
78 & 80 Barrabool Road,"1,492,000",Mar 2021,,,,,,"1,259",,,,,Highton,15
2E St Elmo Crescent,"715,000",Mar 2021,,,,,,680,,,,,Highton,15
1 Jellindale Court,"800,000",Mar 2021,"62,500",Aug 1988,,,,791,,4,2,2,Highton,15
8 Hemswell Court,"885,000",Mar 2021,"189,900",Oct 1995,,,,888,,4,2,2,Highton,15
108 Thornhill Road,"780,000",Mar 2021,"69,500",Nov 1983,,,,86,,3,2,2,Highton,15
Lot 742 Radstock Avenue,"272,000",Mar 2021,,,,,,,,,,,Highton,15
TH07/114 South Valley Road,"790,000",Mar 2021,,,,,,,,,,,Highton,15
LOT 725 Strathlachlan Drive,"326,000",Mar 2021,,,,,,,,,,,Highton,15
Lot 815 Strathlachlan Drive,"277,000",Mar 2021,,,,,,,,,,,Highton,15
Lot 818 Strathlachlan Drive,"295,000",Mar 2021,,,,,,574,,,,,Highton,15
7/24 North Valley Road,"330,000",Mar 2021,"113,000",Sep 2008,,210,Dec 2017,"1,283",,,,,Highton,15
Lot 22 48 Basin Rise,"325,000",Mar 2021,,,,,,448,,,,,Highton,15
Lot 735 Radstock Avenue,"284,000",Mar 2021,,,,,,,,,,,Highton,15
1/45 Barrabool Road,"290,000",Mar 2021,"193,000",Feb 2011,,205,Feb 2017,"2,429",70,,,,Highton,15
39 Challambra Crescent,"835,000",Mar 2021,,,,,,671,,,,,Highton,15
