Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
17 Keen Place,"620,000",Mar 2021,"325,000",Feb 2000,,,,662,,4,2,2,Lara,16
30 Sparrow Court,"620,000",Mar 2021,"346,000",Dec 2013,,410,Dec 2016,701,,4,2,2,Lara,16
85-87 Westlakes Boulevard,"880,000",Mar 2021,,,,,,953,,,,,Lara,16
65 Brolga Way,"776,000",Mar 2021,,,,,,634,,,,,Lara,16
66 Ohallorans Road,"850,000",Mar 2021,,,,,,648,,,,,Lara,16
2 Sheeran Crescent,"540,000",Mar 2021,"321,000",Aug 2016,,370,Sep 2016,917,,3,2,2,Lara,16
3 Norseman Court,"528,000",Mar 2021,"305,000",Jun 2009,,345,May 2015,655,155,3,2,2,Lara,16
50 Bates Road,"606,500",Mar 2021,,,,,,661,,,,,Lara,16
66 O'Hallorans Road,"850,000",Mar 2021,"680,000",May 2018,,,,647,255,4,3,2,Lara,16
41 Darcy Street,"595,000",Mar 2021,"339,000",Feb 2015,,,,653,,3,2,2,Lara,16
20 Forest Road South,"645,000",Mar 2021,,,,,,876,,,,,Lara,16
11 Haydn Street,"830,000",Mar 2021,"380,002",Jun 2010,,350,Jun 2009,"2,854",,3,2,4,Lara,16
17 Kantara Crescent,"535,000",Mar 2021,"90,000",Dec 1999,,,,654,,3,,,Lara,16
124 Eastlakes Boulevard,"715,000",Mar 2021,"580,000",Aug 2016,,,,598,193,4,3,4,Lara,16
120 Canterbury Road West,"640,000",Mar 2021,,,,,,551,,,,,Lara,16
3/117 Kees Road,"375,000",Mar 2021,"218,002",Mar 2010,,260,Jun 2015,217,,2,1,1,Lara,16
22 Jania Street,"635,000",Mar 2021,"358,000",Nov 2013,,,,812,132,3,2,4,Lara,16
17 Nankeen Avenue,"610,000",Mar 2021,"409,000",Mar 2015,,,,603,156,3,2,2,Lara,16
1/18 Duncan Drive,"446,000",Mar 2021,"263,000",Nov 2013,,270,Nov 2012,260,,2,1,1,Lara,16
8 Cypress Court,"740,000",Feb 2021,"675,000",Dec 2018,,470,Nov 2015,846,394,6,2,2,Lara,16
29 Quail Drive,"745,000",Feb 2021,,,,,,607,,,,,Lara,16
20 Nankeen Avenue,"651,000",Feb 2021,"165,000",Aug 2010,,,,595,151,3,2,2,Lara,16
35 Botanical Drive,"350,000",Feb 2021,,,,,,556,,,,,Lara,16
49 Majestic Way,"635,000",Feb 2021,,,,,,493,,,,,Lara,16
14 Mark Street,"600,000",Feb 2021,"388,500",Nov 2016,,,,657,,3,2,2,Lara,16
8 Grey Teal Place,"524,000",Feb 2021,"450,000",Apr 2018,,,,380,138,3,2,2,Lara,16
Lot 5 37A Botanical Drive,"275,000",Feb 2021,,,,,,453,,,,,Lara,16
20 Spotted Gum Drive,"870,000",Feb 2021,,,,,,591,,,,,Lara,16
21-23 CAPE BARRON Drive,"676,250",Feb 2021,"177,000",Jul 2011,,,,695,,4,2,8,Lara,16
56 Buckingham Street,"577,500",Feb 2021,"375,000",Aug 2015,,430,Dec 2018,519,150,3,2,2,Lara,16
39 Buckingham Street,"563,000",Feb 2021,"72,000",Sep 2003,,,,509,,3,,,Lara,16
43 Cedar Road,"600,000",Feb 2021,,,,,,449,,,,,Lara,16
23 Barnong Way,"667,500",Feb 2021,"171,000",Dec 2010,,,,637,193,3,2,2,Lara,16
120 Forest Road North,"1,300,000",Feb 2021,"637,200",Jul 2001,,,,"16,036",,5,3,8,Lara,16
10 Research Road,"1,061,500",Feb 2021,"190,000",Nov 1997,,,,"20,238",,4,2,3,Lara,16
66 Lara Boulevard,"795,000",Feb 2021,,,,,,670,,,,,Lara,16
3/57 Forest Road South,"340,000",Feb 2021,"225,000",Dec 2009,,260,Jul 2014,278,,,,,Lara,16
48 Lara Boulevard,"599,000",Feb 2021,"468,000",Mar 2016,,325,Jun 2012,469,,3,2,2,Lara,16
25 Patullos Road,"501,000",Feb 2021,"315,000",Nov 2013,,395,Feb 2021,654,95,1,1,1,Lara,16
3/57 Forest Road,"340,000",Feb 2021,"225,000",Dec 2009,,260,Jun 2014,278,,2,1,1,Lara,16
12 Saintfield Street,"490,000",Feb 2021,,,,,,685,,3,1,1,Lara,16
15 Walkers Road,"459,000",Feb 2021,"250,000",Feb 2000,,,,644,,,,,Lara,16
25 Quail Drive,"680,000",Jan 2021,,,,,,587,,4,2,2,Lara,16
120/40 Watt Street,"360,000",Jan 2021,,,,,,188,,,,,Lara,16
4 Crake Court,"875,000",Jan 2021,"195,000",Jul 2011,,,,766,250,,,,Lara,16
26 Moorhen Drive,"595,000",Jan 2021,"147,000",Jul 2009,,,,512,,4,2,2,Lara,16
9 Jabiru Court,"655,000",Jan 2021,"198,000",May 2014,,,,850,,4,2,2,Lara,16
711/3 Bloom Place,"375,500",Jan 2021,,,,,,,,,,,Lara,16
"64/45 Pelican Way, Lara VIC 3212","303,000",Jan 2021,,,,,,486,,,,,Lara,16
Lot 64 45 Pelican Way Lara VIC 3212,"303,000",Jan 2021,,,,,,486,,,,,Lara,16
Lot 711 3 Bloom Place,"375,000",Jan 2021,,,,,,,,,,,Lara,16
3 Goodenia Avenue,"300,000",Jan 2021,,,,,,473,,,,,Lara,16
1/117 Kees Road,"365,000",Jan 2021,"192,000",Sep 2008,,,,189,,,,,Lara,16
10 Darcy Street,"542,000",Jan 2021,"280,000",Oct 2012,,400,Feb 2021,964,95,3,1,1,Lara,16
26 Nankeen Avenue,"660,000",Jan 2021,"475,000",Mar 2013,,,,595,242,4,2,2,Lara,16
9 Lime Crescent,"670,000",Jan 2021,"630,000",Jul 2018,,,,"1,115",,4,2,2,Lara,16
55 Lavender Drive,"650,000",Jan 2021,,,,,,439,,,,,Lara,16
Lot 715 9 Floret Drive,"297,600",Jan 2021,,,,,,448,,,,,Lara,16
715/9 Floret Drive,"297,600",Jan 2021,,,,,,448,,,,,Lara,16
6/10 Forest Road North,"338,000",Jan 2021,"185,000",Feb 2005,,,,210,83,,,,Lara,16
8 Lime Crescent,"480,000",Jan 2021,"86,000",Jan 1993,,390,Jan 2021,667,,3,1,1,Lara,16
1 Abbey Drive,"500,000",Jan 2021,"220,000",Jul 2006,,,,658,135,3,1,1,Lara,16
20 Cape Barron Drive,"545,000",Jan 2021,"155,000",May 2011,,410,Oct 2018,432,,4,2,2,Lara,16
Lot 14/46-48 Botantical Drive,"490,000",Jan 2021,,,,,,,,,,,Lara,16
Townhouses 8-19/46-48 Botanical Drive,"490,000",Jan 2021,,,,,,,,,,,Lara,16
6-7 Phoenix Place,"675,000",Jan 2021,,,,,,643,,,,,Lara,16
2/86 Rennie Street,"745,000",Jan 2021,"140,000",Aug 2015,,,,376,,,,,Lara,16
8 Bath Street,"790,000",Jan 2021,"525,000",Sep 2011,,,,661,291,4,2,2,Lara,16
16 Blackwood Road,"322,000",Dec 2020,,,,,,588,,,,,Lara,16
99 Cedar Road,"621,000",Dec 2020,,,,,,512,,,,,Lara,16
165 BUCKINGHAM Street,"565,000",Dec 2020,"445,000",Nov 2017,,390,Oct 2016,570,,4,2,2,Lara,16
26A Curletts Road,"515,000",Dec 2020,,,,420,Jul 2019,400,,3,2,2,Lara,16
Lot 1039 10-12 Moonah Circuit,"272,500",Dec 2020,,,,,,425,,,,,Lara,16
128 Canterbury Road West,"575,000",Dec 2020,,,,,,551,,,,,Lara,16
927/17 Callistemon Street,"270,000",Dec 2020,,,,,,396,,,,,Lara,16
Lot 927 17 Callistemon Street,"270,000",Dec 2020,,,,,,,,,,,Lara,16
5 Beverley Crescent,"540,000",Dec 2020,"400,000",Jul 2019,,,,828,,3,1,2,Lara,16
55 Westlakes Boulevard,"920,000",Dec 2020,"190,000",Jun 2009,,,,590,260,4,2,2,Lara,16
20 Osterlund Court,"1,385,000",Dec 2020,"840,000",Apr 2014,,,,"10,118",243,5,2,9,Lara,16
8 Cumberland Drive,"700,000",Dec 2020,"400,300",May 2007,,,,786,,4,3,2,Lara,16
25 Mathieson Place,"655,000",Dec 2020,"428,000",Jul 2016,,390,Jul 2015,630,202,4,2,2,Lara,16
445 Bacchus Marsh Road,"1,270,000",Dec 2020,"400,000",Aug 2013,,,,"20,238",175,3,2,8,Lara,16
3 Stilt Court,"440,000",Dec 2020,"155,000",Jul 2012,,360,Jun 2017,350,,3,1,1,Lara,16
1 Benetti Drive,"585,000",Dec 2020,"415,000",Oct 2010,,500,Jan 2021,602,174,4,2,2,Lara,16
9 Allister Court,"586,000",Dec 2020,"245,000",Feb 2005,,310,Sep 2009,631,,3,2,2,Lara,16
2/10 Florence Street,"464,000",Dec 2020,"320,000",Apr 2011,,,,385,133,,,,Lara,16
31 Marimba Street,"555,000",Dec 2020,,,,,,399,,4,2,2,Lara,16
13 Andrea Court,"612,000",Dec 2020,,,,,,764,,4,2,2,Lara,16
2-4 Benetti Drive,"585,000",Nov 2020,"150,000",Jun 2009,,410,Jun 2012,601,,3,2,2,Lara,16
5 Kyema Drive,"490,000",Nov 2020,"276,000",Feb 2012,,340,Sep 2018,649,,3,1,2,Lara,16
