Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
1/46 Sydenham Avenue,"426,000",Mar 2021,"240,000",May 2016,,280,Jun 2016,85,55,,,,Manifold Heights,17
4/40 Lascelles Avenue,"520,000",Mar 2021,"420,000",Jul 2018,,295,May 2017,206,105,,,,Manifold Heights,17
2/54 Minerva Road,"489,500",Mar 2021,"245,000",Mar 2006,,,,169,,,,,Manifold Heights,17
49 Wimmera Avenue,"923,000",Feb 2021,"470,000",May 2015,,340,May 2019,732,,3,1,1,Manifold Heights,17
45 Lascelles Avenue,"760,000",Feb 2021,"224,000",Dec 2008,,450,Jun 2019,478,131,3,1,2,Manifold Heights,17
17 Volum Street,"1,725,000",Feb 2021,"490,000",Dec 2005,,,,"1,072",,3,2,2,Manifold Heights,17
1/46 Wimmera Avenue,"750,000",Jan 2021,"410,000",May 2008,,,,332,,,,,Manifold Heights,17
1/10 Oliver Street,"320,000",Jan 2021,"214,000",May 2013,,290,Jan 2021,83,65,,,,Manifold Heights,17
5 Trewheela Avenue,"945,000",Jan 2021,"690,000",Sep 2013,,,,807,43,4,2,2,Manifold Heights,17
354 ABERDEEN Street,"785,000",Jan 2021,"90,000",Jan 1989,,,,614,,4,2,2,Manifold Heights,17
2/328 Aberdeen Street,"510,000",Jan 2021,"232,000",Apr 2005,,355,Oct 2017,175,,,,,Manifold Heights,17
150 Minerva Road,"750,000",Dec 2020,,,,,,697,,,,,Manifold Heights,17
12 Narmbool Street,"792,000",Dec 2020,"450,000",Oct 2012,1.0,280,Apr 2017,696,90,2,1,1,Manifold Heights,17
16 Herne Street,"663,000",Dec 2020,"58,000",Feb 2000,,160,Sep 2008,602,,2,1,1,Manifold Heights,17
26 Malvern Grove,"805,000",Dec 2020,"438,000",Oct 2003,,,,461,,3,2,2,Manifold Heights,17
3 Orr Street,"706,000",Dec 2020,,,,,,697,,3,1,1,Manifold Heights,17
18 Strachan Avenue,"920,000",Dec 2020,"323,000",Jan 2006,,,,613,180,3,2,1,Manifold Heights,17
4/197 Church Street,"237,500",Dec 2020,"149,500",Aug 2010,,300,Feb 2021,47,,,,,Manifold Heights,17
3/45 Shannon Avenue,"461,000",Nov 2020,"335,000",Jul 2015,,395,May 2019,171,,,,,Manifold Heights,17
22 Bostock Avenue,"560,000",Nov 2020,"380,000",May 2014,,380,Jan 2021,419,,2,1,2,Manifold Heights,17
39 Calder Street,"742,000",Nov 2020,"205,000",May 2002,,210,Jan 2006,650,,3,1,2,Manifold Heights,17
48 Lascelles Avenue,"850,000",Nov 2020,"340,000",Dec 2007,,380,Mar 2017,780,152,3,2,4,Manifold Heights,17
3/43 Shannon Avenue,"495,000",Nov 2020,"265,000",Oct 2002,,270,Oct 2006,210,,,,,Manifold Heights,17
1/165 Church Street,"499,000",Nov 2020,"335,000",Aug 2016,,370,Nov 2019,213,78,,,,Manifold Heights,17
34 Sydenham Avenue,"870,000",Nov 2020,"351,000",Jun 2008,,390,Apr 2011,642,148,3,1,1,Manifold Heights,17
32 Wimmera Avenue,"1,250,000",Nov 2020,"670,000",Oct 2009,1.0,,,754,,5,2,2,Manifold Heights,17
3/362-364 Aberdeen Street,"431,000",Oct 2020,"284,000",Sep 2013,,165,Jun 2008,125,,,,,Manifold Heights,17
58 Sydenham Avenue,"650,500",Oct 2020,,,,,,499,,,,,Manifold Heights,17
2/64 Wimmera Avenue,"613,000",Oct 2020,,,,,,,,,,,Manifold Heights,17
26 Strachan Avenue,"855,000",Sep 2020,"134,000",Jun 1998,,,,664,,3,,,Manifold Heights,17
1/63 Calder Street,"285,000",Sep 2020,"220,000",Jun 2017,,235,Jul 2016,558,,1,1,1,Manifold Heights,17
1 Trewheela,"555,000",Sep 2020,,,,,,286,,3,2,2,Manifold Heights,17
10/40-42 Calder Street,"398,000",Aug 2020,,,,,,128,,,,,Manifold Heights,17
263 Autumn Street,"1,300,000",Aug 2020,"335,000",Aug 2012,,270,Aug 2010,613,247,4,1,1,Manifold Heights,17
22 Douglass Street,"930,000",Aug 2020,"342,000",Apr 2008,,,,590,112,2,1,1,Manifold Heights,17
25 Calder Street,"790,000",Jul 2020,,,,,,650,,3,1,2,Manifold Heights,17
63 Shannon Avenue,"600,500",Jul 2020,,,,,,624,,3,1,2,Manifold Heights,17
55 Bostock Avenue,"1,061,000",Jul 2020,"162,000",Oct 1999,,,,951,,3,2,2,Manifold Heights,17
16 Sydenham Avenue,"1,080,000",Jul 2020,"290,000",Nov 2005,,210,Jun 2005,685,,2,3,2,Manifold Heights,17
5/57 Shannon Avenue,"255,000",Jun 2020,"218,000",Apr 2015,,245,Sep 2014,"1,000",,,,,Manifold Heights,17
15 Malvern Grove,"960,000",Jun 2020,"430,000",Sep 2011,,,,580,,3,1,1,Manifold Heights,17
12 Orr Street,"600,000",May 2020,,,,,,643,,3,1,6,Manifold Heights,17
3/5 Calder Street,"510,000",May 2020,"337,000",May 2007,,,,248,,,,,Manifold Heights,17
21 Volum Street,"1,500,000",May 2020,"740,000",Aug 2009,1.0,,,"1,068",,4,2,4,Manifold Heights,17
14 Malvern Grove,"1,001,500",Apr 2020,"150,000",Jul 1997,,,,714,,,,,Manifold Heights,17
3/10 Oliver Street,"315,000",Mar 2020,"200,000",Jun 2010,,260,Sep 2015,65,,2,1,1,Manifold Heights,17
4/45 Shannon Avenue,"507,000",Mar 2020,"385,000",Jun 2015,,380,Apr 2018,178,,,,,Manifold Heights,17
308 Aberdeen Street,"585,500",14 Mar 2020,"126,000",Feb 2001,1.0,,,358,,2,1,1,Manifold Heights,17
14 Roxby Street,"1,134,500",Mar 2020,"480,000",Mar 2003,,,,790,,3,3,3,Manifold Heights,17
41 Strachan Avenue,"1,437,500",Mar 2020,"895,000",Oct 2011,,,,941,,4,2,2,Manifold Heights,17
4 Benslow Place,"825,000",Feb 2020,,,,500,Nov 2017,239,,,,,Manifold Heights,17
79 Shannon Avenue,"660,000",Feb 2020,"345,000",Dec 2014,,430,Jun 2017,448,154,4,1,3,Manifold Heights,17
4/9 Roxby Street,"382,000",Feb 2020,"245,000",Nov 2011,,255,Oct 2012,98,,,,,Manifold Heights,17
2/13 Manifold Street,"317,500",Jan 2020,"240,000",May 2014,,295,Oct 2018,67,,,,,Manifold Heights,17
29 Volum Street,"1,792,500",Jan 2020,"175,000",Jul 1994,,,,"1,123",,,,,Manifold Heights,17
53 Lascelles Avenue,"945,000",Dec 2019,"106,500",May 1992,,,,691,,3,,,Manifold Heights,17
2/176 Minerva Road,"392,500",Dec 2019,"67,000",Dec 1998,,360,Jan 2020,275,,,,,Manifold Heights,17
64 Wimmera Avenue,"629,250",07 Dec 2019,,,1.0,,,654,,,,,Manifold Heights,17
3 Malvern Grove,"940,000",30 Nov 2019,"115,000",Nov 1994,1.0,450,Mar 2016,641,178,4,2,1,Manifold Heights,17
3 Silk Avenue,"755,000",23 Nov 2019,"475,000",Nov 2007,1.0,,,324,115,3,2,2,Manifold Heights,17
3 Merton Grove,"475,000",Nov 2019,"420,000",Aug 2018,,260,Oct 2018,442,,2,1,,Manifold Heights,17
17 Narmbool Street,"1,075,000",Nov 2019,"972,500",Aug 2018,,,,847,,4,2,2,Manifold Heights,17
10 Sydenham Avenue,"691,000",09 Nov 2019,,,1.0,,,703,,3,1,1,Manifold Heights,17
3/215 Church Street,"250,000",30 Oct 2019,"185,000",Mar 2013,1.0,300,Nov 2019,68,,,,,Manifold Heights,17
273 Autumn Street,"1,199,000",26 Oct 2019,"392,000",Jan 2015,1.0,290,Aug 2014,650,195,3,1,1,Manifold Heights,17
21 Lascelles Avenue,"1,205,000",Oct 2019,"1,000,000",Jun 2018,1.0,,,982,,4,3,2,Manifold Heights,17
13 Girton Crescent,"840,000",22 Oct 2019,"790,000",Sep 2018,1.0,,,649,,3,1,1,Manifold Heights,17
10 Herne Street,"725,000",Oct 2019,"241,500",Feb 2000,,,,677,,3,1,2,Manifold Heights,17
338 Aberdeen Street,"620,000",Oct 2019,,,,,,663,,3,1,1,Manifold Heights,17
91 Shannon Avenue,"660,000",14 Sep 2019,"435,000",Dec 2014,1.0,460,Dec 2020,613,,2,1,3,Manifold Heights,17
2/6 Strachan Avenue,"339,000",Sep 2019,"230,000",Mar 2014,,285,Sep 2014,85,82,,,,Manifold Heights,17
7 Lascelles Avenue,"561,500",Aug 2019,"76,500",Jun 1996,,350,Oct 2019,483,,3,1,1,Manifold Heights,17
5/43-45 Sydenham Avenue,"365,000",Aug 2019,"285,000",Feb 2011,,330,May 2020,127,,,,,Manifold Heights,17
5 Philip Street,"600,000",Aug 2019,,,,,,671,,3,1,2,Manifold Heights,17
3/362 Aberdeen Street,"311,000",Jul 2019,"284,000",Sep 2013,,290,Aug 2019,125,,2,1,1,Manifold Heights,17
348 Aberdeen Street,"567,000",Jul 2019,"175,000",Jun 2002,,220,Apr 2007,672,,2,1,1,Manifold Heights,17
7 Evelyn Street,"497,000",Jul 2019,"217,000",Apr 2007,,275,Apr 2012,485,140,3,1,1,Manifold Heights,17
17 Wimmera Avenue,"1,225,000",Jun 2019,"875,000",Nov 2014,1.0,,,599,,5,2,2,Manifold Heights,17
6a Lascelles Avenue,"632,000",Jun 2019,"309,000",Dec 2006,,370,Dec 2014,625,,3,1,3,Manifold Heights,17
5/9 Manifold Street,"298,000",Jun 2019,"227,500",Apr 2013,,270,May 2013,64,,,,,Manifold Heights,17
108 Minerva Road,"410,000",May 2019,,,,,,13,,,,,Manifold Heights,17
14 Herne Street,"1,345,000",May 2019,"86,000",Apr 1996,,,,599,,5,2,2,Manifold Heights,17
7/197 Church Street,"218,000",May 2019,,,,,,48,,,,,Manifold Heights,17
130 Minerva Road,"660,000",May 2019,"265,000",Feb 2004,,420,Apr 2019,598,,3,1,2,Manifold Heights,17
3/17 Lascelles Avenue,"310,000",May 2019,"159,000",Sep 2004,,300,Nov 2018,75,57,,,,Manifold Heights,17
4 Evelyn Street,"638,000",04 May 2019,,,1.0,300,Jun 2019,694,,2,1,5,Manifold Heights,17
35 Lascelles Avenue,"709,000",04 May 2019,"72,200",Mar 1985,1.0,,,506,,3,1,1,Manifold Heights,17
46 Lascelles Avenue,"690,000",23 Mar 2019,"95,000",Apr 1991,1.0,400,May 2019,780,,3,1,2,Manifold Heights,17
25 Orr Street,"715,000",Mar 2019,"430,000",Apr 2013,,385,Jul 2020,697,134,3,1,3,Manifold Heights,17
7 Breguet Street,"575,000",Feb 2019,"410,000",Feb 2010,,,,300,,,,,Manifold Heights,17
8 Evelyn Street,"920,000",Feb 2019,"299,000",Jun 2007,,,,695,150,4,2,2,Manifold Heights,17
3/46 Sydenham Avenue,"584,000",Feb 2019,"126,000",Mar 2004,,290,Dec 2020,46,,,,,Manifold Heights,17
6 Grundell Close,"575,000",Feb 2019,"393,000",Nov 2014,,,,482,,3,1,2,Manifold Heights,17
288 Autumn Street,"790,000",Jan 2019,"620,000",Aug 2016,1.0,,,700,160,3,2,1,Manifold Heights,17
2/2 Wimmera Avenue,"372,000",Jan 2019,"179,000",May 2009,,280,Jan 2017,79,,,,,Manifold Heights,17
9 Orr Street,"765,000",Jan 2019,"58,000",Sep 1985,,,,697,,4,1,1,Manifold Heights,17
16 Douglass Street,"891,000",Dec 2018,"363,000",Jun 2009,,,,651,190,4,2,1,Manifold Heights,17
5/13 Manifold Street,"280,000",Dec 2018,"210,000",Jun 2015,,235,Sep 2015,66,,,,,Manifold Heights,17
38 Sydenham Avenue,"780,000",08 Dec 2018,"354,000",Feb 2005,1.0,,,613,,4,2,2,Manifold Heights,17
2/15 bostock avenue,"331,000",Nov 2018,"260,000",Oct 2010,,240,Nov 2009,136,,,,,Manifold Heights,17
15 Herne Street,"643,000",Nov 2018,,,,340,Nov 2019,666,,3,1,2,Manifold Heights,17
33 Girton Crescent,"1,550,000",Nov 2018,"320,000",Aug 2003,,285,Mar 2012,650,,4,3,2,Manifold Heights,17
41 Volum Street,"1,450,000",Nov 2018,"248,550",Apr 2007,,,,"1,109",,4,2,1,Manifold Heights,17
56 Minerva Road,"904,000",10 Nov 2018,"255,000",Dec 2002,1.0,,,873,176,3,2,4,Manifold Heights,17
