Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
18 Tamala Avenue,"560,000",Mar 2021,,,,,,690,,,,,Marshall,18
1/191 Barwarre Road,"530,000",Feb 2021,"396,100",May 2017,,,,399,,4,1,1,Marshall,18
5/73 Marshalltown Road,"405,000",Jan 2021,"357,000",Feb 2019,,,,164,,,,,Marshall,18
7 St Cuthberts Court,"699,000",Jan 2021,"410,000",Jul 2013,,400,Jun 2011,741,,4,2,2,Marshall,18
6 Chambers Court,"515,000",Jan 2021,"259,000",Nov 2007,,355,Mar 2016,513,,3,1,2,Marshall,18
26A MacFarlane Street,"517,000",Dec 2020,,,,,,368,,4,2,2,Marshall,18
23 Badminton Court,"492,000",Dec 2020,"185,000",Jan 2015,,,,348,,,,,Marshall,18
18-20 Oriondo Way,"497,000",Dec 2020,,,,,,366,,,,,Marshall,18
23 Basford Court,"479,500",Dec 2020,"357,000",Nov 2016,,,,368,128,3,2,2,Marshall,18
21 Marvins Place,"580,000",Dec 2020,"395,000",Dec 2010,,,,512,,3,2,2,Marshall,18
12 Barwarre Road,"542,000",Dec 2020,"157,000",Jul 2013,,,,541,191,4,2,2,Marshall,18
17 Marvins Place,"560,000",Nov 2020,"401,000",Jul 2015,,,,512,,3,2,2,Marshall,18
3 Orpington Crescent,"512,000",Nov 2020,"369,000",Jun 2014,,380,Oct 2013,348,131,3,2,2,Marshall,18
50 Grove Road,"615,000",Oct 2020,"167,000",Mar 2012,,,,362,,,,,Marshall,18
3 Chambers Court,"502,000",Oct 2020,"265,000",Feb 2000,,,,561,,,,,Marshall,18
17-19 Oriondo Way,"490,000",Oct 2020,"412,000",Mar 2017,,,,338,,3,2,2,Marshall,18
44 Marshalltown Road,"580,000",Oct 2020,"443,000",Mar 2013,,,,612,,3,2,2,Marshall,18
Lot 27 103 Barwarre Road,"273,000",Oct 2020,,,,,,,,,,,Marshall,18
Lot 27/103 Barwarre Road,"273,000",Oct 2020,,,,,,,,,,,Marshall,18
30 Grove Road,"230,000",Oct 2020,,,,,,428,,,,,Marshall,18
32-34 Grove Road,"580,000",Oct 2020,,,,,,983,,,,,Marshall,18
2C Grove Road,"188,000",Sep 2020,,,,,,,,,,,Marshall,18
86-104 DREWS ROAD,"6,000,000",Sep 2020,,,,,,"24,193",,,,,Marshall,18
6 Allegro Court,"437,000",Sep 2020,"159,001",Feb 2015,,440,Aug 2020,320,,4,2,2,Marshall,18
12-14 Ardeche Lane,"510,000",Sep 2020,,,,,,527,,3,2,2,Marshall,18
1 Nikola Court,"535,000",Sep 2020,"450,000",Aug 2014,,,,491,,3,2,2,Marshall,18
74 Marshalltown Road,"710,000",Aug 2020,"347,000",Dec 2005,,,,"1,250",,5,,,Marshall,18
31 Werner Avenue,"550,000",Aug 2020,"430,000",Jun 2017,,,,481,173,4,2,2,Marshall,18
55 Marshalltown Road,"445,000",Aug 2020,"265,000",Mar 2013,,280,Aug 2011,806,,2,1,2,Marshall,18
8 Esme Court,"550,000",Aug 2020,"175,000",Dec 2013,,,,536,,3,2,2,Marshall,18
2 Carlina Court,"525,000",Aug 2020,"383,000",Sep 2013,,,,439,,3,2,2,Marshall,18
6 MORETTI Court,"475,000",Aug 2020,"173,000",Mar 2016,,380,Feb 2017,303,,,,,Marshall,18
46-48 Macfarlane Street,"500,000",Aug 2020,,,,,,502,,3,2,2,Marshall,18
15 Grove Road,"445,000",Aug 2020,"130,000",May 2009,,,,450,110,,,,Marshall,18
55 Barwarre Road,"365,000",Aug 2020,"130,000",Jan 2007,,,,665,,,,,Marshall,18
1 Tamala Avenue,"485,000",Jun 2020,"261,000",Jun 2010,,,,666,117,3,1,2,Marshall,18
13 Moretti Court,"510,000",Jun 2020,"179,000",Mar 2015,,410,Sep 2019,566,,4,2,2,Marshall,18
9 Speranza Court,"467,000",Jun 2020,"445,000",Sep 2018,,360,Sep 2015,350,,3,2,2,Marshall,18
26 Grove Road,"488,000",Jun 2020,"108,000",Aug 1997,,,,763,,3,2,2,Marshall,18
10 Tamala Avenue,"410,000",Apr 2020,"248,150",Nov 2004,,350,Jul 2019,682,136,3,1,1,Marshall,18
16 Werner Avenue,"520,000",Apr 2020,"140,000",Feb 2000,,,,484,148,,,,Marshall,18
35 Orpington Crescent,"485,000",Apr 2020,"138,000",Jan 2012,,,,324,,4,2,,Marshall,18
17 Carlina Court,"510,000",Mar 2020,"179,000",Apr 2011,,400,May 2020,405,139,,,,Marshall,18
4 Nikola Court,"535,000",Mar 2020,"147,500",Dec 2009,,435,Sep 2019,492,,,,,Marshall,18
22 Station Road,"425,000",Mar 2020,"159,000",Nov 2011,,,,325,,,,,Marshall,18
2/191 Barwarre Road,"512,000",Mar 2020,"377,000",Jan 2017,,400,Mar 2020,411,159,3,2,2,Marshall,18
31 Krisanway Drive,"415,000",Feb 2020,"311,000",Feb 2016,,320,Feb 2018,331,,2,1,1,Marshall,18
33 Grove Road,"435,000",Jan 2020,"295,000",Jun 2010,,400,Jan 2018,463,,3,1,2,Marshall,18
12 Orpington Crescent,"478,000",Dec 2019,,,,,,299,,,,,Marshall,18
