Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
13 Gravity Drive,"575,000",Mar 2021,,,,,,403,,,,,Mount Duneed,19
905 Yering Street,"548,000",Mar 2021,,,,,,,,3,2,2,Mount Duneed,19
124/87 Whites Road,"350,000",Mar 2021,,,,,,448,,,,,Mount Duneed,19
Lot 124 87 Whites Road,"350,000",Mar 2021,,,,,,448,,,,,Mount Duneed,19
35 Golden Wattle Drive,"510,000",Mar 2021,"116,900",Aug 2014,,350,Jun 2017,223,,2,2,2,Mount Duneed,19
22 Connect Way,"685,000",Mar 2021,"610,000",Aug 2019,,,,512,,4,2,2,Mount Duneed,19
170 Grevillea Drive,"242,000",Mar 2021,,,,,,309,,,,,Mount Duneed,19
90 Armstrong Boulevard,"550,000",Mar 2021,"120,000",Sep 2013,,430,Jan 2019,285,,4,2,2,Mount Duneed,19
5 MOTION Drive,"615,000",Feb 2021,"149,900",Sep 2014,,,,350,,3,2,2,Mount Duneed,19
17 Remarkable Drive,"707,000",Feb 2021,"158,900",Jul 2013,,,,400,171,3,2,2,Mount Duneed,19
178 Citrinus Street,"248,000",Feb 2021,,,,,,336,,,,,Mount Duneed,19
35 Unity Drive,"735,000",Feb 2021,,,,,,447,,4,2,2,Mount Duneed,19
23 Owarra Boulevard,"685,000",Feb 2021,,,,,,512,,4,2,2,Mount Duneed,19
79 Grevillea Drive,"670,000",Feb 2021,,,,,,448,,,,,Mount Duneed,19
Lot 246 Telopea Drive,"269,000",Feb 2021,,,,,,392,,,,,Mount Duneed,19
246 Telopea Drive,"269,000",Feb 2021,,,,,,392,,,,,Mount Duneed,19
Lot 205 Grevillea Drive,"285,000",Feb 2021,,,,,,448,,,,,Mount Duneed,19
205 Grevillea Drive,"285,000",Feb 2021,,,,,,448,,,,,Mount Duneed,19
189 Grevillea,"256,000",Feb 2021,,,,,,350,,,,,Mount Duneed,19
5 Rapid Court,"650,000",Feb 2021,,,,,,445,,,,,Mount Duneed,19
Lot 159 Grevillea Drive,"258,000",Feb 2021,,,,,,,,,,,Mount Duneed,19
159 Grevillea Drive,"258,000",Feb 2021,,,,,,360,,,,,Mount Duneed,19
7 Fiscus Place,"635,000",Feb 2021,,,,,,548,,,,,Mount Duneed,19
5 Rapid Place,"650,000",Feb 2021,,,,,,446,,,,,Mount Duneed,19
50 Grevillea Drive,"625,000",Feb 2021,,,,,,448,,,,,Mount Duneed,19
82 Armstrong Boulevard,"555,000",Feb 2021,"438,500",Jan 2017,,,,285,,4,2,4,Mount Duneed,19
167 Grevillea Drive,"223,000",Feb 2021,,,,,,269,,,,,Mount Duneed,19
25 Connect Way,"455,000",Feb 2021,,,,,,196,,,,,Mount Duneed,19
Lot 148 Grevillea Drive,"265,000",Feb 2021,,,,,,375,,,,,Mount Duneed,19
148 Grevillea Drive,"265,000",Feb 2021,,,,,,375,,,,,Mount Duneed,19
Lot 156 Grevillea Drive,"268,000",Feb 2021,,,,,,389,,,,,Mount Duneed,19
156 Grevillea Drive,"268,000",Feb 2021,,,,,,389,,,,,Mount Duneed,19
28 Celestial Way,"630,000",Jan 2021,,,,,,446,,,,,Mount Duneed,19
9 COMPASS WAY,"577,500",Jan 2021,"169,900",Apr 2015,,,,401,,4,2,2,Mount Duneed,19
6 Glider Street,"560,000",Jan 2021,"550,000",Aug 2019,,,,350,,4,2,2,Mount Duneed,19
186 Grevillea Drive,"275,000",Jan 2021,,,,,,444,,,,,Mount Duneed,19
44-46 Grevillea Drive,"577,000",Jan 2021,,,,,,332,,4,2,2,Mount Duneed,19
6 Cornell Avenue,"670,000",Jan 2021,,,,500,Mar 2019,447,,4,2,2,Mount Duneed,19
43 Dobell Street,"378,000",Jan 2021,,,,,,604,,,,,Mount Duneed,19
24 Magnetic Drive,"855,000",Jan 2021,,,,,,647,,4,2,3,Mount Duneed,19
528/29 Whiteley Street,"295,000",Jan 2021,,,,,,400,,,,,Mount Duneed,19
Lot 528 29 Whiteley Street,"295,000",Jan 2021,,,,,,400,,,,,Mount Duneed,19
12 Aviation Drive,"445,000",Jan 2021,"397,500",Jul 2019,,380,Aug 2019,194,,2,1,1,Mount Duneed,19
39 Cabane Circuit,"840,000",Dec 2020,,,,,,588,,4,2,2,Mount Duneed,19
20 ACCORD Street,"600,000",Dec 2020,"177,900",Oct 2015,,,,391,,,,,Mount Duneed,19
2 NEON Avenue,"660,000",Dec 2020,"215,900",Nov 2014,,,,507,,,,,Mount Duneed,19
12 Native Avenue,"765,000",Dec 2020,"190,000",Mar 2013,,,,461,,,,,Mount Duneed,19
12 Boundary Road,"273,000",Dec 2020,,,,,,443,,,,,Mount Duneed,19
202 Grevillea Drive,"272,000",Dec 2020,,,,,,400,,,,,Mount Duneed,19
9 Franklin Road,"860,000",Dec 2020,,,,,,446,,,,,Mount Duneed,19
5 Yellow Gum Way,"600,000",Dec 2020,,,,420,Dec 2019,448,,4,2,2,Mount Duneed,19
151 Grevillea Drive,"269,000",Dec 2020,,,,,,416,,,,,Mount Duneed,19
29 Velocity Way,"540,000",Dec 2020,,,,440,Mar 2019,399,,4,2,2,Mount Duneed,19
1030 Surf Coast Hwy (Lots C & D-entrance off Dickins Road),"3,500,000",Dec 2020,,,,,,"760,000",,,,,Mount Duneed,19
30 Unity Drive,"670,000",Dec 2020,,,,,,512,,4,2,2,Mount Duneed,19
6 Altitude Street,"575,000",Dec 2020,,,,,,446,,,,,Mount Duneed,19
15 Golden Wattle Drive,"555,000",Dec 2020,"180,000",Aug 2015,,,,351,,,,,Mount Duneed,19
37 Magnetic Drive,"635,000",Dec 2020,,,,,,448,,4,2,2,Mount Duneed,19
47 Manna Gum Drive,"645,000",Dec 2020,,,,,,511,,,,,Mount Duneed,19
20 CONNECT WAY,"620,000",Dec 2020,"183,900",Nov 2015,,,,448,,4,2,2,Mount Duneed,19
