Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
2A Ising Street,"485,000",Mar 2021,,,,,,721,,,,,Newcomb,20
16 Lancaster Avenue,"520,000",Mar 2021,"240,000",Jun 2012,,,,697,,3,1,4,Newcomb,20
1-3/126 Helms Street,"888,000",Mar 2021,,,,,,758,,,,,Newcomb,20
16 Portarlington Road,"625,500",Mar 2021,,,,,,647,,,,,Newcomb,20
4 Rose Court,"415,000",Feb 2021,"175,000",May 2007,,250,Oct 2015,617,,2,1,2,Newcomb,20
5/22-24 Lindsay Street,"261,000",Feb 2021,"148,000",May 2009,,200,May 2016,51,,,,,Newcomb,20
1/49 Bellarine Highway,"425,000",Feb 2021,,,,,,340,,,,,Newcomb,20
36 Wilsons Road,"490,000",Feb 2021,"426,000",Nov 2017,1.0,310,May 2016,664,,3,1,1,Newcomb,20
20 Neptune Avenue,"470,000",Feb 2021,"152,000",Jun 2009,,290,Nov 2013,537,109,3,1,1,Newcomb,20
60 Wilton Avenue,"502,000",Feb 2021,"390,000",Nov 2018,1.0,,,656,,,,,Newcomb,20
38 Neptune Avenue,"510,000",Feb 2021,"201,000",Mar 2009,,340,Nov 2019,761,104,3,1,1,Newcomb,20
42B Wilton Avenue,"625,000",Feb 2021,,,,,,426,,,,,Newcomb,20
39 Richard Street,"562,000",Feb 2021,"250,000",Jun 2015,,160,Sep 2005,550,98,3,1,1,Newcomb,20
15 Lucas Street,"492,000",Jan 2021,,,,,,541,,,,,Newcomb,20
2/1 Herbert Court,"540,000",Jan 2021,,,,370,Dec 2017,316,,3,2,2,Newcomb,20
6 Wilsons Road,"610,000",Jan 2021,"335,000",Jun 2014,,,,664,118,3,1,1,Newcomb,20
139 Boundary Road,"420,000",Jan 2021,"335,000",Aug 2017,,290,Aug 2014,392,110,3,1,1,Newcomb,20
4 Vega Court,"440,000",Jan 2021,,,,,,651,,,,,Newcomb,20
