Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
2/14 Elcho Street,"727,000",Mar 2021,"320,000",Jul 2007,,,,478,,3,2,2,Newtown,21
60 Fairview Avenue,"795,000",Mar 2021,"600,000",Nov 2016,,325,Dec 2018,341,,3,1,1,Newtown,21
3 Lancaster Avenue,"910,000",Mar 2021,"390,000",Feb 2013,,450,Jun 2020,529,134,3,1,1,Newtown,21
68 Saffron Street,"850,000",Mar 2021,"190,000",Jul 2008,,,,209,163,,,,Newtown,21
7/428 Latrobe Terrace,"401,000",Mar 2021,"295,000",Nov 2014,,315,Sep 2016,149,69,,,,Newtown,21
67b Sandringham Parade,"582,000",Feb 2021,,,,,,,,,,,Newtown,21
142 Skene Street,"1,030,000",Feb 2021,"105,000",Mar 1994,,,,705,,3,2,2,Newtown,21
41 Cumberland Street,"925,000",Feb 2021,"572,500",Jul 2015,1.0,395,Jun 2015,375,,3,1,1,Newtown,21
2/4 Belfast Street,"610,000",Feb 2021,"562,000",Mar 2019,1.0,350,Jul 2014,213,,,,,Newtown,21
1/16-18 West Fyans Street,"375,000",Feb 2021,"228,500",Jan 2013,1.0,270,Jan 2015,80,,,,,Newtown,21
6 Laurel Bank Parade,"1,020,000",Feb 2021,"685,000",Apr 2014,,460,Mar 2018,419,,4,1,2,Newtown,21
6 Chester Street,"915,000",Feb 2021,"360,000",Oct 2009,,270,Feb 2006,604,,3,2,2,Newtown,21
165 Skene Street,"1,234,000",Feb 2021,"520,000",Nov 2008,,,,518,205,4,2,,Newtown,21
22 Bond Street,"820,000",Feb 2021,"109,000",Feb 2000,,,,421,,3,,,Newtown,21
67 Aberdeen Street,"1,550,000",Feb 2021,"825,000",Feb 2008,,,,"1,220",,5,2,2,Newtown,21
25 Daisy Street,"1,980,000",Feb 2021,"1,200,000",Nov 2010,,,,736,,5,2,3,Newtown,21
330 Shannon Avenue,"1,500,000",Feb 2021,"965,000",Dec 2019,,,,926,193,4,2,1,Newtown,21
383 Pakington Street,"1,135,000",Feb 2021,,,,,,409,,,,,Newtown,21
2/165 Minerva Road,"890,000",Feb 2021,"725,001",Jun 2016,,,,466,206,3,2,2,Newtown,21
22 Chadwick Street,"890,000",Feb 2021,"163,000",Aug 1997,,530,Feb 2021,362,,3,2,2,Newtown,21
33 Pleasant Street,"855,000",Feb 2021,"750,000",Sep 2017,,,,184,,3,2,1,Newtown,21
2/3 Cairns Avenue,"675,000",Jan 2021,"368,500",Mar 2002,,450,Oct 2013,185,,3,1,1,Newtown,21
4 Sharp Street,"760,000",Jan 2021,"590,000",Sep 2018,,330,Apr 2016,256,,3,1,2,Newtown,21
58 Fairview Avenue,"790,000",Jan 2021,"537,500",Jan 2014,,325,Jul 2004,280,,,,,Newtown,21
89 Fairview Avenue,"1,160,000",Jan 2021,"915,000",Feb 2019,,750,Mar 2021,562,,3,2,2,Newtown,21
2/54 Buckingham Road,"530,000",Jan 2021,,,,430,Jan 2018,145,,,,,Newtown,21
3 Retreat Road,"1,620,000",Jan 2021,"1,270,000",May 2016,,750,Dec 2017,394,251,4,2,2,Newtown,21
7 Sherbourne Terrace,"920,000",Jan 2021,"665,000",Nov 2017,,,,570,181,5,2,2,Newtown,21
30 Aphrasia Street,"1,833,100",Jan 2021,"290,000",Jul 1998,,,,"3,977",,,,,Newtown,21
17/54 Percy Street,"465,000",Jan 2021,"392,500",Jun 2018,,310,Oct 2016,90,,,,,Newtown,21
229 West Fyans Street,"700,000",Jan 2021,,,,,,688,,3,1,2,Newtown,21
11 Stinton Avenue,"1,900,000",Jan 2021,"760,000",Mar 2016,1.0,,,729,,3,1,1,Newtown,21
18 Manning Street,"1,425,000",Dec 2020,,,,,,400,,,,,Newtown,21
73A Noble Street,"900,000",Dec 2020,,,,,,338,,3,2,2,Newtown,21
246 West Fyans Street,"884,000",Dec 2020,,,,,,732,,,,,Newtown,21
42 Buckland Avenue,"1,675,000",Dec 2020,"117,000",Mar 1987,,,,511,,3,,,Newtown,21
2/24 Retreat Road,"445,000",Dec 2020,"325,000",Jun 2016,,300,Jan 2018,169,83,,,,Newtown,21
25 Belfast Street,"1,220,000",Dec 2020,"605,000",Feb 2014,1.0,530,Sep 2016,911,,4,2,2,Newtown,21
10 Belfast Street,"1,150,000",Dec 2020,"837,700",Mar 2017,,,,822,,,,,Newtown,21
1/34A Roebuck Street,"690,000",Dec 2020,"130,000",Feb 2001,,,,294,,,,,Newtown,21
20 Clarendon Street,"765,000",Dec 2020,"525,000",Sep 2013,1.0,,,329,96,3,1,1,Newtown,21
147 West Fyans Street,"680,000",Dec 2020,"435,000",Aug 2015,,320,Feb 2010,573,99,2,1,1,Newtown,21
42 Roebuck Street,"1,050,000",Dec 2020,,,,420,Jun 2016,661,,3,2,2,Newtown,21
183 Skene Street,"780,000",Dec 2020,"566,500",Mar 2014,,330,Nov 2018,732,120,3,1,5,Newtown,21
17 Clarendon Street,"755,000",Dec 2020,,,,,,419,,,,,Newtown,21
192 Minerva Road,"999,500",Dec 2020,"308,000",Jul 2007,,300,May 2015,571,,3,1,1,Newtown,21
2B Raith Terrace,"515,000",Nov 2020,,,,,,516,,,,,Newtown,21
16 Nantes Street,"1,100,000",Nov 2020,"149,000",Apr 1988,,650,Jan 2021,665,,4,2,2,Newtown,21
5 Mont Street,"1,835,000",Nov 2020,"1,300,000",Jul 2016,,,,743,232,4,2,3,Newtown,21
67A Sandringham Parade,"600,000",Nov 2020,,,,450,Sep 2020,,,,,,Newtown,21
2/8-10 Ballater Avenue,"370,000",Nov 2020,"288,000",Jun 2015,,320,Dec 2020,89,,,,,Newtown,21
40 Balcombe Road,"777,000",Nov 2020,"220,000",Oct 2001,,320,Dec 2013,713,118,3,1,1,Newtown,21
31 Warwick Street,"990,000",Nov 2020,"748,500",Aug 2017,,,,530,,5,2,2,Newtown,21
6/175-179 Skene Street,"475,000",Nov 2020,"237,000",Feb 2009,,400,Dec 2020,166,,,,,Newtown,21
4 Westcott Place,"1,060,000",Nov 2020,"485,000",Aug 2007,,475,Jul 2007,523,,3,2,2,Newtown,21
42B Mervyn Street,"1,040,000",Nov 2020,"800,000",Jul 2015,,750,Dec 2018,328,227,4,2,2,Newtown,21
3 Read Street,"700,000",Nov 2020,"119,950",Dec 1999,,,,610,,3,2,2,Newtown,21
37 Upper Skene Street,"1,520,000",Nov 2020,"429,000",Nov 2004,,,,604,145,4,2,2,Newtown,21
2/8 Clarke Street,"550,000",Nov 2020,"150,000",Mar 2000,,,,276,,,,,Newtown,21
28A Belfast Street,"682,500",Nov 2020,,,,,,282,,,,,Newtown,21
20 Bayswater Road,"1,600,000",Nov 2020,"345,000",Jun 2004,,,,483,195,,,,Newtown,21
227 Noble Street,"1,520,000",Nov 2020,"320,001",Jan 2001,,,,935,288,4,2,2,Newtown,21
17 Price Street,"660,000",Nov 2020,"380,000",Nov 2015,,"10,400",May 2012,409,,,,,Newtown,21
1/46 Percy Street,"690,000",Nov 2020,,,,560,Nov 2018,"1,943",141,,,,Newtown,21
99 Camden Road,"790,000",Nov 2020,"61,000",Jun 1984,,,,619,,3,,,Newtown,21
92 Noble Street,"900,000",Nov 2020,"245,000",Oct 2001,,,,535,,3,2,2,Newtown,21
67 Fairview Avenue,"835,000",Nov 2020,"390,000",Oct 2009,,400,Jun 2019,441,,3,1,1,Newtown,21
89b Skene Street,"1,400,000",Nov 2020,,,,"1,100",Dec 2018,492,,5,2,2,Newtown,21
15 Julian Street,"800,000",Nov 2020,"519,000",Feb 2016,,580,Dec 2019,191,124,,,,Newtown,21
1/16 Laurel Bank Parade,"743,000",Nov 2020,"580,000",Jul 2011,,495,Mar 2015,422,128,3,2,1,Newtown,21
23 Cook Street,"815,000",Oct 2020,,,,,,789,,,,,Newtown,21
35 Craigie Road,"693,000",Oct 2020,"191,500",Oct 2002,,320,Nov 2013,689,,3,1,1,Newtown,21
12 Brice Avenue,"1,010,000",Oct 2020,"630,000",Mar 2010,,780,Jun 2017,549,242,4,2,1,Newtown,21
