Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
13a Camellia Crescent,"395,000",Mar 2021,,,,,,,,,,,Norlane,22
30B Forster Street,"480,000",Mar 2021,"75,750",Mar 2014,,,,478,134,,,,Norlane,22
3/2 Alkira Avenue,"419,000",Mar 2021,"345,000",Oct 2019,,380,Jun 2020,,,,,,Norlane,22
330 Anakie Road,"533,000",Mar 2021,,,,,,618,,,,,Norlane,22
26 Watsonia Grove,"410,000",Mar 2021,"265,000",May 2017,1.0,230,Dec 2017,697,,3,1,1,Norlane,22
28 Watsonia Grove,"400,000",Mar 2021,"263,000",Dec 2016,,220,Jan 2017,697,78,2,1,1,Norlane,22
11 Kestrel Court,"442,500",Mar 2021,"190,000",Mar 2008,,,,604,143,4,1,,Norlane,22
102 Robin Avenue,"368,000",Mar 2021,"330,000",May 2018,,260,Sep 2019,557,95,3,1,2,Norlane,22
3 Camfield Road NORLANE 3214,"405,000",Mar 2021,,,,,,534,,3,1,4,Norlane,22
"3 Camfield Road, NORLANE, 3214","405,000",Mar 2021,,,,,,534,,,,,Norlane,22
13 Yalloak Street,"360,000",Mar 2021,"320,000",Jul 2018,,280,Feb 2015,267,,2,1,1,Norlane,22
5B Robin Avenue,"430,000",Mar 2021,,,,,,323,,,,,Norlane,22
29b St Georges Road,"415,000",Mar 2021,"65,650",Aug 2014,,300,Sep 2015,356,118,3,1,1,Norlane,22
18 Plume Street,"435,000",Mar 2021,"80,000",Aug 2001,,,,780,,3,1,2,Norlane,22
3 Lumeah Street,"408,100",Feb 2021,,,,,,666,,,,,Norlane,22
17 Camellia Crescent,"470,000",Feb 2021,,,,,,396,,,,,Norlane,22
80 Swallow Crescent,"360,000",Feb 2021,"122,000",Sep 2003,,,,557,,2,1,1,Norlane,22
24 Ulladulla Street,"400,000",Feb 2021,,,,,,,,,,,Norlane,22
4/5 Station Street,"345,000",Feb 2021,"225,000",Jan 2017,,290,May 2019,88,,,,,Norlane,22
19 Camellia Crescent,"460,000",Feb 2021,"390,000",Apr 2018,,220,Mar 2019,891,91,3,1,2,Norlane,22
4 Zinnia Street,"440,000",Feb 2021,"153,000",Sep 2005,,280,Jan 2014,729,,4,1,1,Norlane,22
39-41 Olympic Avenue,"553,000",Feb 2021,,,,,,697,,,,,Norlane,22
39 Olympic Avenue,"553,000",Feb 2021,,,,,,697,,,,,Norlane,22
123 & 4/25 Wisteria Grove,"1,340,000",Feb 2021,,,,,,,,,,,Norlane,22
"1,2,3 & 4/25 Wisteria Grove","1,340,000",Feb 2021,,,,,,,,,,,Norlane,22
73 Alkira Avenue,"355,000",Feb 2021,"150,000",Jul 2008,,230,Feb 2017,628,,2,1,1,Norlane,22
10 Gull Street,"352,500",Feb 2021,"330,000",Apr 2018,,,,557,92,3,1,3,Norlane,22
36 Yooringa Avenue,"403,000",Feb 2021,"189,000",Jun 2013,,170,May 2007,603,,2,1,1,Norlane,22
4/75-77 Alkira Avenue,"418,000",Feb 2021,,,,,,260,,,,,Norlane,22
10 Adriatic Court,"412,000",Feb 2021,"99,000",Dec 1998,,,,328,,1,1,,Norlane,22
312 Anakie Road,"452,000",Feb 2021,"253,500",Nov 2012,,370,Feb 2021,650,104,3,1,4,Norlane,22
3/27 Hinton Close,"205,000",Feb 2021,"170,000",Jul 2018,,200,Sep 2017,73,,,,,Norlane,22
3 Spruhan Avenue,"430,000",Feb 2021,"330,000",Jun 2019,,275,Jul 2019,697,,2,1,4,Norlane,22
11 Rosewell Court,"503,000",Feb 2021,,,,,,711,,4,1,6,Norlane,22
1 Blair Court,"475,000",Feb 2021,"400,000",Sep 2018,,,,"1,141",,4,1,,Norlane,22
1/43 Dunloe Avenue,"385,000",Feb 2021,"315,000",Jan 2017,,,,288,,3,1,1,Norlane,22
17 Bingara Avenue,"315,000",Feb 2021,"225,000",Jun 2017,,,,384,93,3,1,1,Norlane,22
21 Tallis Street,"450,000",Jan 2021,"200,000",Feb 2013,,230,Sep 2017,689,110,3,1,2,Norlane,22
1c Salvia Street,"501,000",Jan 2021,,,,,,,,4,2,2,Norlane,22
75 Plume Street,"340,000",Jan 2021,"221,000",Feb 2016,,270,Nov 2018,231,,,,,Norlane,22
17 Brooks Street,"476,500",Jan 2021,"345,000",Oct 2017,1.0,,,716,,3,2,4,Norlane,22
12 Falcon Street,"352,000",Jan 2021,"270,000",Aug 2017,,260,Sep 2019,642,,2,1,2,Norlane,22
49 Peacock Avenue,"421,500",Jan 2021,"220,000",Aug 2004,,340,Apr 2017,320,,3,2,2,Norlane,22
5 Holdsworth Court,"450,000",Jan 2021,,,,400,Feb 2021,595,,4,2,2,Norlane,22
9 Elmore Street,"400,000",Dec 2020,,,,,,607,,3,1,1,Norlane,22
29 Bellbird Avenue,"321,000",Dec 2020,"175,000",Feb 2014,,,,557,,3,1,2,Norlane,22
7 Kalinga Street,"448,000",Dec 2020,"295,000",Aug 2016,,320,Jan 2019,653,,3,2,2,Norlane,22
51 Donnelly Avenue,"335,000",Dec 2020,,,,,,650,,,,,Norlane,22
4/2 Carnation Court,"380,000",Dec 2020,,,,,,,,,,,Norlane,22
19 Spruhan Avenue,"430,000",Dec 2020,,,,,,833,,3,1,2,Norlane,22
10 Alkira Avenue,"360,000",Dec 2020,"280,000",Jun 2019,,230,Mar 2019,676,,2,1,1,Norlane,22
3/67 Station Street,"262,500",Dec 2020,"240,000",Aug 2017,,275,Mar 2019,873,,,,,Norlane,22
6 Yooringa Avenue,"308,000",Dec 2020,"205,000",Mar 2015,,260,Jan 2019,238,,,,,Norlane,22
2/23 Pettitt Crescent,"146,000",Dec 2020,"70,000",Aug 2014,,,,260,,,,,Norlane,22
66 Swallow Crescent,"367,500",Dec 2020,"316,000",Jun 2018,1.0,,,558,,3,1,2,Norlane,22
59-61 Cox Road,"560,000",Dec 2020,,,,,,,,4,2,2,Norlane,22
14-16 Darebin Street,"587,000",Dec 2020,,,,,,580,,3,1,3,Norlane,22
56 Dunloe Avenue,"440,000",Dec 2020,,,,,,656,,3,1,2,Norlane,22
37 Olympic Avenue,"448,000",Dec 2020,,,,,,697,,3,1,1,Norlane,22
3/51 Camellia Crescent,"310,000",Dec 2020,,,,270,Dec 2016,164,,,,,Norlane,22
150 Sparks Road,"345,000",Dec 2020,"159,000",Mar 2006,,260,Dec 2020,688,72,2,1,2,Norlane,22
40 Donnelly Avenue,"430,000",Dec 2020,"97,000",Jan 2003,,240,Oct 2019,650,,2,1,1,Norlane,22
91 Cox Road,"310,000",Dec 2020,"168,000",Feb 2016,,250,May 2017,314,,2,1,1,Norlane,22
81 Forster Street,"290,000",Dec 2020,"269,000",Mar 2018,,240,Jul 2018,220,70,2,1,2,Norlane,22
1/23 Darebin Street,"330,000",Dec 2020,"242,500",Jan 2014,,255,Mar 2014,245,80,2,1,1,Norlane,22
30 Plume Street,"400,000",Nov 2020,"240,000",Oct 2016,,250,Dec 2016,780,,3,1,2,Norlane,22
21 Darebin Street,"355,000",Nov 2020,"160,000",Sep 2004,,,,592,,3,1,,Norlane,22
3/10 Tulip Street,"290,000",Nov 2020,,,,,,,,,,,Norlane,22
2&3/10 Tulip Street,"290,000",Nov 2020,,,,,,,,,,,Norlane,22
27B Pettitt Crescent,"395,000",Nov 2020,"291,000",Feb 2016,,,,325,,3,2,1,Norlane,22
39 North Shore Road,"320,000",Nov 2020,"197,000",Nov 2013,,,,503,,3,1,3,Norlane,22
1C Lowan Avenue,"306,000",Nov 2020,,,,,,86,,,,,Norlane,22
8 Kincaid Court,"460,000",Nov 2020,,,,365,Nov 2020,611,,3,1,8,Norlane,22
19 Korumburra Close,"470,000",Nov 2020,"96,250",Feb 2000,,,,592,,3,1,3,Norlane,22
87 Eagle Parade,"382,500",Nov 2020,,,,,,216,,2,1,2,Norlane,22
1/34 Tallis Street,"384,000",Nov 2020,,,,,,,,,,,Norlane,22
42 Plume Street,"365,000",Nov 2020,,,,,,564,,2,1,1,Norlane,22
13 Bellnore Drive,"465,000",Nov 2020,,,,370,Dec 2020,888,,3,1,5,Norlane,22
71 St Georges Road,"390,000",Nov 2020,"290,000",Mar 2017,,,,588,,4,2,2,Norlane,22
7 Haven Court,"444,000",Nov 2020,"427,500",Dec 2018,,,,769,,3,1,2,Norlane,22
9 Station Street,"419,000",Nov 2020,,,,,,796,,2,1,6,Norlane,22
38 Tallis Street,"375,000",Oct 2020,"288,000",Jun 2017,,240,Jul 2014,743,108,3,1,2,Norlane,22
31 Wendover Avenue,"385,000",Oct 2020,"255,000",May 2019,,165,Jul 2008,650,99,3,1,1,Norlane,22
72 Rose Avenue,"360,000",Oct 2020,,,,,,727,,,,,Norlane,22
46 Alkira Avenue,"372,000",Oct 2020,"297,000",Oct 2017,,260,Oct 2017,640,,2,1,,Norlane,22
22 Olympic Avenue,"423,000",Oct 2020,,,,340,Oct 2020,661,,3,1,5,Norlane,22
112 Sparks Road,"315,000",Oct 2020,"92,000",May 2002,,300,Nov 2018,743,80,5,1,1,Norlane,22
C/54 Donnybrook Road,"405,000",Oct 2020,,,,,,,,,,,Norlane,22
2 Spruhan Avenue,"375,000",Oct 2020,"210,000",Sep 2010,,,,725,,3,1,2,Norlane,22
75 Dunloe Avenue,"420,000",Oct 2020,,,,,,655,,3,1,8,Norlane,22
27 Brooks Street,"376,000",Oct 2020,"65,950",Jan 1990,,,,715,,3,1,1,Norlane,22
80 Plume Street,"346,500",Oct 2020,,,,,,660,,2,1,2,Norlane,22
124 Princes Highway,"482,500",Sep 2020,"465,000",Mar 2018,,250,Oct 2015,900,,2,1,4,Norlane,22
17B Stradbroke Street,"160,000",Sep 2020,,,,,,,,,,,Norlane,22
1/352-354 Anakie Road,"300,000",Sep 2020,"220,000",Sep 2010,,,,176,,,,,Norlane,22
6 Tulip Street,"335,000",Sep 2020,"60,000",Mar 1993,,,,697,,3,1,2,Norlane,22
