Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
60 Osborne Avenue,"595,000",Mar 2021,"282,500",Aug 2016,,300,Nov 2016,727,,3,1,,North Geelong,23
32 Roseneath Street,"450,000",Mar 2021,"315,000",Apr 2016,,240,Nov 2015,628,103,2,1,1,North Geelong,23
32 Roseneath Avenue,"450,000",Mar 2021,,,,,,628,,,,,North Geelong,23
46a Stubbs Avenue,"490,000",Mar 2021,"130,000",Feb 2017,,350,Jul 2019,189,,2,1,2,North Geelong,23
173 Victoria Street,"495,000",Mar 2021,"470,000",Sep 2018,,290,Sep 2015,802,,4,1,4,North Geelong,23
32 Osborne Avenue,"625,000",Mar 2021,"330,000",Dec 2009,,360,Sep 2011,646,164,3,2,2,North Geelong,23
47 Walsgott Street,"650,000",Feb 2021,"255,000",Nov 2009,,,,645,,3,1,3,North Geelong,23
28 Walsgott Street,"510,000",Feb 2021,"365,000",Aug 2017,,,,449,,2,1,1,North Geelong,23
101 Rutledge Boulevard,"380,000",Feb 2021,"301,000",May 2013,,,,430,,,,,North Geelong,23
2 Sargood Street,"760,000",Feb 2021,"247,500",Nov 2014,,,,473,,4,2,4,North Geelong,23
2 Muir Place,"880,000",Feb 2021,"344,000",May 2016,,,,511,,5,2,2,North Geelong,23
17 Sargood Street,"795,000",Jan 2021,"248,000",Feb 2000,,,,375,233,4,2,3,North Geelong,23
3 Par Court,"637,000",Jan 2021,"400,000",Apr 2014,,330,Jan 2014,681,,3,2,2,North Geelong,23
1 Birch Street,"715,000",Jan 2021,"405,002",Jun 2010,1.0,250,Nov 2004,432,,3,1,1,North Geelong,23
9 Mc Cabe Doyle Court,"869,000",Jan 2021,,,,,,468,,,,,North Geelong,23
120 Thompson Road,"466,000",Jan 2021,"276,000",Aug 2016,,300,Jul 2017,647,116,2,1,3,North Geelong,23
10 Wurrook Circuit,"520,000",Dec 2020,"390,000",Sep 2016,,400,Aug 2016,299,121,3,2,1,North Geelong,23
103 Rutledge Boulevard,"825,000",Dec 2020,"305,000",May 2013,,,,436,205,4,2,2,North Geelong,23
1 Walsgott Street,"433,000",Dec 2020,"230,000",Jul 2008,,,,250,,2,1,1,North Geelong,23
101 Wurrook Circuit,"525,500",Dec 2020,"200,000",Sep 2014,,360,Aug 2016,454,182,4,2,2,North Geelong,23
21 Power Way,"625,000",Dec 2020,"595,000",Oct 2019,,490,Apr 2018,414,204,3,2,3,North Geelong,23
14 Pattison Avenue,"485,000",Dec 2020,"287,000",Mar 2014,,,,445,79,2,1,2,North Geelong,23
44 Weddell Road,"480,000",Nov 2020,,,,,,656,,3,1,2,North Geelong,23
144 Thompson Road,"435,000",Nov 2020,,,,310,May 2018,647,,4,1,1,North Geelong,23
222 Thompson Road,"435,000",Nov 2020,"260,000",Jul 2013,,320,Oct 2019,613,,3,1,1,North Geelong,23
122 Rutledge Boulevard,"765,000",Oct 2020,"310,000",Sep 2014,,,,472,216,,,,North Geelong,23
12 Walsgott Street,"505,000",Oct 2020,"443,000",Jul 2019,1.0,250,Aug 2018,646,,2,1,1,North Geelong,23
41 Giddings Street,"500,000",Oct 2020,,,,,,646,,3,1,1,North Geelong,23
13 Jobbins Street,"495,000",Oct 2020,"177,000",Mar 2013,,332,Nov 2015,300,,4,2,1,North Geelong,23
13 Stubbs Avenue,"710,000",Sep 2020,"376,000",May 2014,,,,458,,4,1,2,North Geelong,23
71 Wurrook Circuit,"520,000",Sep 2020,"195,000",Sep 2013,,,,338,,,,,North Geelong,23
169 Victoria Street,"500,000",Sep 2020,"190,000",Jul 2011,,,,817,,2,,,North Geelong,23
122 Thompson Road,"442,000",Aug 2020,,,,310,May 2017,647,,3,1,2,North Geelong,23
51 Saywell Street,"547,000",Aug 2020,"410,000",Sep 2015,,,,674,,3,1,3,North Geelong,23
2/26 Kerr Street,"400,000",Aug 2020,"233,000",Sep 2012,,,,338,92,,,,North Geelong,23
11 Balfour Street,"790,000",Aug 2020,"650,000",Aug 2017,,,,375,261,,,,North Geelong,23
30 Balfour Street,"802,500",Aug 2020,"260,000",Oct 2011,,670,Jan 2019,375,236,,,,North Geelong,23
3 Walsgott Street,"550,000",Jul 2020,"380,000",Apr 2019,,,,646,153,4,3,5,North Geelong,23
85 Rutledge Boulevard,"830,000",Jul 2020,"260,000",Apr 2017,,650,Aug 2020,513,,,,,North Geelong,23
42 Guthrie Avenue,"630,000",Jul 2020,"81,000",Dec 1999,,280,Apr 2011,458,,3,1,1,North Geelong,23
25 Balfour Street,"796,899",Jul 2020,"645,000",Jan 2017,,,,375,204,4,2,2,North Geelong,23
25 Edols Street,"515,000",27 Jun 2020,,,1.0,,,"1,012",,,,,North Geelong,23
5 Sargood Street,"336,000",Jun 2020,"250,000",Jul 2017,,,,375,,3,2,2,North Geelong,23
13 Walsgott Street,"555,000",Jun 2020,,,,,,646,,4,2,2,North Geelong,23
25 Dobie Court,"337,500",Jun 2020,"237,500",Jul 2017,,,,320,,,,,North Geelong,23
29 Dobie Court,"670,000",Jun 2020,"230,000",Mar 2012,,580,Sep 2019,320,,4,2,2,North Geelong,23
1/7 Saywell Street,"460,000",Jun 2020,"295,000",Dec 2010,,,,300,105,,,,North Geelong,23
64 Slevin Street,"415,000",May 2020,"275,000",Feb 2012,,,,595,143,3,1,2,North Geelong,23
16 Giddings street,"512,000",May 2020,"386,000",Jul 2016,,380,Apr 2018,675,,3,1,2,North Geelong,23
71 Osborne Avenue,"480,000",May 2020,"225,000",Jun 2007,,330,Jan 2017,646,140,3,1,2,North Geelong,23
1/18 Walsh Grove,"366,500",May 2020,"260,000",Oct 2010,1.0,,,383,,3,1,1,North Geelong,23
3 Guthrie Avenue,"861,000",May 2020,"805,000",Apr 2018,,,,455,135,4,2,2,North Geelong,23
21 Pattison Avenue,"326,000",May 2020,,,,380,Sep 2020,505,,2,1,,North Geelong,23
11 Guthrie Avenue,"670,000",Apr 2020,"182,500",Nov 2001,,,,458,,3,1,1,North Geelong,23
12 Craddock Street,"610,000",Apr 2020,"246,000",Sep 2005,,340,Jan 2019,607,,3,1,1,North Geelong,23
41 Dobie Court,"715,000",Mar 2020,"215,000",Aug 2013,,500,Jan 2016,320,,4,2,2,North Geelong,23
3 Dobie Court,"690,000",Mar 2020,"215,000",Apr 2014,,,,352,,,,,North Geelong,23
12 Stubbs Avenue,"618,000",Mar 2020,"195,000",Jul 2004,,370,May 2018,458,112,3,1,1,North Geelong,23
1/26 Kerr Street,"389,500",Mar 2020,"162,000",Jul 2003,,,,338,,,,,North Geelong,23
59 Giddings Street,"579,000",05 Mar 2020,,,1.0,,,739,,4,1,3,North Geelong,23
57 Roseneath Street,"479,000",Mar 2020,"250,000",Mar 2013,,330,Sep 2017,613,193,4,2,2,North Geelong,23
28 Balfour Street,"632,000",Feb 2020,"260,000",May 2012,,,,375,,4,2,2,North Geelong,23
25 Sargood Street,"802,000",Feb 2020,"254,000",Dec 2013,,,,375,,,,,North Geelong,23
21 Balfour Street,"800,000",Feb 2020,"775,000",Jul 2017,,,,374,,4,2,2,North Geelong,23
7 Walsgott Street,"551,000",15 Feb 2020,"207,000",Jun 2009,1.0,,,646,104,3,1,2,North Geelong,23
