Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
1A Pine Avenue,"495,000",Feb 2021,"302,000",Apr 2012,,350,Nov 2019,237,102,2,1,1,North Shore,24
5 Seabeach Parade,"580,000",Jan 2021,"62,000",Aug 1990,,,,699,,1,1,3,North Shore,24
2/22 Seaforth Street,"457,000",Nov 2020,"330,000",Sep 2014,,,,392,120,,,,North Shore,24
13 Pine Avenue,"615,000",Nov 2020,"241,500",Feb 2000,,320,Aug 2011,"1,014",,3,1,4,North Shore,24
4/22 Myrtle Grove,"526,000",Aug 2020,,,,400,Aug 2018,176,,,,,North Shore,24
53 The Esplanade,"810,000",May 2020,"790,000",Apr 2016,,,,919,,,,,North Shore,24
14 Seaforth Street,"355,000",Apr 2020,"70,000",Nov 1989,,,,688,,3,,,North Shore,24
3/51 The Esplanade,"750,000",Mar 2020,"550,900",Nov 2008,,,,265,,,,,North Shore,24
35 The Esplanade,"955,000",Feb 2020,,,,,,998,,2,1,2,North Shore,24
38 Myrtle Grove,"500,000",Feb 2020,,,,,,307,,4,1,3,North Shore,24
1/19 Sea Breeze Parade,"385,000",Jan 2020,"215,000",May 2008,,,,263,100,,,,North Shore,24
12-14 Seabeach Parade,"555,000",Dec 2019,"277,000",Feb 2009,,340,Oct 2014,251,,3,1,2,North Shore,24
3/32 Myrtle Grove,"345,000",Oct 2019,"210,000",Dec 2008,,320,Jul 2018,166,,2,1,1,North Shore,24
9 Phosphate Road,"500,000",Aug 2019,"290,000",Jul 2009,,160,Apr 2007,740,,2,1,3,North Shore,24
16 Pine Avenue,"550,000",May 2019,"287,500",Sep 2012,1.0,290,Sep 2013,919,83,3,1,1,North Shore,24
17 Seabreeze Parade,"392,173",May 2019,,,,310,Nov 2019,,,2,1,1,North Shore,24
17 Sea Breeze Parade,"392,173",24 May 2019,"170,000",Jul 2008,1.0,,,686,96,2,1,1,North Shore,24
27 Pine Avenue,"850,000",Mar 2019,"200,000",Apr 2003,,190,Jun 2003,"1,007",,3,2,5,North Shore,24
23 The Esplanade,"668,300",Feb 2019,,,,,,650,,,,,North Shore,24
33 Seabeach Parade,"497,000",Jan 2019,"230,000",Feb 2007,,400,Jan 2019,699,145,4,1,1,North Shore,24
