Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
22 Walker Street,"820,000",Mar 2021,"645,000",Apr 2019,,390,Dec 2018,269,,3,1,1,RippleSide,25
28 Holden Avenue,"694,000",Feb 2021,"420,000",Oct 2013,,,,201,,2,1,1,RippleSide,25
26 Victoria Street,"962,500",Feb 2021,"501,000",May 2013,1.0,550,May 2019,542,,3,1,1,RippleSide,25
1a Vautier Street,"641,000",Feb 2021,,,,,,,,3,2,1,RippleSide,25
1/213 Melbourne Road,"652,500",Jan 2021,,,,,,,,3,2,2,RippleSide,25
18 Walker Street,"921,000",Jan 2021,"646,000",Dec 2016,,480,Dec 2018,441,130,3,2,2,RippleSide,25
2/209 Melbourne Road,"610,000",Dec 2020,"385,000",Jul 2011,,,,"2,076",,,,,RippleSide,25
24 Edward Street,"874,000",Dec 2020,"321,300",Mar 2008,,200,Jul 2008,433,159,2,1,1,RippleSide,25
5 Cliff Street,"2,215,000",Dec 2020,,,,,,545,,3,2,2,RippleSide,25
1B Vautier Street,"630,000",Nov 2020,,,,575,Dec 2020,,,3,2,1,RippleSide,25
1C Vautier Street,"630,000",Nov 2020,,,,570,Jan 2021,,,3,2,1,RippleSide,25
31 Balmoral Crescent,"3,325,000",Sep 2020,"2,150,000",Oct 2009,,,,807,,5,3,3,RippleSide,25
13/209 MELBOURNE ROAD,"480,950",Sep 2020,,,,,,"2,078",,,,,RippleSide,25
2/24 St David Street,"765,000",Jul 2020,"245,000",Mar 2010,,,,151,,,,,RippleSide,25
2/5-7 Victoria Street,"577,500",Jul 2020,"469,900",Jul 2013,,490,Nov 2018,188,,,,,RippleSide,25
27 Holden Avenue,"815,000",Jun 2020,"725,000",Jun 2015,,330,Mar 2019,615,130,3,1,2,RippleSide,25
2/1 Liverpool Street,"850,000",May 2020,,,,,,246,,3,2,2,RippleSide,25
4 Walker Street,"1,000,000",May 2020,"840,000",May 2018,,,,482,163,4,2,1,RippleSide,25
32 Vautier Street,"750,000",Mar 2020,,,,,,395,,4,2,2,RippleSide,25
20 Walker Street,"768,500",07 Mar 2020,"580,000",Sep 2013,1.0,450,Nov 2016,267,,3,1,1,RippleSide,25
17 Margaret Street,"1,250,000",Feb 2020,"393,000",Jun 2013,1.0,,,430,177,4,1,1,RippleSide,25
22 Margaret Street,"650,000",Feb 2020,"252,000",Nov 2004,,,,370,,3,1,2,RippleSide,25
6 Liverpool Street,"1,095,000",Jan 2020,"870,000",Dec 2013,1.0,,,367,,3,3,2,RippleSide,25
47 Margaret Street,"670,000",Dec 2019,"367,500",Feb 2013,1.0,340,Jun 2018,435,115,3,1,1,RippleSide,25
2b Swinburne Street,"470,000",Dec 2019,"270,000",Jan 2015,,350,Jan 2020,106,,,,,RippleSide,25
35 Margaret Street,"940,000",Dec 2019,"397,750",Jun 2012,,285,May 2012,434,117,2,1,1,RippleSide,25
11 Balmoral Crescent,"2,800,000",Nov 2019,"295,000",Aug 1993,,,,"1,030",,4,3,3,RippleSide,25
9/1B Victoria Street,"435,000",Nov 2019,,,,,,673,,2,1,1,RippleSide,25
2/14 Bay Street,"690,000",Nov 2019,,,,500,Aug 2016,214,,,,,RippleSide,25
23 Margaret Street,"855,000",Oct 2019,"284,500",Mar 2009,,,,95,,3,2,,RippleSide,25
Lot 13 Rivers Edge Estate,"147,900",Aug 2019,,,,,,,,,,,RippleSide,25
24 Margaret Street,"810,000",05 Jul 2019,"582,000",Dec 2015,1.0,,,419,,3,2,,RippleSide,25
Stage 2 TH2/43 Liverpool Street,"780,000",Jun 2019,,,,,,,,,,,RippleSide,25
22 St David Street,"852,500",May 2019,,,,,,250,,,,,RippleSide,25
21 Bay Street,"840,000",May 2019,"640,000",May 2015,,,,528,145,3,1,1,RippleSide,25
11/1B Victoria Street,"405,000",May 2019,,,,400,Jun 2019,673,,,,,RippleSide,25
7/5-7 Victoria Street,"515,000",May 2019,"390,000",Apr 2011,,390,Apr 2015,189,,,,,RippleSide,25
17 Lumb Place,"1,590,000",May 2019,,,,,,187,,3,3,2,RippleSide,25
1/24 St David Street,"875,000",Apr 2019,"270,000",Jun 2011,,,,192,,,,,RippleSide,25
9 Walker Street,"1,130,000",Mar 2019,"701,000",Jan 2013,1.0,565,Jan 2012,497,194,4,1,1,RippleSide,25
2a Swinburne Street,"470,000",Feb 2019,"270,000",Jan 2015,,400,Dec 2014,137,,,,,RippleSide,25
1/1 Liverpool Street,"950,000",Feb 2019,"346,000",Oct 2006,,,,250,,3,2,2,RippleSide,25
7 Lumb Place,"1,100,000",Dec 2018,,,,,,154,,,,,RippleSide,25
13 Vautier Street,"675,000",Dec 2018,,,,,,613,,3,1,1,RippleSide,25
5 St Helens Place,"775,000",Dec 2018,"595,000",Oct 2012,,,,325,,3,2,2,RippleSide,25
19 Walker Street,"560,000",Nov 2018,,,,340,Jan 2020,476,,3,1,4,RippleSide,25
39 Margaret Street,"660,000",Nov 2018,"85,000",Jan 1993,,445,Feb 2020,437,129,3,1,4,RippleSide,25
20 St David Street,"1,275,000",Nov 2018,,,,,,734,,4,2,2,RippleSide,25
9 St David Street,"720,000",27 Oct 2018,,,1.0,450,Sep 2018,614,,3,1,4,RippleSide,25
4/1B Victoria Street,"415,000",Oct 2018,"399,000",Nov 2014,,,,673,,,,,RippleSide,25
36 Vautier Street,"1,400,000",Sep 2018,,,,300,Dec 2011,612,,5,2,2,RippleSide,25
9/209 Melbourne Road,"373,000",Sep 2018,,,,310,Jan 2013,"2,078",,,,,RippleSide,25
15 Victoria Street,"655,000",11 Aug 2018,"351,000",Feb 2008,1.0,390,Feb 2021,367,95,2,1,1,RippleSide,25
8 Victoria Street,"436,000",Aug 2018,"305,000",Feb 2013,,290,Jun 2014,286,,2,1,1,RippleSide,25
14B/43 Liverpool Street,"1,290,000",Jun 2018,,,,,,,,,,,RippleSide,25
S2 14B/43 Liverpool Street,"1,290,000",Jun 2018,,,,,,,,,,,RippleSide,25
32 Margaret Street,"900,000",09 Jun 2018,"580,000",May 2011,1.0,435,Jan 2011,428,,4,2,1,RippleSide,25
26 Vautier Street,"682,000",May 2018,"420,000",Jan 2013,,,,220,,3,2,1,RippleSide,25
34 Edward Street,"679,000",21 Apr 2018,"418,000",Dec 2010,1.0,260,Jul 2009,434,,2,1,,RippleSide,25
7 Balmoral Crescent,"2,605,000",Mar 2018,"485,000",May 1997,,"1,000",Aug 2020,"1,671",289,4,3,3,RippleSide,25
213 MELBOURNE Road,"750,000",Mar 2018,"165,000",Mar 2001,,,,825,,4,2,3,RippleSide,25
14C/43 Liverpool Street,"1,100,000",Nov 2017,,,,,,,,,,,RippleSide,25
9C/43 Liverpool Street,"1,140,000",Nov 2017,,,,,,,,,,,RippleSide,25
54 Victoria Street,"775,000",04 Nov 2017,"495,000",Nov 2008,1.0,,,420,,3,1,3,RippleSide,25
29A Walker Street,"567,500",Aug 2017,,,,360,May 2014,251,,2,1,1,RippleSide,25
3 Walker Street,"560,000",Aug 2017,"345,500",Feb 2011,,470,Nov 2018,436,125,3,1,1,RippleSide,25
2/29 Walker Street,"567,500",Aug 2017,"260,000",Mar 2004,,,,254,92,,,,RippleSide,25
S2 TH5/43 Liverpool Street,"1,050,000",Jul 2017,,,,,,,,,,,RippleSide,25
5/43 Liverpool Street,"1,050,000",Jun 2017,,,,,,,,,,,RippleSide,25
Th5/43 Liverpool Street,"1,050,000",Jun 2017,,,,,,,,,,,RippleSide,25
4 Coots Court,"573,000",17 Jun 2017,"520,000",Dec 2014,1.0,,,296,,5,2,1,RippleSide,25
36 Swinburne Street,"618,000",Jun 2017,"379,000",Mar 2007,,325,Nov 2015,392,,3,2,1,RippleSide,25
7 Helen Street,"2,240,000",03 Jun 2017,,,1.0,950,May 2011,671,,4,3,2,RippleSide,25
1/14 Bay Street,"517,000",Apr 2017,,,,,,264,,2,1,1,RippleSide,25
137-139 Melbourne Road,"2,000,000",Apr 2017,,,,,,294,,,,,RippleSide,25
141-145 Melbourne Road,"960,000",Apr 2017,"60,000",Feb 2000,,,,232,,,,,RippleSide,25
155 Melbourne Road,"510,000",11 Apr 2017,"130,000",Mar 1999,1.0,,,389,175,,,,RippleSide,25
4 St Helens Place,"800,000",Apr 2017,,,,,,511,,4,2,2,RippleSide,25
3 David Street,"760,000",Mar 2017,,,,,,,,,,,RippleSide,25
3 St David Street,"760,000",04 Mar 2017,"710,000",Feb 2016,1.0,,,613,140,3,1,2,RippleSide,25
19 Margaret Street,"515,000",25 Feb 2017,"443,500",Oct 2014,1.0,300,Dec 2010,310,92,2,1,,RippleSide,25
2/50 Walker Street,"725,000",Feb 2017,,,,,,,,3,2,2,RippleSide,25
215 Melbourne Road,"370,000",Jan 2017,,,,280,Oct 2010,412,,,,,RippleSide,25
50a Walker Street,"725,000",Jan 2017,,,,595,Sep 2016,240,,3,2,2,RippleSide,25
1/50 Walker Street,"739,000",Dec 2016,,,,595,Mar 2019,,,3,2,1,RippleSide,25
46 Margaret Street,"813,000",10 Dec 2016,"352,000",Dec 2014,1.0,,,431,79,4,2,1,RippleSide,25
2/7 Liverpool Street,"770,000",Dec 2016,,,,575,Oct 2018,247,,,,,RippleSide,25
19 Victoria Street,"740,000",Dec 2016,,,,,,734,,,,,RippleSide,25
30 Walker Street,"614,500",03 Dec 2016,"315,000",Jul 2005,1.0,,,341,,4,1,1,RippleSide,25
50b Walker Street,"739,000",Nov 2016,,,,590,Sep 2014,247,,3,2,1,RippleSide,25
2 BAY Street,"672,500",Nov 2016,"140,000",Sep 1998,,,,613,,3,3,1,RippleSide,25
4/209 Melbourne Road,"378,000",Nov 2016,"335,000",Mar 2010,,325,Jun 2016,"2,076",,,,,RippleSide,25
16 Holden Avenue,"950,001",Nov 2016,,,,,,246,,4,2,2,RippleSide,25
3/5-9 Lothian Street,"385,500",Oct 2016,"295,000",Feb 2011,,400,Sep 2017,187,,,,,RippleSide,25
11/209 Princess Highway,"300,000",Oct 2016,,,,,,,,,,,RippleSide,25
11/209 Princes Highway,"300,000",Oct 2016,,,,,,,,,,,RippleSide,25
3/209 Melbourne Road,"360,000",Oct 2016,"272,000",Dec 2007,,350,Nov 2010,"2,076",75,,,,RippleSide,25
11/209 Melbourne Road,"300,000",Oct 2016,"285,000",Nov 2010,,300,Sep 2016,"2,076",,,,,RippleSide,25
2/11 St David Street,"715,000",Sep 2016,,,,580,Jul 2014,346,,4,2,2,RippleSide,25
3 Holden Avenue,"737,000",Sep 2016,"670,000",Mar 2014,,,,238,186,,,,RippleSide,25
8/209 Melbourne Road,"346,000",Aug 2016,"325,000",May 2013,,330,Oct 2019,"2,076",,,,,RippleSide,25
23 Liverpool Street,"390,000",Jun 2016,,,,360,Dec 2016,488,,2,1,1,RippleSide,25
4 Lumb Place,"740,000",May 2016,,,,550,Jun 2020,129,,,,,RippleSide,25
47-49 Walker Street,"677,000",02 Apr 2016,,,1.0,,,699,,4,1,1,RippleSide,25
47 Walker Street,"677,000",Apr 2016,"75,500",Sep 1991,,,,486,,4,1,1,RippleSide,25
21 Liverpool Street,"910,000",Mar 2016,"730,000",Oct 2010,,575,Jun 2016,175,250,3,2,1,RippleSide,25
4/5-7 Victoria Street,"435,000",Feb 2016,"319,000",Feb 2006,,375,Sep 2018,129,,3,2,1,RippleSide,25
2/13 Balmoral Crescent,"955,000",Feb 2016,"735,000",Oct 2002,,495,Aug 2011,"1,852",203,,,,RippleSide,25
10 Liverpool Street,"295,000",Jan 2016,"250,000",Sep 2005,,,,357,,2,1,,RippleSide,25
18 Bay Street,"350,000",Dec 2015,"220,000",Jul 2007,,420,Aug 2020,613,135,3,1,2,RippleSide,25
3B Victoria Street,"648,000",Oct 2015,,,,550,Sep 2014,367,235,3,3,2,RippleSide,25
33 Victoria Street,"13,000,001",Oct 2015,"1,250,000",Jun 2007,,,,274,,3,2,3,RippleSide,25
28 Vautier Street,"605,000",Sep 2015,,,,600,Feb 2019,355,,4,3,2,RippleSide,25
36 Victoria Street,"780,000",15 Aug 2015,"266,000",Aug 2002,1.0,560,Aug 2018,439,180,3,2,2,RippleSide,25
3a Victoria Street,"635,000",Jul 2015,,,,580,Feb 2018,367,,,,,RippleSide,25
4 St David Street,"600,000",11 Jul 2015,,,1.0,580,Nov 2017,206,,3,1,2,RippleSide,25
20 Lumb Place,"845,000",Jul 2015,,,,750,Jul 2018,137,,,,,RippleSide,25
1/209 Melbourne Road,"367,500",Jul 2015,"277,000",Aug 2005,,,,"2,076",104,,,,RippleSide,25
10 Walker Street,"482,000",Jul 2015,"325,000",Feb 2007,,365,May 2015,488,125,3,1,2,RippleSide,25
7 St David Street,"550,000",Jun 2015,,,,350,Jan 2012,613,118,3,1,1,RippleSide,25
43 Margaret Street,"431,000",27 Jun 2015,"338,000",Oct 2008,1.0,380,Aug 2017,386,,2,1,2,RippleSide,25
33 Bay Street,"896,000",Jun 2015,,,,350,Sep 2019,608,,3,1,1,RippleSide,25
12 St David Street,"610,000",13 Jun 2015,"400,000",Aug 2009,1.0,400,Jan 2019,734,145,3,1,1,RippleSide,25
29 Bay Street,"1,000,000",Jun 2015,"755,000",Jun 2007,,,,613,252,4,3,2,RippleSide,25
6 Bay Street,"510,000",Jun 2015,,,,400,Aug 2015,613,164,3,1,5,RippleSide,25
39 Holden Avenue,"572,000",May 2015,,,,,,222,140,3,2,2,RippleSide,25
2/21 Vautier Street,"875,000",Mar 2015,,,,,,356,,,,,RippleSide,25
21B Vautier Street,"875,000",21 Mar 2015,,,1.0,,,,,3,3,2,RippleSide,25
10 Balmoral Crescent,"450,000",21 Mar 2015,"380,000",Nov 2009,1.0,,,464,,,,,RippleSide,25
2 Swinburne Street,"270,000",Jan 2015,,,,,,,,,,,RippleSide,25
1/11 St David Street,"702,000",Nov 2014,,,,600,Dec 2012,267,,4,2,1,RippleSide,25
1/43 Liverpool Street,"7,920,000",Nov 2014,,,,,,"3,637",,,,,RippleSide,25
43 Liverpool Street,"7,920,000",Nov 2014,,,,,,"5,726",,,,,RippleSide,25
1/20 Swinburne Street,"432,500",Oct 2014,"312,000",Feb 2009,,330,Jan 2012,249,,,,,RippleSide,25
217-221 Melbourne Road,"270,000",Oct 2014,"250,000",Nov 2000,,320,Nov 2014,620,,,,,RippleSide,25
23 Bay Street,"585,000",30 Aug 2014,,,1.0,360,Nov 2014,613,,3,1,2,RippleSide,25
32 Walker Street,"470,000",Jul 2014,"310,000",May 2006,,380,Aug 2017,343,,3,1,2,RippleSide,25
37 Bay Street,"1,785,000",May 2014,,,,,,608,,4,3,2,RippleSide,25
35 Bay Street,"1,785,000",May 2014,,,,,,609,403,5,2,2,RippleSide,25
27 Walker Street,"370,000",26 Apr 2014,,,1.0,300,Apr 2017,332,185,3,1,1,RippleSide,25
1 & 2/50 Walker Street,"725,000",Apr 2014,,,,,,,,3,2,2,RippleSide,25
1/10 Helen Street,"565,000",Apr 2014,,,,,,291,,,,,RippleSide,25
60 Victoria Street,"2,150,000",Apr 2014,,,,,,"1,626",,5,2,2,RippleSide,25
10 Helen Street,"565,000",Apr 2014,,,,450,May 2013,289,,,,,RippleSide,25
33 Liverpool Street,"650,000",Mar 2014,,,,350,Jun 2014,244,,3,1,2,RippleSide,25
46 Edward Street,"530,000",Mar 2014,,,,,,149,,1,1,2,RippleSide,25
2/3 Holden Avenue,"670,000",Mar 2014,,,,,,237,186,,,,RippleSide,25
8 Bay Street,"556,000",Feb 2014,,,,,,613,,3,2,2,RippleSide,25
18 St David Street,"501,000",15 Feb 2014,,,1.0,,,734,,2,1,1,RippleSide,25
6/209 Melbourne Road,"380,000",Feb 2014,"337,000",Jun 2008,,,,"2,076",,,,,RippleSide,25
16 Bay Street,"460,000",14 Dec 2013,,,1.0,300,Jan 2021,613,,2,1,1,RippleSide,25
38 Margaret Street,"590,000",14 Dec 2013,"402,000",Jun 2007,1.0,,,458,,4,1,2,RippleSide,25
42 Margaret Street,"738,000",Nov 2013,,,,,,535,167,3,1,1,RippleSide,25
1A Victoria Street,"310,000",Sep 2013,"278,000",Mar 2011,,,,418,,,,,RippleSide,25
58 Victoria Street,"590,150",Sep 2013,"490,000",Aug 2007,,480,Sep 2018,407,160,4,1,1,RippleSide,25
25 Bay Street,"700,000",Jul 2013,"485,000",Feb 2007,,490,Jun 2015,613,151,3,2,6,RippleSide,25
19 Vautier Street,"700,000",Jul 2013,,,,595,Jan 2014,613,193,4,2,2,RippleSide,25
18 Vautier Street,"525,000",19 Jul 2013,"396,000",Oct 2004,1.0,425,Mar 2012,348,,3,2,2,RippleSide,25
15 Walker Street,"400,000",Jul 2013,"215,000",May 2001,,330,May 2013,493,215,3,1,2,RippleSide,25
44 Edward Street,"480,000",Jun 2013,"390,000",Feb 2008,,295,Jan 2007,435,140,3,1,1,RippleSide,25
13 Liverpool Street,"681,500",May 2013,,,,370,Feb 2007,45,190,4,2,1,RippleSide,25
35 Holden Avenue,"495,000",Apr 2013,,,,300,Nov 2016,615,,3,1,2,RippleSide,25
7 Vautier Street,"394,000",Feb 2013,,,,320,Jan 2011,613,,3,2,1,RippleSide,25
7 Walker Street,"920,000",Jan 2013,"870,000",Apr 2010,,,,482,,5,,,RippleSide,25
42 Victoria Street,"407,500",Dec 2012,,,,300,Feb 2012,432,,2,2,1,RippleSide,25
16 Edward Street,"460,000",Nov 2012,,,,430,Jul 2016,392,,3,2,,RippleSide,25
8 Margaret Street,"645,000",Sep 2012,"108,000",May 1999,,,,23,186,4,2,1,RippleSide,25
34 Victoria Street,"485,000",Sep 2012,,,,370,Oct 2010,414,129,3,1,1,RippleSide,25
20 Margaret Street,"420,000",Sep 2012,,,,320,Dec 2011,495,,3,1,2,RippleSide,25
5 Helen Street,"1,200,000",Aug 2012,,,,750,Apr 2011,538,,5,2,2,RippleSide,25
24 Vautier Street,"405,000",Aug 2012,,,,,,167,162,3,2,2,RippleSide,25
32 Swinburne Street,"257,500",Aug 2012,,,,,,613,,4,,,RippleSide,25
14 Balmoral Crescent,"771,000",Jul 2012,"290,000",Jul 2009,,170,Aug 2004,437,236,3,2,3,RippleSide,25
14 Bay Street,"445,000",02 Jun 2012,,,1.0,400,Apr 2016,135,93,3,1,2,RippleSide,25
10 Margaret Street,"425,000",May 2012,,,,230,Aug 2004,497,,3,1,2,RippleSide,25
38 Swinburne Street,"628,000",May 2012,,,,465,Jun 2013,613,159,4,2,2,RippleSide,25
5 Balmoral Crescent,"1,450,000",Mar 2012,,,,525,Feb 2013,"1,231",339,4,2,2,RippleSide,25
14/209 Melbourne Road,"320,000",Feb 2012,"290,000",May 2007,,325,Jun 2018,"2,076",77,,,,RippleSide,25
1 Coots Court,"350,000",Feb 2012,,,,330,Nov 2019,279,90,2,1,1,RippleSide,25
9 Victoria Street,"651,000",Jan 2012,,,,450,Apr 2018,734,,3,1,2,RippleSide,25
21 Victoria Street,"500,000",Jan 2012,,,,,,734,,3,1,2,RippleSide,25
14 Edward Street,"345,000",Jan 2012,"180,000",May 2002,,220,Nov 2009,431,,3,1,1,RippleSide,25
22 Edward Street,"510,000",Dec 2011,,,,520,Jul 2019,433,,4,2,2,RippleSide,25
1/21 Vautier Street,"670,000",22 Oct 2011,"200,000",Jan 2010,1.0,595,Aug 2011,356,,,,,RippleSide,25
3/24 St David Street,"390,000",Oct 2011,,,,530,Oct 2014,148,,,,,RippleSide,25
2/48 Edward Street,"190,000",Sep 2011,,,,,,167,140,,,,RippleSide,25
48 Edward Street,"190,000",Sep 2011,"151,000",Oct 2008,,480,Feb 2013,167,140,,,,RippleSide,25
2 Walker Street,"455,000",23 Jul 2011,,,1.0,,,493,210,4,1,1,RippleSide,25
10/209 Melbourne Road,"335,000",Jun 2011,"292,000",Aug 2007,,,,"2,076",,,,,RippleSide,25
2/5-9 Lothian Street,"358,500",21 May 2011,,,1.0,,,188,,,,,RippleSide,25
7/209 Melbourne Road,"325,000",May 2011,"270,000",Dec 2004,,300,Oct 2017,"2,076",,,,,RippleSide,25
1 Bay Street,"363,000",May 2011,"345,000",Dec 2008,,320,Sep 2009,215,152,3,2,2,RippleSide,25
38 Edward Street,"413,000",May 2011,,,,290,May 2008,434,97,3,1,2,RippleSide,25
6/24 St David Street,"385,000",Apr 2011,,,,,,153,,3,2,2,RippleSide,25
42 Vautier Street,"485,000",Apr 2011,,,,285,Jun 2011,613,,2,1,1,RippleSide,25
26 ST DAVID Street,"375,000",Mar 2011,,,,,,251,,3,1,2,RippleSide,25
1B Victoria Street,"450,000",Mar 2011,,,,,,678,,,,,RippleSide,25
25 Balmoral Crescent,"2,100,000",Mar 2011,"805,000",Dec 2001,,,,933,,4,3,3,RippleSide,25
23 St David Street,"525,000",Feb 2011,,,,320,Dec 2010,564,,3,1,1,RippleSide,25
5/24 St David Street,"295,000",Feb 2011,,,,530,Nov 2014,223,,,,,RippleSide,25
4/24 St David Street,"275,000",Dec 2010,,,,,,221,,,,,RippleSide,25
44 Vautier Street,"517,000",18 Dec 2010,,,1.0,450,Sep 2012,411,153,3,2,2,RippleSide,25
9 Liverpool Street,"485,525",Nov 2010,"380,000",Jul 2004,,410,Apr 2012,488,,4,2,1,RippleSide,25
19 St David Street,"480,000",Nov 2010,"331,000",Nov 2003,,465,Jun 2016,613,113,3,1,1,RippleSide,25
1/5-7 Victoria Street,"403,000",Nov 2010,,,,395,Nov 2009,188,,,,,RippleSide,25
14 Swinburne Street,"494,000",13 Nov 2010,,,1.0,360,Feb 2011,85,,3,1,1,RippleSide,25
31 Victoria Street,"550,000",Oct 2010,,,,360,Mar 2014,337,375,4,1,4,RippleSide,25
4 5-Sep Lothian Street,"311,000",16 Oct 2010,,,1.0,,,,,,,,RippleSide,25
7/24 St David Street,"325,000",Oct 2010,,,,,,156,,,,,RippleSide,25
40-42 Walker Street,"550,000",Sep 2010,"70,000",Dec 1987,,450,Jun 2013,394,,3,2,1,RippleSide,25
40 Walker Street,"550,000",04 Sep 2010,,,1.0,450,Jul 2013,107,,3,2,1,RippleSide,25
