Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
205 Swanston Street,"720,500",Mar 2021,"403,000",Aug 2016,,200,Dec 2007,346,120,2,1,2,South Geelong,26
8 Verner Street,"1,000,000",Feb 2021,"490,000",Nov 2013,1.0,380,Aug 2014,486,,3,1,3,South Geelong,26
246 Yarra Street,"1,320,000",Feb 2021,"1,030,000",Oct 2019,,,,143,,,,,South Geelong,26
300 Bellerine Street,"860,000",Dec 2020,"380,000",Aug 2013,,450,Nov 2016,558,120,2,1,,South Geelong,26
232 Yarra Street,"810,000",Nov 2020,"450,000",Apr 2006,,,,475,,3,1,2,South Geelong,26
203 Swanston Street,"600,000",Oct 2020,"289,000",Sep 2011,,220,Apr 2007,346,77,2,1,,South Geelong,26
248 Yarra Street,"950,000",Sep 2020,"650,000",Oct 2013,,750,Dec 2020,475,155,3,2,2,South Geelong,26
16 Lonsdale Street,"1,180,000",Aug 2020,"262,500",May 2001,,300,Nov 2009,487,,3,1,2,South Geelong,26
3/87 Fyans Street,"677,500",Aug 2020,"107,000",Apr 2014,,,,185,162,,,,South Geelong,26
3/42 Park Crescent,"425,000",Aug 2020,"155,000",May 2003,,295,Apr 2016,429,,,,,South Geelong,26
3/42-44 Park Crescent,"425,000",Jul 2020,,,,295,Apr 2016,,,2,1,1,South Geelong,26
225 Yarra Street,"610,000",Apr 2020,"385,000",Jul 2013,,,,262,107,3,1,2,South Geelong,26
15A Balliang Street,"600,000",Mar 2020,,,,410,Dec 2017,,,3,1,1,South Geelong,26
4/85 Fyans Street,"255,000",Mar 2020,"190,000",Jan 2018,,220,Oct 2017,728,,,,,South Geelong,26
53-55 Fyans Street,"1,000,000",Feb 2020,,,,,,"1,011",,,,,South Geelong,26
111 Fyans Street,"679,000",08 Feb 2020,"210,000",Mar 2005,1.0,290,May 2015,650,,3,1,2,South Geelong,26
289 Bellerine Street,"696,000",08 Feb 2020,"548,500",Aug 2016,1.0,435,Oct 2017,280,,3,2,1,South Geelong,26
32 Verner Street,"688,000",30 Nov 2019,"79,000",Mar 1996,1.0,,,483,,3,,,South Geelong,26
17 Hopkins Street,"565,000",Nov 2019,"179,000",May 1999,,,,213,,2,2,2,South Geelong,26
2a Lonsdale Street,"702,500",Sep 2019,"664,000",Apr 2017,1.0,470,Apr 2018,122,,3,2,1,South Geelong,26
6 Park Crescent,"530,000",31 Aug 2019,"62,000",Mar 1988,1.0,400,Nov 2019,379,,3,1,1,South Geelong,26
14 Foster Street,"742,000",Aug 2019,"540,000",May 2012,,,,459,,2,1,1,South Geelong,26
190 Swanston Street,"710,000",17 Aug 2019,"500,000",May 2013,1.0,460,Sep 2019,307,118,3,1,1,South Geelong,26
105 Fyans Street,"652,000",Jul 2019,,,,,,298,,3,2,2,South Geelong,26
19 Balliang Street,"731,000",Jul 2019,"280,000",Dec 2005,,450,Jan 2016,460,,3,2,1,South Geelong,26
22 Park Crescent,"1,080,000",Jul 2019,"50,000",May 1984,,,,574,,4,1,2,South Geelong,26
80 Foster Street,"560,000",Jul 2019,"395,000",May 2010,,395,Sep 2019,404,115,3,1,2,South Geelong,26
290 Bellerine Street,"618,000",Jul 2019,"382,500",Jul 2012,,,,459,121,3,1,1,South Geelong,26
14 Lonsdale Street,"785,000",Jun 2019,,,,,,486,,3,1,3,South Geelong,26
10 Lonsdale Street,"617,500",13 Apr 2019,"126,000",Aug 1996,1.0,,,486,,3,1,1,South Geelong,26
170 Swanston Street,"575,000",30 Mar 2019,,,1.0,350,Jul 2019,446,,2,1,1,South Geelong,26
163 Swanston Street,"573,000",30 Mar 2019,"295,000",Feb 2013,1.0,,,310,104,3,1,1,South Geelong,26
17 Balliang Street,"755,000",Mar 2019,"450,000",Oct 2012,,450,Oct 2012,460,150,3,2,2,South Geelong,26
8 Lonsdale Street,"1,120,000",23 Feb 2019,"185,000",Nov 2001,1.0,650,Dec 2017,487,,4,3,3,South Geelong,26
46 Balliang Street,"760,000",Feb 2019,"430,000",Oct 2008,,190,Nov 2006,562,126,3,2,,South Geelong,26
2/87 Fyans Street,"590,000",25 Jan 2019,"130,000",Jan 2014,1.0,,,304,119,3,2,2,South Geelong,26
16 Foster Street,"971,000",Jan 2019,"670,000",Feb 2010,,,,455,,5,3,2,South Geelong,26
2/42 Park Crescent,"400,000",Dec 2018,"305,000",Aug 2012,,,,429,,,,,South Geelong,26
298 Bellerine Street,"650,000",Dec 2018,"243,000",Jul 2003,,,,508,,3,2,2,South Geelong,26
2/42-44 Park Crescent,"400,000",Dec 2018,"305,000",Aug 2012,,310,Apr 2020,429,,,,,South Geelong,26
50 Balliang Street,"680,000",16 Nov 2018,"74,000",Feb 2000,1.0,,,563,,4,1,2,South Geelong,26
69 Balliang Street,"980,000",Oct 2018,"520,000",Mar 2013,,450,Dec 2020,927,114,3,1,1,South Geelong,26
2/80 Balliang Street,"351,500",Oct 2018,"230,000",Sep 2016,,330,Feb 2020,326,,,,,South Geelong,26
78 Foster Street,"600,000",13 Oct 2018,"220,000",Aug 2008,1.0,,,405,84,2,2,2,South Geelong,26
14 Verner Street,"612,550",Sep 2018,,,,,,485,,3,1,1,South Geelong,26
5/3 Findon Street,"426,000",Sep 2018,"215,000",Apr 2006,,,,169,,,,,South Geelong,26
259-263 Bellerine Street,"3,150,000",Aug 2018,,,,,,"5,872",,,,,South Geelong,26
40 Verner Street,"830,000",Jun 2018,"475,000",Sep 2007,,,,485,182,3,2,3,South Geelong,26
258 Bellerine Street,"720,000",Jun 2018,"355,000",Jul 2004,,,,319,,3,2,2,South Geelong,26
2/258 Yarra Street,"782,000",May 2018,"610,000",Feb 2000,,,,220,186,,,,South Geelong,26
57 Balliang Street,"690,000",03 Mar 2018,"158,000",Feb 2000,1.0,350,Jun 2015,464,,3,1,2,South Geelong,26
276 Bellerine Street,"1,153,000",Jan 2018,"360,000",Sep 2015,1.0,,,140,,2,1,2,South Geelong,26
7 Victory Place,"475,000",Dec 2017,,,,,,265,,,,,South Geelong,26
188 Swanston Street,"880,000",Dec 2017,"230,000",Mar 2005,,,,337,,3,2,1,South Geelong,26
29 Fyans Street,"640,000",13 Dec 2017,"123,000",Jul 1998,1.0,,,342,,3,1,2,South Geelong,26
231 Yarra Street,"1,100,000",Dec 2017,"525,000",Feb 2000,,,,477,,3,2,2,South Geelong,26
5A Lonsdale Street,"720,000",Oct 2017,"635,000",Jul 2015,,,,259,,,,,South Geelong,26
18 Lonsdale Street,"660,000",Oct 2017,"76,000",Mar 1992,,,,487,,3,1,2,South Geelong,26
1/258 Yarra Street,"645,000",Sep 2017,"570,000",Sep 2013,1.0,475,Feb 2017,259,134,,,,South Geelong,26
142a Fyans Street,"860,000",Sep 2017,"480,000",Feb 2007,,"43,000",Mar 2015,422,,,,,South Geelong,26
3/85 Fyans Street,"175,000",Aug 2017,"140,000",Jan 2008,,185,Jun 2017,729,,,,,South Geelong,26
1/35 Fyans Street,"580,000",Aug 2017,"409,250",Nov 2009,,,,312,140,3,1,1,South Geelong,26
4/15 Mundy Street,"361,000",Jul 2017,,,,340,Feb 2019,,,,,,South Geelong,26
23 Fyans Street,"661,000",Jun 2017,"71,000",Mar 1987,,,,268,,3,,,South Geelong,26
85 Bailliang Street,"620,000",May 2017,,,,,,,,,,,South Geelong,26
85 Balliang Street,"620,000",13 May 2017,"380,500",Feb 2010,1.0,,,472,112,3,1,3,South Geelong,26
14 Hede Street,"800,000",May 2017,"175,000",Apr 2005,,,,868,682,,,,South Geelong,26
82 Foster Street,"597,000",06 May 2017,"440,000",Feb 2011,1.0,520,Mar 2019,405,,3,1,2,South Geelong,26
Lot 2 87 Fyans Street,"195,000",Apr 2017,,,,,,,,,,,South Geelong,26
48A Balliang Street,"665,000",Apr 2017,"415,000",Sep 2011,,,,281,,3,3,2,South Geelong,26
20 Park Crescent,"575,000",Mar 2017,"417,500",Dec 2013,1.0,405,Nov 2019,515,,3,1,2,South Geelong,26
4/2 Foster Street,"342,000",Mar 2017,"280,400",Mar 2013,,,,114,68,,,,South Geelong,26
1 Crown Street,"2,200,000",Feb 2017,"1,100,000",Sep 1997,,,,"11,293",1880,,,,South Geelong,26
274 Yarra Street,"290,000",04 Feb 2017,"197,000",May 2004,1.0,,,303,85,2,1,2,South Geelong,26
272 Yarra Street,"340,000",04 Feb 2017,"305,000",Nov 2012,1.0,,,309,80,,,,South Geelong,26
26 Park Crescent,"882,500",Feb 2017,"645,000",May 2008,,,,449,,4,2,3,South Geelong,26
9 Findon Street,"392,500",Jan 2017,"52,000",Nov 1997,,,,252,,2,1,1,South Geelong,26
8 Foster Street,"612,000",22 Dec 2016,"130,000",Aug 1994,1.0,,,460,,4,2,1,South Geelong,26
37 Foster Street,"493,000",17 Dec 2016,"120,000",Oct 2000,1.0,,,485,,3,1,2,South Geelong,26
5 Hopkins Street,"640,000",Dec 2016,"465,000",Dec 2007,,,,260,,3,2,2,South Geelong,26
4/80 Balliang Street,"271,000",Nov 2016,,,,270,Jan 2016,123,,,,,South Geelong,26
9 Hopkins Street,"445,000",Nov 2016,"375,000",Apr 2012,,365,Dec 2017,174,129,2,2,2,South Geelong,26
119 Fyans Street,"375,000",05 Nov 2016,"290,000",2009,1.0,,,329,84,2,1,1,South Geelong,26
1 Lonsdale Street,"372,000",Oct 2016,"337,500",Mar 2014,,320,Sep 2017,207,,4,1,1,South Geelong,26
3/80 Balliang Street,"270,000",Oct 2016,,,,310,Nov 2019,"1,026",,,,,South Geelong,26
22 Foster Street,"440,000",16 Oct 2016,,,1.0,,,153,101,3,1,,South Geelong,26
32 Wood Street,"485,000",Oct 2016,"65,000",Oct 1988,,,,"1,951",,,,,South Geelong,26
89 Barwon Terrace,"1,100,000",Sep 2016,"214,000",Nov 2001,,"70,000",Feb 2015,"2,030",850,,,,South Geelong,26
407 Yarra Street,"620,500",Sep 2016,"225,000",Apr 2004,,,,468,151,3,2,4,South Geelong,26
24-28 RAPTOR Place,"346,500",Sep 2016,,,,,,"1,348",,,,,South Geelong,26
10 Birkett Place,"374,000",Aug 2016,"160,000",Dec 2007,,,,875,,,,,South Geelong,26
347 Moorabool Street,"616,000",Aug 2016,"77,500",Aug 1987,,,,446,,,,,South Geelong,26
273 Bellerine Street,"598,000",Jul 2016,"124,000",Sep 1998,,,,464,142,4,2,2,South Geelong,26
237 Bellerine Street,"332,000",Jun 2016,,,,,,,,3,1,,South Geelong,26
1/87 Fyans Street,"495,000",Jun 2016,"325,000",Aug 2012,,540,Nov 2019,304,145,4,2,1,South Geelong,26
11 Gravel Pits Road,"650,000",Jun 2016,"425,000",May 2003,,,,"20,000",,,,,South Geelong,26
11-13 GRAVEL PITS Road,"650,000",May 2016,"200,000",Jul 2003,,,,"4,920",,,,,South Geelong,26
70 Foster Street,"590,000",21 May 2016,"225,000",Sep 2006,1.0,,,405,120,3,1,2,South Geelong,26
2B Lonsdale Street,"400,000",14 May 2016,,,1.0,430,Oct 2017,122,,,,,South Geelong,26
4 Lonsdale Street,"565,000",Apr 2016,"275,300",Jul 2008,,465,Apr 2019,487,,3,1,2,South Geelong,26
13 Fyans Street,"495,000",Apr 2016,"395,000",Apr 2015,1.0,,,69,,3,1,1,South Geelong,26
172 Fyans Street,"790,000",Apr 2016,"68,295",Jul 2012,,,,"2,400",,,,,South Geelong,26
10-12 RAPTOR Place,"335,500",Apr 2016,,,,,,"1,352",,3,2,2,South Geelong,26
6/38 Balliang Street,"281,000",Mar 2016,"240,000",Nov 2012,,300,Nov 2018,65,,,,,South Geelong,26
2/3 Findon Street,"295,000",Mar 2016,"193,500",Nov 2006,,220,Nov 2009,146,,,,,South Geelong,26
107 Fyans Street,"457,000",09 Mar 2016,"255,000",Nov 2007,1.0,,,650,122,2,1,3,South Geelong,26
281 Yarra Street,"360,000",Mar 2016,"220,000",Sep 2004,,,,293,,2,1,1,South Geelong,26
361 Moorabool Street,"650,000",Mar 2016,,,,,,"1,317",,,,,South Geelong,26
72A Foster Street,"525,000",Mar 2016,,,,,,405,,3,1,1,South Geelong,26
1/260 Yarra Street,"680,000",Feb 2016,"620,000",Feb 2013,,,,222,195,,,,South Geelong,26
297 Bellerine Street,"620,000",20 Feb 2016,,,1.0,470,Nov 2018,491,144,3,2,3,South Geelong,26
268 Bellerine Street,"450,000",Feb 2016,"115,000",Jun 1999,,395,Jan 2014,486,142,3,2,2,South Geelong,26
65 Balliang Street,"441,000",Feb 2016,,,,,,464,,2,1,3,South Geelong,26
2/10 Foster Street,"600,000",Feb 2016,"150,000",Aug 1999,,,,345,,2,1,2,South Geelong,26
51 Little Fyans Street,"2,740,000",Feb 2016,"401,500",Jul 2008,,"29,000",Sep 2008,882,635,,,,South Geelong,26
21 Balliang Street,"550,000",Feb 2016,"157,900",Oct 1998,,430,Aug 2020,279,,3,2,1,South Geelong,26
42 Foster Street,"610,000",06 Feb 2016,,,1.0,500,Nov 2020,575,127,3,2,4,South Geelong,26
3/3 Findon Street,"292,500",Feb 2016,"189,000",Nov 2006,,260,Mar 2016,148,71,,,,South Geelong,26
4 Turner Place,"385,000",30 Jan 2016,"96,000",May 1998,1.0,340,Apr 2016,149,80,,,,South Geelong,26
3 Turner Place,"385,000",Jan 2016,"307,000",Nov 2014,,275,Nov 2011,145,102,2,1,1,South Geelong,26
12 Lonsdale Street,"572,000",Dec 2015,"385,000",Dec 2006,,360,Jan 2007,487,,3,2,1,South Geelong,26
23 Foster Street,"435,000",Dec 2015,"70,500",Jul 1994,,180,Apr 2007,97,,2,1,1,South Geelong,26
294 Bellerine Street,"325,000",Dec 2015,"220,000",May 2002,,325,Mar 2019,186,,,,,South Geelong,26
19 Foster Street,"775,000",05 Dec 2015,"96,000",Dec 1998,1.0,,,487,,3,2,2,South Geelong,26
6 Gravel Pits Road,"1,600,000",Dec 2015,"1,200,000",Jun 2005,,,,"7,374",3300,,,,South Geelong,26
1/100 Barwon Terrace,"425,000",Nov 2015,"320,000",Oct 2010,,,,434,,,,,South Geelong,26
177 Swanston Street,"800,000",Nov 2015,"410,000",Mar 2012,,,,505,155,2,,,South Geelong,26
