Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
113 St Albans Road,"471,660",Mar 2021,"270,000",Mar 2011,,290,Apr 2020,636,77,2,1,2,Thomson,28
10 Callander Street,"520,000",Mar 2021,,,,,,544,,3,1,2,Thomson,28
110 St Albans Road,"433,700",Mar 2021,"265,000",Dec 2014,,,,593,,2,1,2,Thomson,28
3 Warren Street,"521,000",Feb 2021,,,,,,617,,2,1,1,Thomson,28
194b Ormond Road,"432,000",Feb 2021,"324,000",Sep 2017,,,,297,,3,1,,Thomson,28
11B Birdsey Street,"380,000",Dec 2020,,,,,,308,,,,,Thomson,28
47 Olney Avenue,"430,000",Dec 2020,,,,340,Jan 2021,580,,3,1,2,Thomson,28
16A Helmer Crescent,"407,500",Dec 2020,,,,,,309,,,,,Thomson,28
64a Godfrey Street,"435,000",Nov 2020,,,,,,315,,,,,Thomson,28
24 Callander Street,"432,000",Oct 2020,,,,,,536,,4,1,1,Thomson,28
17 Breakwater Road,"590,000",Sep 2020,"415,000",Feb 2014,,,,920,,3,1,,Thomson,28
150 Boundary Road,"400,000",Sep 2020,"140,000",Apr 2003,,200,Mar 2011,613,,2,1,1,Thomson,28
8 Robertson Street,"435,500",Aug 2020,"285,000",Mar 2011,,330,Jan 2019,650,,3,1,2,Thomson,28
167 Carr Street,"443,500",Aug 2020,"182,000",Aug 2005,,,,655,,3,1,,Thomson,28
2/5 Barling Court,"390,000",Aug 2020,,,,,,201,,,,,Thomson,28
6 Jamieson Street,"425,000",Jul 2020,,,,,,604,,2,1,1,Thomson,28
1 Olney Avenue,"420,000",Jul 2020,,,,335,Nov 2018,644,,3,1,1,Thomson,28
37 Winstanley Road,"438,000",May 2020,"110,000",Oct 1991,,,,539,,3,,,Thomson,28
12 Tamlyn Street,"366,500",May 2020,"225,000",Dec 2008,,315,Dec 2018,186,,2,1,1,Thomson,28
5/13-15 Carruthers Court,"433,500",Apr 2020,"330,000",Jun 2013,,340,Jul 2016,291,,,,,Thomson,28
10 Olney Avenue,"370,000",Apr 2020,"180,000",Dec 2004,,240,Mar 2010,543,,3,1,1,Thomson,28
148 Boundary Road,"395,000",18 Mar 2020,"300,000",Feb 2000,1.0,285,May 2017,613,,3,1,1,Thomson,28
2/25 Helmer Crescent,"400,000",Mar 2020,"308,000",Feb 2016,,310,Sep 2015,294,,2,1,1,Thomson,28
141 St Albans Road,"535,000",Mar 2020,,,,,,539,,3,1,1,Thomson,28
2 Callander Street,"413,000",29 Feb 2020,"235,000",Sep 2011,1.0,340,Jun 2020,605,,3,1,2,Thomson,28
2B Birdsey Street,"504,000",Feb 2020,,,,380,Feb 2021,349,,3,1,3,Thomson,28
2/44 Godfrey Street,"386,000",Feb 2020,"315,000",Nov 2010,,330,Aug 2017,174,93,,,,Thomson,28
48 Godfrey Street,"425,000",Feb 2020,"310,000",Aug 2013,,290,Jan 2014,770,124,3,1,2,Thomson,28
41 Olney Avenue,"395,000",Feb 2020,"165,000",Jun 2003,,280,Nov 2013,540,146,2,1,2,Thomson,28
4B Bromley Street,"416,000",Jan 2020,,,,,,,,3,2,2,Thomson,28
80 St Albans Road,"595,000",Jan 2020,"355,000",Nov 2014,,450,Mar 2015,975,,5,2,5,Thomson,28
3 Kahle Court,"425,000",21 Dec 2019,"330,000",Mar 2014,1.0,340,Jun 2011,648,103,3,1,1,Thomson,28
13 Olney Avenue,"410,000",Dec 2019,"56,000",May 1988,,,,575,,3,1,2,Thomson,28
4A Bromley Street,"480,000",Dec 2019,,,,,,,,,,,Thomson,28
33 Breakwater Road,"770,000",Nov 2019,"300,000",Jan 2006,,400,Sep 2017,759,190,3,2,,Thomson,28
17 Olney Avenue,"415,000",Nov 2019,"212,500",Feb 2000,,355,Jan 2020,687,99,3,1,2,Thomson,28
14A Tate Street,"425,000",Oct 2019,"285,000",Mar 2011,,260,Sep 2009,669,96,3,1,1,Thomson,28
23 Callander Street,"435,000",Oct 2019,"247,000",Sep 2014,,370,Nov 2019,532,,3,1,2,Thomson,28
1/27 Barnfather Street,"380,000",Oct 2019,"241,000",Nov 2008,,350,Nov 2019,194,,,,,Thomson,28
1/5 Fagg Street,"470,000",Sep 2019,"312,000",Dec 2015,,400,Nov 2019,410,123,3,2,1,Thomson,28
12 Jamieson Street,"395,000",07 Sep 2019,"331,000",Feb 2017,1.0,320,May 2019,536,,3,1,2,Thomson,28
39 Olney Avenue,"405,000",Sep 2019,,,,,,528,,3,1,1,Thomson,28
20 Winstanley Road,"321,000",Aug 2019,"280,000",May 2016,,,,574,,3,1,1,Thomson,28
2/30 Tate Street,"385,000",Aug 2019,"275,000",Nov 2015,,295,Sep 2015,347,98,,,,Thomson,28
10 Barnfather Street,"380,000",Aug 2019,"255,000",Jan 2013,,210,Aug 2009,669,,3,1,2,Thomson,28
21 Breakwater Road,"380,000",Jul 2019,"292,500",Sep 2014,,320,Jan 2017,374,,2,1,,Thomson,28
25 Callander Street,"370,000",Jul 2019,"280,000",Jan 2015,,300,Mar 2015,539,,3,1,3,Thomson,28
3/9 Helmer Crescent,"372,500",Jul 2019,"50,000",Nov 2003,,,,332,,,,,Thomson,28
4 Warren Street,"465,000",Jul 2019,"310,000",Dec 2010,,320,Jan 2017,654,,3,1,2,Thomson,28
3 Hering Court,"396,000",18 May 2019,"73,000",Nov 1993,1.0,,,733,,3,1,3,Thomson,28
21 Birdsey Street,"360,000",May 2019,,,,300,Jul 2019,669,,3,1,2,Thomson,28
18 Tate Street,"396,000",Mar 2019,"187,000",Oct 2004,,,,667,80,2,1,2,Thomson,28
5/21-23 Helmer Crescent,"365,000",Dec 2018,"225,000",Sep 2007,,,,355,,,,,Thomson,28
25 Godfrey Street,"443,000",Dec 2018,"165,000",Jul 2005,,,,647,103,3,1,4,Thomson,28
2/17 Barnfather Street,"410,000",Dec 2018,"355,000",Jul 2017,,,,347,,3,1,2,Thomson,28
5 Kahle Court,"410,000",Nov 2018,,,,,,617,,3,1,2,Thomson,28
14 Breakwater Road,"660,000",24 Nov 2018,"375,000",May 2015,1.0,320,May 2011,350,97,3,1,2,Thomson,28
200 Ormond Road,"425,000",Nov 2018,"270,000",Mar 2010,,330,Jul 2014,704,191,4,1,1,Thomson,28
156 Boundary Road,"407,000",Nov 2018,"295,000",Aug 2012,,320,Sep 2016,407,,,,,Thomson,28
20 Robertson Street,"380,000",15 Nov 2018,"255,000",Feb 2014,1.0,250,Nov 2009,591,100,2,1,1,Thomson,28
2/18 Breakwater Road,"275,000",Nov 2018,"65,000",Jul 2000,,,,80,,,,,Thomson,28
9 Olney Avenue,"402,500",Nov 2018,"287,000",Aug 2012,,395,Jan 2021,630,102,3,1,2,Thomson,28
117 St Albans Road,"351,000",Oct 2018,"174,000",Sep 2006,,270,Apr 2015,630,,3,1,1,Thomson,28
3/9 Carruthers Court,"445,000",Oct 2018,"365,000",Aug 2016,,,,255,125,,,,Thomson,28
1/10-12 Carrington Street,"364,000",Sep 2018,,,,330,Sep 2018,,,,,,Thomson,28
15A Tate Street,"400,000",01 Sep 2018,,,1.0,195,Sep 2016,669,,1,1,1,Thomson,28
15&15A Tate Street,"400,000",01 Sep 2018,,,1.0,,,,,2,,,Thomson,28
15 TATE Street,"400,000",01 Sep 2018,"220,000",Dec 2007,1.0,210,Nov 2018,669,,2,2,2,Thomson,28
11A Barnfather Street,"331,000",Aug 2018,"251,000",Aug 2013,,285,Jan 2017,303,81,2,1,1,Thomson,28
19 Olney Avenue,"451,000",Aug 2018,"220,000",Feb 2010,,350,Jul 2017,582,,3,1,3,Thomson,28
62 Breakwater Road,"679,000",28 Jul 2018,"180,000",Apr 2006,1.0,,,405,,3,2,,Thomson,28
5 Jamieson Street,"426,000",Jul 2018,,,,335,Sep 2018,533,,3,1,1,Thomson,28
115 St Albans Road,"500,000",Jul 2018,"153,000",Dec 2007,,,,636,160,4,2,2,Thomson,28
35 Olney Avenue,"465,000",Jul 2018,"182,500",Oct 2004,,,,567,,,,,Thomson,28
3/27 Barnfather Street,"382,500",Jul 2018,"319,500",Nov 2011,,360,Mar 2017,296,,,,,Thomson,28
35 Winstanley Road,"412,000",Jun 2018,"85,500",Sep 2000,,290,Oct 2019,545,,3,1,1,Thomson,28
17 Bromley Street,"447,000",Jun 2018,"280,000",May 2013,,280,Jul 2013,781,97,2,1,2,Thomson,28
159 St Albans Road,"418,000",Jun 2018,"275,000",Feb 2014,,330,Apr 2018,528,,2,1,1,Thomson,28
3 Meddings Court,"437,500",Jun 2018,"285,000",Apr 2015,,280,Feb 2016,739,,3,2,2,Thomson,28
33 Olney Avenue,"346,000",May 2018,"180,000",Oct 2005,,250,Feb 2014,575,,2,1,1,Thomson,28
139 St Albans Road,"363,000",May 2018,,,,290,Nov 2019,545,,1,1,1,Thomson,28
27 Olney Avenue,"430,000",May 2018,"281,500",Jun 2011,,320,Dec 2015,541,104,2,2,1,Thomson,28
15 Barnfather Street,"410,000",May 2018,"180,000",Sep 2008,,,,646,,2,1,2,Thomson,28
16B Helmer Crescent,"385,000",May 2018,,,,,,359,,3,1,1,Thomson,28
27 Callander Street,"380,000",Apr 2018,,,,330,Sep 2019,539,,3,1,1,Thomson,28
2 Birdsey Street,"413,000",Apr 2018,"162,000",May 2003,,180,Apr 2007,651,,3,1,1,Thomson,28
4/4 Godfrey Street,"382,000",Apr 2018,"324,000",Mar 2012,,360,May 2018,167,,2,1,1,Thomson,28
179 St Albans Road,"525,500",Mar 2018,,,,,,734,,2,1,1,Thomson,28
16B Barnfather Street,"310,000",Mar 2018,,,,275,May 2018,287,,2,1,1,Thomson,28
1/18 Breakwater Road,"295,000",Feb 2018,"270,000",Sep 2014,,,,77,,,,,Thomson,28
16A Barnfather Street,"395,000",Feb 2018,,,,,,382,,3,2,2,Thomson,28
23 Breakwater Road,"345,000",Feb 2018,"185,000",Apr 2007,,340,Feb 2019,384,,,,,Thomson,28
1/25 Breakwater Road,"365,000",Feb 2018,"65,000",Apr 2004,,,,299,,,,,Thomson,28
6 Winstanley Road,"402,500",Jan 2018,"179,000",Nov 2003,,350,May 2019,541,,3,1,3,Thomson,28
11 Jamieson Street,"370,342",Jan 2018,,,,,,557,,3,1,1,Thomson,28
26 Martin Street,"660,000",Dec 2017,"389,000",Mar 2008,,,,402,,3,2,2,Thomson,28
1 Fagg Street,"420,000",Dec 2017,"70,500",Sep 1990,,450,Dec 2018,843,118,3,1,,Thomson,28
8 Tate Street,"328,000",25 Nov 2017,,,1.0,250,Sep 2013,340,,2,1,,Thomson,28
181 St Albans Road,"332,000",Nov 2017,,,,,,560,,3,1,1,Thomson,28
44a Tate Street,"412,500",18 Nov 2017,,,1.0,270,Nov 2009,362,,3,1,2,Thomson,28
15 Bromley Street,"400,000",Nov 2017,,,,150,Dec 2020,715,,3,1,2,Thomson,28
2/2 Tate Street,"320,000",Oct 2017,,,,,,,,,,,Thomson,28
7 Cranstoun Court,"470,000",Oct 2017,,,,,,778,,3,1,2,Thomson,28
1/2 Tate Street,"355,000",Sep 2017,,,,340,Jun 2019,,,,,,Thomson,28
12 Helmer Crescent,"423,000",Sep 2017,"297,500",Feb 2000,,295,Aug 2010,692,132,3,2,1,Thomson,28
4/13-15 Carruthers Court,"374,000",Aug 2017,"338,000",Aug 2014,,350,Aug 2014,356,,3,2,1,Thomson,28
4 Helmer Crescent,"392,500",12 Aug 2017,"298,000",Dec 2010,1.0,320,Nov 2013,669,,2,1,4,Thomson,28
1/13-15 Carruthers Court,"368,000",Aug 2017,"71,050",May 2013,,340,May 2015,202,,,,,Thomson,28
177 Carr Street,"310,000",Aug 2017,,,,300,Sep 2016,271,,,,,Thomson,28
13A Fagg Street,"341,000",Jul 2017,,,,310,Jun 2017,398,,3,1,1,Thomson,28
6 Birdsey Street,"412,500",Jul 2017,"175,000",Sep 2004,,,,669,,3,1,2,Thomson,28
13 Fagg Street,"341,000",Jul 2017,"205,000",Nov 2012,,,,845,,2,1,1,Thomson,28
2/2 Martin Street,"184,000",Jul 2017,"118,000",Feb 2000,,,,39,,,,,Thomson,28
158 Boundary Road,"365,000",17 Jun 2017,"300,000",Mar 2014,1.0,400,Feb 2019,410,152,3,1,1,Thomson,28
14B Carrington Street,"600,000",Jun 2017,"232,000",Jun 2014,,,,384,183,,,,Thomson,28
36 Winstanley Road,"316,000",May 2017,,,,320,Jun 2018,587,,2,1,2,Thomson,28
96 St Albans Road,"360,000",May 2017,,,,320,Aug 2017,672,,3,1,2,Thomson,28
1/7 Helmer Crescent,"357,552",May 2017,"285,100",Feb 2000,,,,332,125,,,,Thomson,28
181 Carr Street,"314,000",Apr 2017,"275,000",Oct 2012,,330,May 2019,256,,,,,Thomson,28
3/6 Barling Court,"327,000",Apr 2017,"323,000",Jul 2014,,,,222,,2,1,1,Thomson,28
1/18 Barnfather Street,"322,000",Apr 2017,"235,000",Jul 2008,,260,Nov 2009,284,94,,,,Thomson,28
1/4 Birdsey Street,"285,000",Apr 2017,,,,,,303,,3,1,,Thomson,28
1/1 Callander Street,"322,000",Mar 2017,"315,000",May 2011,,360,Apr 2019,274,93,,,,Thomson,28
19 Carruthers Court,"315,000",Mar 2017,"215,000",Mar 2009,,315,Feb 2019,659,,3,1,1,Thomson,28
194A Ormond Road,"342,000",Feb 2017,,,,,,317,,2,1,1,Thomson,28
1/6 Bromley Street,"315,000",Feb 2017,"285,000",May 2012,,,,286,72,,,,Thomson,28
1 Callander Street,"386,051",Feb 2017,,,,340,Mar 2017,823,,3,1,2,Thomson,28
