Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
8 Brownhill Ridge,"376,000",Mar 2021,,,,,,448,,,,,Wandana Heights,29
4 Sholden Court,"1,080,000",Mar 2021,,,,,,765,,,,,Wandana Heights,29
1 Chisholm Close,"630,000",Mar 2021,,,,,,"1,185",,,,,Wandana Heights,29
96 Grosvenor Drive,"1,080,000",Jan 2021,"460,000",Oct 2003,,,,"1,149",,,,,Wandana Heights,29
23 Nireeda Court,"595,000",Jan 2021,"279,000",Aug 2001,,,,331,,,,,Wandana Heights,29
83/29 Moncrieff Crescent,"340,000",Dec 2020,,,,,,511,,,,,Wandana Heights,29
Lot 83 29 Moncrieff Crescent,"340,000",Dec 2020,,,,,,511,,,,,Wandana Heights,29
3 Trafalgar Square,"1,180,000",Dec 2020,"790,000",Mar 2008,,,,"1,142",,4,5,1,Wandana Heights,29
5 Florence Court,"875,000",Dec 2020,,,,,,840,,4,2,2,Wandana Heights,29
1 Pall Ml,"1,260,000",Dec 2020,,,,,,,,,,,Wandana Heights,29
55 Wandana Drive,"862,500",Dec 2020,"622,000",Feb 2014,,,,"1,173",,4,2,3,Wandana Heights,29
1 Pall Mall,"1,260,000",Dec 2020,"833,000",Jun 2016,,710,Aug 2017,"1,867",325,5,2,2,Wandana Heights,29
5 Hargrave Crescent,"1,150,000",Nov 2020,"760,000",Oct 2014,,,,"1,239",,4,2,4,Wandana Heights,29
8 Sunderland Road,"788,000",Nov 2020,"400,000",Mar 2006,,580,Feb 2021,665,,4,2,2,Wandana Heights,29
1 Brolga Crescent,"765,000",Nov 2020,"470,000",Nov 2015,,420,Jan 2015,877,,4,2,3,Wandana Heights,29
4 Nireeda Court,"615,000",Nov 2020,,,,,,503,,,,,Wandana Heights,29
66 James Cook Drive,"1,250,000",Oct 2020,"740,000",Oct 2010,,,,"2,383",,4,3,3,Wandana Heights,29
14 Brownhill Ridge,"365,000",Oct 2020,,,,,,,,,,,Wandana Heights,29
78-80 GROSVENOR Drive,"925,000",Sep 2020,"675,000",Dec 2008,,,,905,,5,3,3,Wandana Heights,29
24 Brolga Crescent,"725,000",Sep 2020,,,,,,698,,4,2,2,Wandana Heights,29
10 Sunderland Road,"640,000",Sep 2020,"460,000",Apr 2015,,,,665,,3,2,3,Wandana Heights,29
53A Sunderland Road,"592,000",Sep 2020,,,,,,405,,,,,Wandana Heights,29
90 Grosvenor Drive,"1,600,000",Aug 2020,"1,250,000",Jul 2015,,,,"1,298",,4,2,6,Wandana Heights,29
69 Grosvenor Drive,"714,000",Jul 2020,"383,500",Jul 2009,,350,Nov 2006,501,,3,2,2,Wandana Heights,29
12 Dione Mews,"712,000",Jul 2020,"635,000",Aug 2016,,,,380,152,3,2,2,Wandana Heights,29
3 Regency Close,"800,000",Jul 2020,"561,000",May 2015,,,,933,,4,2,2,Wandana Heights,29
39 Brownhill Ridge,"230,000",May 2020,,,,,,,,,,,Wandana Heights,29
5a Canterbury Court,"540,000",Apr 2020,,,,480,Mar 2019,292,,4,2,2,Wandana Heights,29
3 Kent Hill Close,"1,040,000",Mar 2020,,,,,,"1,002",,5,3,2,Wandana Heights,29
16 Grosvenor Drive,"860,000",Mar 2020,"765,000",Apr 2017,,,,"1,141",,4,2,2,Wandana Heights,29
10-11 Sholden Court,"588,000",Mar 2020,"530,000",Feb 2019,,,,"1,153",,,,,Wandana Heights,29
28 Grosvenor Drive,"980,000",Feb 2020,"85,000",Feb 2000,,,,"1,759",,,,,Wandana Heights,29
29 Grosvenor Drive,"940,000",Feb 2020,"68,000",Nov 1989,,,,"2,495",,,,,Wandana Heights,29
3 Pall Ml,"1,012,000",Feb 2020,,,,,,,,,,,Wandana Heights,29
3 Pall Mall,"1,012,000",Feb 2020,"590,000",Sep 2006,,,,"1,316",,3,2,4,Wandana Heights,29
Lot 23 6 Drewan Drive,"540,000",Dec 2019,,,,,,"1,187",,,,,Wandana Heights,29
13 Lapin Grove,"800,000",Dec 2019,"208,000",Aug 2013,,570,Apr 2016,550,206,,,,Wandana Heights,29
30 Grosvenor Drive,"956,000",Dec 2019,"570,000",Jul 2012,,,,"1,741",,4,2,2,Wandana Heights,29
2/38 Wandana Drive,"587,499",Dec 2019,"355,000",May 2013,,400,Jun 2017,338,,2,1,2,Wandana Heights,29
3 Lucalbyn Court,"725,000",Dec 2019,"660,000",Jun 2018,,600,Jan 2019,902,,3,2,2,Wandana Heights,29
109 Grosvenor Drive,"796,500",Dec 2019,"688,000",May 2016,,650,Sep 2018,"1,818",219,5,2,2,Wandana Heights,29
62 Sunderland Road,"1,360,000",Nov 2019,"76,000",May 1999,,,,"1,025",,4,3,1,Wandana Heights,29
14 Trafalgar Square,"970,000",Nov 2019,"106,000",Mar 1998,,,,"1,134",,,,,Wandana Heights,29
13 Drewan Drive,"470,000",Oct 2019,,,,,,603,,,,,Wandana Heights,29
2 Canterbury Court,"500,000",Oct 2019,"68,000",Feb 1999,,,,741,,,,,Wandana Heights,29
Lot 66A 20-22 Moncrieff Crescent,"225,900",Sep 2019,,,,,,,,,,,Wandana Heights,29
Lot 22 8 Drewan Drive,"560,000",Sep 2019,,,,,,,,,,,Wandana Heights,29
Lot 51 Drewan Drive,"199,900",Aug 2019,,,,,,,,,,,Wandana Heights,29
5B Canterbury Court,"540,000",Aug 2019,,,,,,240,,,,,Wandana Heights,29
101-103 Grosvenor Drive,"680,000",Aug 2019,"360,000",Aug 2008,,475,Dec 2017,"1,206",223,3,1,2,Wandana Heights,29
Lot 37/11-13 Bent Road,"539,000",Jul 2019,,,,,,661,,,,,Wandana Heights,29
60 James Cook Drive,"910,000",Jul 2019,"720,000",Jun 2016,,,,"2,212",,4,3,7,Wandana Heights,29
6 Sunhill Court,"700,000",Jul 2019,"115,000",Jul 2002,,,,"1,063",,4,2,2,Wandana Heights,29
15 Sunderland Road,"555,000",Jun 2019,"418,500",Dec 2014,,,,375,,3,2,2,Wandana Heights,29
88 Grosvenor Drive,"837,000",May 2019,,,,,,"1,062",,5,2,2,Wandana Heights,29
63 Grosvenor Drive,"763,001",May 2019,"587,200",Aug 2013,,,,737,,4,2,2,Wandana Heights,29
6 Xavier Court,"825,000",Mar 2019,"585,000",Sep 2013,,,,515,215,3,2,2,Wandana Heights,29
18 Grosvenor Drive,"680,000",Mar 2019,,,,,,"1,195",,4,2,2,Wandana Heights,29
1 Hargrave Crescent,"770,000",Mar 2019,"285,000",Jan 2002,,,,"1,330",,4,2,2,Wandana Heights,29
16-17 Dione Mews,"640,000",Feb 2019,,,,,,527,,4,2,2,Wandana Heights,29
43 Grosvenor Drive,"1,350,000",Feb 2019,"950,000",Feb 2015,,685,Apr 2006,"1,901",424,6,4,13,Wandana Heights,29
7 Chisholm Close,"705,000",Feb 2019,"430,000",Dec 2009,,,,"1,280",,3,2,2,Wandana Heights,29
4 Sunderland Road,"715,000",Jan 2019,"495,000",Apr 2009,,,,660,,4,2,4,Wandana Heights,29
48 Sunderland Road,"750,000",Dec 2018,"389,000",Mar 2005,,,,919,,4,2,2,Wandana Heights,29
11 Wandana Drive,"600,000",Nov 2018,"360,000",Apr 2004,,450,Dec 2015,732,,4,2,2,Wandana Heights,29
32 James Cook Drive,"730,000",Nov 2018,"345,000",Mar 2006,,520,Jul 2017,"1,001",259,5,2,2,Wandana Heights,29
1/1 Wandana Drive,"275,000",Nov 2018,"60,500",Feb 2000,,250,May 2018,94,,1,1,1,Wandana Heights,29
3 Kates Court,"702,000",Oct 2018,"190,000",May 2009,,,,776,175,4,2,2,Wandana Heights,29
23 Brolga Crescent,"510,000",Oct 2018,"310,000",Dec 2003,,390,Jan 2016,409,,3,2,2,Wandana Heights,29
17 Kirami Court,"468,000",Aug 2018,,,,,,339,,2,1,1,Wandana Heights,29
52 Wandana Drive,"491,000",Jul 2018,"355,000",Jul 2015,,330,Dec 2012,333,,,,,Wandana Heights,29
3 Noble Place,"850,000",Jul 2018,"72,500",Mar 1997,,,,"1,027",315,5,2,2,Wandana Heights,29
8 James Cook Drive,"845,000",Jul 2018,"575,000",Jun 2011,,,,"1,001",,3,2,1,Wandana Heights,29
15A Brolga Crescent,"685,000",Jul 2018,"551,500",Nov 2012,,,,704,225,4,2,2,Wandana Heights,29
17 Madeline Drive,"700,000",Jul 2018,"115,000",Dec 2002,,600,Sep 2015,813,,5,2,2,Wandana Heights,29
105 Grosvenor Drive,"1,056,700",Jul 2018,"460,000",Jun 2002,,,,"1,293",,5,2,7,Wandana Heights,29
47A Sunderland Road,"487,500",Jul 2018,,,,380,Jul 2017,302,,3,2,1,Wandana Heights,29
8 Noble Place,"850,000",Jul 2018,,,,,,,,,,,Wandana Heights,29
1 Kirami Court,"535,000",Jun 2018,"365,000",Aug 2012,,,,359,,3,1,2,Wandana Heights,29
33 Grosvenor Drive,"1,430,000",Jun 2018,"68,000",Jul 1991,,,,"1,797",270,,,,Wandana Heights,29
125 Grosvenor Drive,"975,000",Jun 2018,"670,000",May 2013,,,,"1,055",308,4,2,2,Wandana Heights,29
47 Wandana Drive,"675,000",Jun 2018,,,,,,"1,060",,3,2,2,Wandana Heights,29
54 James Cook Drive,"1,030,000",May 2018,"93,000",Nov 2002,,,,"1,176",352,4,2,6,Wandana Heights,29
14 Lapin Grove,"835,000",Apr 2018,"230,000",Jun 2012,,,,585,280,,,,Wandana Heights,29
39 Wandana Drive,"677,500",Apr 2018,,,,440,Oct 2017,"1,163",,4,2,2,Wandana Heights,29
18 Brolga Crescent,"685,000",Mar 2018,"500,000",Sep 2011,,,,866,250,4,2,2,Wandana Heights,29
38-42 Cityview Drive,"780,000",Mar 2018,"455,000",Dec 2015,,,,"4,254",,,,,Wandana Heights,29
2/2 Wandana Drive,"435,000",Mar 2018,"119,000",Sep 1990,,,,283,,,,,Wandana Heights,29
4 Regency Close,"941,000",Mar 2018,"63,000",Mar 1993,,,,"1,104",307,,,,Wandana Heights,29
62-64 Wandana Drive,"620,000",Feb 2018,,,,,,739,,3,,,Wandana Heights,29
8 Lapin Grove,"775,000",Feb 2018,"220,000",Jul 2012,,690,Dec 2017,585,283,4,2,2,Wandana Heights,29
62 Wandana Drive,"620,000",Feb 2018,"60,000",Aug 1997,,,,739,,3,2,2,Wandana Heights,29
11 Dione Mews,"535,000",Jan 2018,"319,000",Dec 2008,,,,401,142,3,2,1,Wandana Heights,29
13-15 Madeline Drive,"705,000",Dec 2017,,,,600,Jan 2021,785,,4,2,2,Wandana Heights,29
26 Brolga Crescent,"635,000",16 Dec 2017,"190,000",Sep 1991,1.0,,,703,202,4,2,2,Wandana Heights,29
13 Madeline Drive,"705,000",16 Dec 2017,"142,000",Jul 2006,1.0,,,785,,,,,Wandana Heights,29
1/2 Wandana Drive,"395,000",Dec 2017,"200,500",Sep 2002,,240,Nov 2009,163,,,,,Wandana Heights,29
6 Grosvenor Drive,"550,000",02 Dec 2017,"134,500",Sep 1996,1.0,,,726,177,3,2,2,Wandana Heights,29
27 Grosvenor Drive,"1,120,000",31 Oct 2017,"160,000",Sep 2002,1.0,,,"2,486",,5,2,4,Wandana Heights,29
14 Hargrave Crescent,"750,000",Oct 2017,"228,000",Jan 1999,,,,"1,262",,3,3,2,Wandana Heights,29
49 Grosvenor Drive,"640,000",Oct 2017,"570,000",Jan 2014,,,,"1,879",,3,2,6,Wandana Heights,29
35 Sunderland Road,"675,000",Oct 2017,"218,500",Jun 2000,,,,646,,3,2,2,Wandana Heights,29
8 Kirami Court,"710,000",Oct 2017,"472,000",May 2006,,,,752,,6,3,3,Wandana Heights,29
55 James Cook Drive,"677,500",Oct 2017,"190,000",Aug 1992,,,,"1,002",,4,2,2,Wandana Heights,29
12 Kirami Court,"790,000",14 Oct 2017,"219,000",Sep 2013,1.0,220,Aug 2004,650,,3,2,2,Wandana Heights,29
52 Grosvenor Drive,"715,000",14 Oct 2017,"220,000",Oct 1994,1.0,,,898,,4,2,2,Wandana Heights,29
24 Lapin Grove,"245,000",Sep 2017,"215,000",Jul 2016,,,,644,,,,,Wandana Heights,29
1/5 Canterbury Court,"560,000",Aug 2017,"481,000",Nov 2012,,,,531,,,,,Wandana Heights,29
55 Grosvenor Drive,"601,000",26 Aug 2017,"200,000",Sep 1999,1.0,520,May 2019,"1,946",,3,2,2,Wandana Heights,29
51 James Cook Drive,"665,000",Aug 2017,,,,,,"1,053",,4,2,2,Wandana Heights,29
1 Ebony Close,"610,000",Jul 2017,"295,000",May 2001,,,,789,,4,2,2,Wandana Heights,29
12 Grosvenor Drive,"710,000",Jul 2017,"80,000",Aug 1989,,,,"1,005",,,,,Wandana Heights,29
53 Sunderland Road,"450,000",Jul 2017,"275,000",Mar 2002,,,,349,,3,1,2,Wandana Heights,29
17 Stanfield Drive,"699,000",May 2017,"174,000",Aug 2004,,630,Sep 2015,772,,6,2,2,Wandana Heights,29
6-7 Sholden Court,"845,000",May 2017,"690,000",Feb 2010,,,,"1,638",,4,4,6,Wandana Heights,29
11 Brolga Crescent,"539,000",May 2017,"404,000",Nov 2010,,,,679,,4,2,2,Wandana Heights,29
6 Greenway Court,"950,000",May 2017,,,,,,"16,842",,,,,Wandana Heights,29
1 Stirling Court,"558,800",Apr 2017,"135,000",Mar 1994,,,,942,,3,2,3,Wandana Heights,29
76 Wandana Drive,"560,000",Apr 2017,"460,000",Mar 2010,,,,586,,3,2,2,Wandana Heights,29
1 Trafalgar Square,"1,080,000",Apr 2017,"880,000",Aug 2006,,,,"1,064",,5,3,4,Wandana Heights,29
10 Hargrave Crescent,"615,000",Apr 2017,"282,000",Sep 1998,,,,"1,189",,,,,Wandana Heights,29
20 Brolga Crescent,"558,000",Mar 2017,"168,000",Oct 2000,,420,Jun 2017,749,,4,3,2,Wandana Heights,29
8 Greenfinch Way,"275,000",Feb 2017,"242,000",Aug 2013,,,,820,,,,,Wandana Heights,29
4 Bent Road,"831,500",Feb 2017,"625,000",Nov 2004,,,,"1,000",,4,2,2,Wandana Heights,29
