Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
3 Bollinger Street,"610,000",Mar 2021,,,,,,434,,,,,Waurn Ponds,30
17 Pinot Street,"700,000",Mar 2021,"120,000",May 2004,,,,582,,3,2,3,Waurn Ponds,30
15 Muscat Place,"720,000",Mar 2021,"401,000",Jun 2014,,420,Apr 2010,628,,4,2,2,Waurn Ponds,30
26 Oakwood Crescent,"742,000",Feb 2021,"54,000",Jun 2001,,330,Apr 2007,729,,3,2,3,Waurn Ponds,30
61 Willesden Drive,"765,000",Feb 2021,"125,400",May 2006,,465,Sep 2017,486,,4,2,2,Waurn Ponds,30
3 Burgundy Drive,"718,000",Feb 2021,"359,000",Feb 2008,,,,692,,3,2,2,Waurn Ponds,30
60 Paget Road,"1,034,999",Feb 2021,"550,000",May 2015,,,,"2,473",,4,2,2,Waurn Ponds,30
7 Katelyn Court,"1,000,000",Jan 2021,"211,000",Jan 2012,,,,558,,,,,Waurn Ponds,30
54 Blackheath Mews,"712,500",Jan 2021,"170,000",Oct 2009,,,,653,255,4,2,2,Waurn Ponds,30
3 Resolute Drive,"620,000",Dec 2020,"392,500",Nov 2015,,,,451,132,3,2,2,Waurn Ponds,30
26 Ironbark Street,"415,000",Dec 2020,"65,000",Oct 2001,,,,649,,,,,Waurn Ponds,30
55 Monterey Drive,"571,000",Dec 2020,"422,000",Nov 2012,,500,Sep 2011,481,,5,2,2,Waurn Ponds,30
3 Moet Court,"785,000",Dec 2020,"535,000",Jan 2014,,,,618,289,4,2,2,Waurn Ponds,30
67 Monterey Drive,"495,000",Dec 2020,"342,500",Apr 2012,,,,475,117,3,1,1,Waurn Ponds,30
38 Willesden Drive,"475,000",Dec 2020,"250,000",Jun 2006,,,,432,,2,1,1,Waurn Ponds,30
19-21 Barossa Court,"1,220,000",Nov 2020,"578,000",Oct 2012,,,,"2,391",25,5,2,6,Waurn Ponds,30
