Address,Sell Price,Sell Date,Last Sell Price,Last Sell Date,Auction,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Car,Suburb,Suburb_Code
12 Sputnik Court,"430,000",Mar 2021,"340,000",Jan 2019,,350,Nov 2019,716,98,3,1,3,Whittington,31
11 Alouette Court,"425,000",Mar 2021,"70,000",Feb 2000,,,,647,,3,1,1,Whittington,31
2/17 Truscott Street,"242,500",Mar 2021,"140,000",Mar 2011,,220,Dec 2018,87,,,,,Whittington,31
11 Solar Drive,"467,000",Mar 2021,"252,000",Sep 2014,,,,680,109,3,1,1,Whittington,31
1/220-222 Wilsons Road,"245,000",Mar 2021,"175,000",Oct 2016,,125,Jun 2005,62,,,,,Whittington,31
43 Hickey Street,"450,000",Feb 2021,"251,000",Aug 2012,,,,674,86,2,1,1,Whittington,31
1/126 Coppards Road,"361,000",Feb 2021,"191,500",Nov 2006,,,,294,,,,,Whittington,31
9 Stefania Mews,"460,000",Feb 2021,,,,,,497,,,,,Whittington,31
7/197-201 Boundary Road,"330,000",Feb 2021,,,,,,184,,,,,Whittington,31
7/197 Boundary Road,"330,000",Feb 2021,,,,,,180,,,,,Whittington,31
8 Gemini Court,"352,500",Feb 2021,,,,,,569,,,,,Whittington,31
23 Melva Cresecent,"458,000",Jan 2021,,,,,,739,,3,1,1,Whittington,31
56 Oxford Street,"442,000",Jan 2021,"420,000",Sep 2018,,385,Mar 2021,639,,3,1,1,Whittington,31
169 Solar Drive,"405,000",Jan 2021,"279,000",Mar 2017,,370,Feb 2021,840,,3,1,,Whittington,31
2 Koala Court,"610,000",Jan 2021,"471,000",Nov 2017,1.0,420,Mar 2019,"1,166",175,3,2,4,Whittington,31
2 Regent Street,"585,000",Jan 2021,"250,000",Oct 2015,,210,May 2010,465,,2,1,1,Whittington,31
223 Wilsons Road,"380,000",Jan 2021,"75,000",Feb 2000,,,,558,,3,1,1,Whittington,31
15 Gemini Court,"405,000",Dec 2020,"155,000",Jan 2013,,,,600,,,,,Whittington,31
30a Orbit Drive,"390,000",Dec 2020,"315,000",Jun 2017,,330,Jul 2017,285,,,,,Whittington,31
6/5 Oxford Street,"340,000",Dec 2020,,,,310,Feb 2021,180,,,,,Whittington,31
1 Gemini Court,"475,000",Dec 2020,,,,,,606,,,,,Whittington,31
37 Townsend Road,"380,000",Dec 2020,"339,000",Aug 2018,,360,Nov 2018,253,,3,1,1,Whittington,31
2/6 Stanford Court,"386,000",Nov 2020,"235,000",Jun 2011,,285,Jul 2018,456,,,,,Whittington,31
20 Ranger Court,"385,000",Nov 2020,,,,,,646,,,,,Whittington,31
3 Lunik Court,"415,000",Nov 2020,"181,000",Oct 2009,,320,Jan 2021,725,,3,1,1,Whittington,31
5/232-234 Wilsons Road,"268,000",Oct 2020,"186,000",Aug 2011,,230,May 2017,82,,2,1,1,Whittington,31
13 Apollo Place,"325,000",Oct 2020,"79,500",Oct 2000,,,,562,,3,1,1,Whittington,31
43 Oxford Street,"450,000",Oct 2020,"250,000",Apr 2018,1.0,,,388,,4,1,1,Whittington,31
