,Suburb,Year,Population
0,Armstrong Creek,2012,1521
1,Armstrong Creek,2013,2515
2,Armstrong Creek,2014,3515
3,Armstrong Creek,2015,4524
4,Armstrong Creek,2016,5561
5,Armstrong Creek,2017,6889
6,Armstrong Creek,2018,8496
7,Armstrong Creek,2019,10056
8,Armstrong Creek,2020,[[10785.10714286]]
9,Armstrong Creek,2021,[[11985.21428571]]
10,Armstrong Creek,2022,[[13185.32142857]]
11,Armstrong Creek,2023,[[14385.42857143]]
12,Armstrong Creek,2024,[[15585.53571429]]
13,Armstrong Creek,2025,[[16785.64285714]]
14,Armstrong Creek,2026,[[17985.75]]
15,Armstrong Creek,2027,[[19185.85714286]]
16,Armstrong Creek,2028,[[20385.96428571]]
17,Armstrong Creek,2029,[[21586.07142857]]
18,Armstrong Creek,2030,[[22786.17857143]]
19,Armstrong Creek,2031,[[23986.28571429]]
20,Armstrong Creek,2032,[[25186.39285714]]
21,Armstrong Creek,2033,[[26386.5]]
22,Armstrong Creek,2034,[[27586.60714286]]
23,Armstrong Creek,2035,[[28786.71428571]]
24,Armstrong Creek,2036,[[29986.82142857]]
25,Armstrong Creek,2037,[[31186.92857143]]
26,Armstrong Creek,2038,[[32387.03571429]]
27,Armstrong Creek,2039,[[33587.14285714]]
28,Armstrong Creek,2040,[[34787.25]]
29,Armstrong Creek,2041,[[35987.35714286]]
30,Armstrong Creek,2042,[[37187.46428571]]
31,Armstrong Creek,2043,[[38387.57142857]]
32,Armstrong Creek,2044,[[39587.67857143]]
33,Armstrong Creek,2045,[[40787.78571429]]
34,Armstrong Creek,2046,[[41987.89285714]]
35,Armstrong Creek,2047,[[43188.]]
36,Armstrong Creek,2048,[[44388.10714286]]
37,Armstrong Creek,2049,[[45588.21428571]]
