,Suburb,Year,Population
0,Clifton Springs,2012,7589.0
1,Clifton Springs,2013,7499.0
2,Clifton Springs,2014,7460.0
3,Clifton Springs,2015,7526.0
4,Clifton Springs,2016,7659.0
5,Clifton Springs,2017,7696.0
6,Clifton Springs,2018,7870.0
7,Clifton Springs,2019,7975.0
8,Clifton Springs,2020,[[7948.42857143]]
9,Clifton Springs,2021,[[8012.69047619]]
10,Clifton Springs,2022,[[8076.95238095]]
11,Clifton Springs,2023,[[8141.21428571]]
12,Clifton Springs,2024,[[8205.47619048]]
13,Clifton Springs,2025,[[8269.73809524]]
14,Clifton Springs,2026,[[8334.]]
15,Clifton Springs,2027,[[8398.26190476]]
16,Clifton Springs,2028,[[8462.52380952]]
17,Clifton Springs,2029,[[8526.78571429]]
18,Clifton Springs,2030,[[8591.04761905]]
19,Clifton Springs,2031,[[8655.30952381]]
20,Clifton Springs,2032,[[8719.57142857]]
21,Clifton Springs,2033,[[8783.83333333]]
22,Clifton Springs,2034,[[8848.0952381]]
23,Clifton Springs,2035,[[8912.35714286]]
24,Clifton Springs,2036,[[8976.61904762]]
25,Clifton Springs,2037,[[9040.88095238]]
26,Clifton Springs,2038,[[9105.14285714]]
27,Clifton Springs,2039,[[9169.4047619]]
28,Clifton Springs,2040,[[9233.66666667]]
29,Clifton Springs,2041,[[9297.92857143]]
30,Clifton Springs,2042,[[9362.19047619]]
31,Clifton Springs,2043,[[9426.45238095]]
32,Clifton Springs,2044,[[9490.71428571]]
33,Clifton Springs,2045,[[9554.97619048]]
34,Clifton Springs,2046,[[9619.23809524]]
35,Clifton Springs,2047,[[9683.5]]
36,Clifton Springs,2048,[[9747.76190476]]
37,Clifton Springs,2049,[[9812.02380952]]
