,Suburb,Year,Population
0,Corio,2012,15527.0
1,Corio,2013,15563.0
2,Corio,2014,15521.0
3,Corio,2015,15541.0
4,Corio,2016,15698.0
5,Corio,2017,15897.0
6,Corio,2018,15974.0
7,Corio,2019,16039.0
8,Corio,2020,[[16090.92857143]]
9,Corio,2021,[[16173.35714286]]
10,Corio,2022,[[16255.78571429]]
11,Corio,2023,[[16338.21428571]]
12,Corio,2024,[[16420.64285714]]
13,Corio,2025,[[16503.07142857]]
14,Corio,2026,[[16585.5]]
15,Corio,2027,[[16667.92857143]]
16,Corio,2028,[[16750.35714286]]
17,Corio,2029,[[16832.78571429]]
18,Corio,2030,[[16915.21428571]]
19,Corio,2031,[[16997.64285714]]
20,Corio,2032,[[17080.07142857]]
21,Corio,2033,[[17162.5]]
22,Corio,2034,[[17244.92857143]]
23,Corio,2035,[[17327.35714286]]
24,Corio,2036,[[17409.78571429]]
25,Corio,2037,[[17492.21428571]]
26,Corio,2038,[[17574.64285714]]
27,Corio,2039,[[17657.07142857]]
28,Corio,2040,[[17739.5]]
29,Corio,2041,[[17821.92857143]]
30,Corio,2042,[[17904.35714286]]
31,Corio,2043,[[17986.78571429]]
32,Corio,2044,[[18069.21428571]]
33,Corio,2045,[[18151.64285714]]
34,Corio,2046,[[18234.07142857]]
35,Corio,2047,[[18316.5]]
36,Corio,2048,[[18398.92857143]]
37,Corio,2049,[[18481.35714286]]
