,Suburb,Year,Population
0,Curlewis,2012,472.0
1,Curlewis,2013,723.0
2,Curlewis,2014,990.0
3,Curlewis,2015,1268.0
4,Curlewis,2016,1580.0
5,Curlewis,2017,1872.0
6,Curlewis,2018,2175.0
7,Curlewis,2019,2626.0
8,Curlewis,2020,[[2818.39285714]]
9,Curlewis,2021,[[3119.53571429]]
10,Curlewis,2022,[[3420.67857143]]
11,Curlewis,2023,[[3721.82142857]]
12,Curlewis,2024,[[4022.96428571]]
13,Curlewis,2025,[[4324.10714286]]
14,Curlewis,2026,[[4625.25]]
15,Curlewis,2027,[[4926.39285714]]
16,Curlewis,2028,[[5227.53571429]]
17,Curlewis,2029,[[5528.67857143]]
18,Curlewis,2030,[[5829.82142857]]
19,Curlewis,2031,[[6130.96428571]]
20,Curlewis,2032,[[6432.10714286]]
21,Curlewis,2033,[[6733.25]]
22,Curlewis,2034,[[7034.39285714]]
23,Curlewis,2035,[[7335.53571429]]
24,Curlewis,2036,[[7636.67857143]]
25,Curlewis,2037,[[7937.82142857]]
26,Curlewis,2038,[[8238.96428571]]
27,Curlewis,2039,[[8540.10714286]]
28,Curlewis,2040,[[8841.25]]
29,Curlewis,2041,[[9142.39285714]]
30,Curlewis,2042,[[9443.53571429]]
31,Curlewis,2043,[[9744.67857143]]
32,Curlewis,2044,[[10045.82142857]]
33,Curlewis,2045,[[10346.96428571]]
34,Curlewis,2046,[[10648.10714286]]
35,Curlewis,2047,[[10949.25]]
36,Curlewis,2048,[[11250.39285714]]
37,Curlewis,2049,[[11551.53571429]]
