,Suburb,Year,Population
0,Drysdale,2012,4062.0
1,Drysdale,2013,4139.0
2,Drysdale,2014,4243.0
3,Drysdale,2015,4375.0
4,Drysdale,2016,4524.0
5,Drysdale,2017,4688.0
6,Drysdale,2018,4772.0
7,Drysdale,2019,4981.0
8,Drysdale,2020,[[5066.67857143]]
9,Drysdale,2021,[[5198.60714286]]
10,Drysdale,2022,[[5330.53571429]]
11,Drysdale,2023,[[5462.46428571]]
12,Drysdale,2024,[[5594.39285714]]
13,Drysdale,2025,[[5726.32142857]]
14,Drysdale,2026,[[5858.25]]
15,Drysdale,2027,[[5990.17857143]]
16,Drysdale,2028,[[6122.10714286]]
17,Drysdale,2029,[[6254.03571429]]
18,Drysdale,2030,[[6385.96428571]]
19,Drysdale,2031,[[6517.89285714]]
20,Drysdale,2032,[[6649.82142857]]
21,Drysdale,2033,[[6781.75]]
22,Drysdale,2034,[[6913.67857143]]
23,Drysdale,2035,[[7045.60714286]]
24,Drysdale,2036,[[7177.53571429]]
25,Drysdale,2037,[[7309.46428571]]
26,Drysdale,2038,[[7441.39285714]]
27,Drysdale,2039,[[7573.32142857]]
28,Drysdale,2040,[[7705.25]]
29,Drysdale,2041,[[7837.17857143]]
30,Drysdale,2042,[[7969.10714286]]
31,Drysdale,2043,[[8101.03571429]]
32,Drysdale,2044,[[8232.96428571]]
33,Drysdale,2045,[[8364.89285714]]
34,Drysdale,2046,[[8496.82142857]]
35,Drysdale,2047,[[8628.75]]
36,Drysdale,2048,[[8760.67857143]]
37,Drysdale,2049,[[8892.60714286]]
