,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Marshall,2012.0,1807.0,,,
1,Marshall,2013.0,1885.0,,,
2,Marshall,2014.0,1985.0,,,
3,Marshall,2015.0,2097.0,,,
4,Marshall,2016.0,2304.0,,,
5,Marshall,2017.0,2665.0,,,
6,Marshall,2018.0,3206.0,,,
7,Marshall,2019.0,3557.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Marshall,2020.0,[[3568.71428571]],,,
12,Marshall,2021.0,[[3819.92857143]],,,
13,Marshall,2022.0,[[4071.14285714]],,,
14,Marshall,2023.0,[[4322.35714286]],,,
15,Marshall,2024.0,[[4573.57142857]],,,
16,Marshall,2025.0,[[4824.78571429]],,,
17,Marshall,2026.0,[[5076.]],,,
18,Marshall,2027.0,[[5327.21428571]],,,
19,Marshall,2028.0,[[5578.42857143]],,,
20,Marshall,2029.0,[[5829.64285714]],,,
21,Marshall,2030.0,[[6080.85714286]],,,
22,Marshall,2031.0,[[6332.07142857]],,,
23,Marshall,2032.0,[[6583.28571429]],,,
24,Marshall,2033.0,[[6834.5]],,,
25,Marshall,2034.0,[[7085.71428571]],,,
26,Marshall,2035.0,[[7336.92857143]],,,
27,Marshall,2036.0,[[7588.14285714]],,,
28,Marshall,2037.0,[[7839.35714286]],,,
29,Marshall,2038.0,[[8090.57142857]],,,
30,Marshall,2039.0,[[8341.78571429]],,,
31,Marshall,2040.0,[[8593.]],,,
32,Marshall,2041.0,[[8844.21428571]],,,
33,Marshall,2042.0,[[9095.42857143]],,,
34,Marshall,2043.0,[[9346.64285714]],,,
35,Marshall,2044.0,[[9597.85714286]],,,
36,Marshall,2045.0,[[9849.07142857]],,,
37,Marshall,2046.0,[[10100.28571429]],,,
38,Marshall,2047.0,[[10351.5]],,,
39,Marshall,2048.0,[[10602.71428571]],,,
40,Marshall,2049.0,[[10853.92857143]],,,
