,Suburb,Year,Number,Unnamed: 3,Unnamed: 4,Unnamed: 5,Population
0,Norlane,2012.0,8584.0,,,,
1,Norlane,2013.0,8621.0,,,,
2,Norlane,2014.0,8736.0,,,,
3,Norlane,2015.0,8785.0,,,,
4,Norlane,2016.0,8888.0,,,,
5,Norlane,2017.0,8927.0,,,,
6,Norlane,2018.0,8978.0,,,,
7,Norlane,2019.0,9018.0,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,Norlane,2020.0,,,,,[[9111.71428571]]
12,Norlane,2021.0,,,,,[[9177.17857143]]
13,Norlane,2022.0,,,,,[[9242.64285714]]
14,Norlane,2023.0,,,,,[[9308.10714286]]
15,Norlane,2024.0,,,,,[[9373.57142857]]
16,Norlane,2025.0,,,,,[[9439.03571429]]
17,Norlane,2026.0,,,,,[[9504.5]]
18,Norlane,2027.0,,,,,[[9569.96428571]]
19,Norlane,2028.0,,,,,[[9635.42857143]]
20,Norlane,2029.0,,,,,[[9700.89285714]]
21,Norlane,2030.0,,,,,[[9766.35714286]]
22,Norlane,2031.0,,,,,[[9831.82142857]]
23,Norlane,2032.0,,,,,[[9897.28571429]]
24,Norlane,2033.0,,,,,[[9962.75]]
25,Norlane,2034.0,,,,,[[10028.21428571]]
26,Norlane,2035.0,,,,,[[10093.67857143]]
27,Norlane,2036.0,,,,,[[10159.14285714]]
28,Norlane,2037.0,,,,,[[10224.60714286]]
29,Norlane,2038.0,,,,,[[10290.07142857]]
30,Norlane,2039.0,,,,,[[10355.53571429]]
31,Norlane,2040.0,,,,,[[10421.]]
32,Norlane,2041.0,,,,,[[10486.46428571]]
33,Norlane,2042.0,,,,,[[10551.92857143]]
34,Norlane,2043.0,,,,,[[10617.39285714]]
35,Norlane,2044.0,,,,,[[10682.85714286]]
36,Norlane,2045.0,,,,,[[10748.32142857]]
37,Norlane,2046.0,,,,,[[10813.78571429]]
38,Norlane,2047.0,,,,,[[10879.25]]
39,Norlane,2048.0,,,,,[[10944.71428571]]
40,Norlane,2049.0,,,,,[[11010.17857143]]
