,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Rural Bellarine Peninsula,2012.0,2473.0,,,
1,Rural Bellarine Peninsula,2013.0,2565.0,,,
2,Rural Bellarine Peninsula,2014.0,2673.0,,,
3,Rural Bellarine Peninsula,2015.0,2783.0,,,
4,Rural Bellarine Peninsula,2016.0,2892.0,,,
5,Rural Bellarine Peninsula,2017.0,2991.0,,,
6,Rural Bellarine Peninsula,2018.0,3130.0,,,
7,Rural Bellarine Peninsula,2019.0,3245.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Rural Bellarine Peninsula,2020.0,[[3341.78571429]],,,
12,Rural Bellarine Peninsula,2021.0,[[3452.4047619]],,,
13,Rural Bellarine Peninsula,2022.0,[[3563.02380952]],,,
14,Rural Bellarine Peninsula,2023.0,[[3673.64285714]],,,
15,Rural Bellarine Peninsula,2024.0,[[3784.26190476]],,,
16,Rural Bellarine Peninsula,2025.0,[[3894.88095238]],,,
17,Rural Bellarine Peninsula,2026.0,[[4005.5]],,,
18,Rural Bellarine Peninsula,2027.0,[[4116.11904762]],,,
19,Rural Bellarine Peninsula,2028.0,[[4226.73809524]],,,
20,Rural Bellarine Peninsula,2029.0,[[4337.35714286]],,,
21,Rural Bellarine Peninsula,2030.0,[[4447.97619048]],,,
22,Rural Bellarine Peninsula,2031.0,[[4558.5952381]],,,
23,Rural Bellarine Peninsula,2032.0,[[4669.21428571]],,,
24,Rural Bellarine Peninsula,2033.0,[[4779.83333333]],,,
25,Rural Bellarine Peninsula,2034.0,[[4890.45238095]],,,
26,Rural Bellarine Peninsula,2035.0,[[5001.07142857]],,,
27,Rural Bellarine Peninsula,2036.0,[[5111.69047619]],,,
28,Rural Bellarine Peninsula,2037.0,[[5222.30952381]],,,
29,Rural Bellarine Peninsula,2038.0,[[5332.92857143]],,,
30,Rural Bellarine Peninsula,2039.0,[[5443.54761905]],,,
31,Rural Bellarine Peninsula,2040.0,[[5554.16666667]],,,
32,Rural Bellarine Peninsula,2041.0,[[5664.78571429]],,,
33,Rural Bellarine Peninsula,2042.0,[[5775.4047619]],,,
34,Rural Bellarine Peninsula,2043.0,[[5886.02380952]],,,
35,Rural Bellarine Peninsula,2044.0,[[5996.64285714]],,,
36,Rural Bellarine Peninsula,2045.0,[[6107.26190476]],,,
37,Rural Bellarine Peninsula,2046.0,[[6217.88095238]],,,
38,Rural Bellarine Peninsula,2047.0,[[6328.5]],,,
39,Rural Bellarine Peninsula,2048.0,[[6439.11904762]],,,
40,Rural Bellarine Peninsula,2049.0,[[6549.73809524]],,,
