,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Rural North,2012.0,1685.0,,,
1,Rural North,2013.0,1693.0,,,
2,Rural North,2014.0,1719.0,,,
3,Rural North,2015.0,1735.0,,,
4,Rural North,2016.0,1785.0,,,
5,Rural North,2017.0,1834.0,,,
6,Rural North,2018.0,1927.0,,,
7,Rural North,2019.0,1987.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Rural North,2020.0,[[1992.71428571]],,,
12,Rural North,2021.0,[[2036.51190476]],,,
13,Rural North,2022.0,[[2080.30952381]],,,
14,Rural North,2023.0,[[2124.10714286]],,,
15,Rural North,2024.0,[[2167.9047619]],,,
16,Rural North,2025.0,[[2211.70238095]],,,
17,Rural North,2026.0,[[2255.5]],,,
18,Rural North,2027.0,[[2299.29761905]],,,
19,Rural North,2028.0,[[2343.0952381]],,,
20,Rural North,2029.0,[[2386.89285714]],,,
21,Rural North,2030.0,[[2430.69047619]],,,
22,Rural North,2031.0,[[2474.48809524]],,,
23,Rural North,2032.0,[[2518.28571429]],,,
24,Rural North,2033.0,[[2562.08333333]],,,
25,Rural North,2034.0,[[2605.88095238]],,,
26,Rural North,2035.0,[[2649.67857143]],,,
27,Rural North,2036.0,[[2693.47619048]],,,
28,Rural North,2037.0,[[2737.27380952]],,,
29,Rural North,2038.0,[[2781.07142857]],,,
30,Rural North,2039.0,[[2824.86904762]],,,
31,Rural North,2040.0,[[2868.66666667]],,,
32,Rural North,2041.0,[[2912.46428571]],,,
33,Rural North,2042.0,[[2956.26190476]],,,
34,Rural North,2043.0,[[3000.05952381]],,,
35,Rural North,2044.0,[[3043.85714286]],,,
36,Rural North,2045.0,[[3087.6547619]],,,
37,Rural North,2046.0,[[3131.45238095]],,,
38,Rural North,2047.0,[[3175.25]],,,
39,Rural North,2048.0,[[3219.04761905]],,,
40,Rural North,2049.0,[[3262.8452381]],,,
