,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,St Albans Park,2012.0,5000.0,,,
1,St Albans Park,2013.0,4931.0,,,
2,St Albans Park,2014.0,4920.0,,,
3,St Albans Park,2015.0,4919.0,,,
4,St Albans Park,2016.0,4931.0,,,
5,St Albans Park,2017.0,4936.0,,,
6,St Albans Park,2018.0,4949.0,,,
7,St Albans Park,2019.0,5059.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,St Albans Park,2020.0,[[4985.78571429]],,,
12,St Albans Park,2021.0,[[4992.48809524]],,,
13,St Albans Park,2022.0,[[4999.19047619]],,,
14,St Albans Park,2023.0,[[5005.89285714]],,,
15,St Albans Park,2024.0,[[5012.5952381]],,,
16,St Albans Park,2025.0,[[5019.29761905]],,,
17,St Albans Park,2026.0,[[5026.]],,,
18,St Albans Park,2027.0,[[5032.70238095]],,,
19,St Albans Park,2028.0,[[5039.4047619]],,,
20,St Albans Park,2029.0,[[5046.10714286]],,,
21,St Albans Park,2030.0,[[5052.80952381]],,,
22,St Albans Park,2031.0,[[5059.51190476]],,,
23,St Albans Park,2032.0,[[5066.21428571]],,,
24,St Albans Park,2033.0,[[5072.91666667]],,,
25,St Albans Park,2034.0,[[5079.61904762]],,,
26,St Albans Park,2035.0,[[5086.32142857]],,,
27,St Albans Park,2036.0,[[5093.02380952]],,,
28,St Albans Park,2037.0,[[5099.72619048]],,,
29,St Albans Park,2038.0,[[5106.42857143]],,,
30,St Albans Park,2039.0,[[5113.13095238]],,,
31,St Albans Park,2040.0,[[5119.83333333]],,,
32,St Albans Park,2041.0,[[5126.53571429]],,,
33,St Albans Park,2042.0,[[5133.23809524]],,,
34,St Albans Park,2043.0,[[5139.94047619]],,,
35,St Albans Park,2044.0,[[5146.64285714]],,,
36,St Albans Park,2045.0,[[5153.3452381]],,,
37,St Albans Park,2046.0,[[5160.04761905]],,,
38,St Albans Park,2047.0,[[5166.75]],,,
39,St Albans Park,2048.0,[[5173.45238095]],,,
40,St Albans Park,2049.0,[[5180.1547619]],,,
