,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,St Leonards,2012.0,3233.0,,,
1,St Leonards,2013.0,3343.0,,,
2,St Leonards,2014.0,3440.0,,,
3,St Leonards,2015.0,3534.0,,,
4,St Leonards,2016.0,3671.0,,,
5,St Leonards,2017.0,3777.0,,,
6,St Leonards,2018.0,3871.0,,,
7,St Leonards,2019.0,3961.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,St Leonards,2020.0,[[4079.67857143]],,,
12,St Leonards,2021.0,[[4185.44047619]],,,
13,St Leonards,2022.0,[[4291.20238095]],,,
14,St Leonards,2023.0,[[4396.96428571]],,,
15,St Leonards,2024.0,[[4502.72619048]],,,
16,St Leonards,2025.0,[[4608.48809524]],,,
17,St Leonards,2026.0,[[4714.25]],,,
18,St Leonards,2027.0,[[4820.01190476]],,,
19,St Leonards,2028.0,[[4925.77380952]],,,
20,St Leonards,2029.0,[[5031.53571429]],,,
21,St Leonards,2030.0,[[5137.29761905]],,,
22,St Leonards,2031.0,[[5243.05952381]],,,
23,St Leonards,2032.0,[[5348.82142857]],,,
24,St Leonards,2033.0,[[5454.58333333]],,,
25,St Leonards,2034.0,[[5560.3452381]],,,
26,St Leonards,2035.0,[[5666.10714286]],,,
27,St Leonards,2036.0,[[5771.86904762]],,,
28,St Leonards,2037.0,[[5877.63095238]],,,
29,St Leonards,2038.0,[[5983.39285714]],,,
30,St Leonards,2039.0,[[6089.1547619]],,,
31,St Leonards,2040.0,[[6194.91666667]],,,
32,St Leonards,2041.0,[[6300.67857143]],,,
33,St Leonards,2042.0,[[6406.44047619]],,,
34,St Leonards,2043.0,[[6512.20238095]],,,
35,St Leonards,2044.0,[[6617.96428571]],,,
36,St Leonards,2045.0,[[6723.72619048]],,,
37,St Leonards,2046.0,[[6829.48809524]],,,
38,St Leonards,2047.0,[[6935.25]],,,
39,St Leonards,2048.0,[[7041.01190476]],,,
40,St Leonards,2049.0,[[7146.77380952]],,,
