,Suburb,Year,Population,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Whittingtons,2012.0,4104.0,,,
1,Whittingtons,2013.0,4117.0,,,
2,Whittingtons,2014.0,4028.0,,,
3,Whittingtons,2015.0,3965.0,,,
4,Whittingtons,2016.0,3953.0,,,
5,Whittingtons,2017.0,3956.0,,,
6,Whittingtons,2018.0,3928.0,,,
7,Whittingtons,2019.0,3949.0,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,Whittingtons,2020.0,[[3879.03571429]],,,
12,Whittingtons,2021.0,[[3852.1547619]],,,
13,Whittingtons,2022.0,[[3825.27380952]],,,
14,Whittingtons,2023.0,[[3798.39285714]],,,
15,Whittingtons,2024.0,[[3771.51190476]],,,
16,Whittingtons,2025.0,[[3744.63095238]],,,
17,Whittingtons,2026.0,[[3717.75]],,,
18,Whittingtons,2027.0,[[3690.86904762]],,,
19,Whittingtons,2028.0,[[3663.98809524]],,,
20,Whittingtons,2029.0,[[3637.10714286]],,,
21,Whittingtons,2030.0,[[3610.22619048]],,,
22,Whittingtons,2031.0,[[3583.3452381]],,,
23,Whittingtons,2032.0,[[3556.46428571]],,,
24,Whittingtons,2033.0,[[3529.58333333]],,,
25,Whittingtons,2034.0,[[3502.70238095]],,,
26,Whittingtons,2035.0,[[3475.82142857]],,,
27,Whittingtons,2036.0,[[3448.94047619]],,,
28,Whittingtons,2037.0,[[3422.05952381]],,,
29,Whittingtons,2038.0,[[3395.17857143]],,,
30,Whittingtons,2039.0,[[3368.29761905]],,,
31,Whittingtons,2040.0,[[3341.41666667]],,,
32,Whittingtons,2041.0,[[3314.53571429]],,,
33,Whittingtons,2042.0,[[3287.6547619]],,,
34,Whittingtons,2043.0,[[3260.77380952]],,,
35,Whittingtons,2044.0,[[3233.89285714]],,,
36,Whittingtons,2045.0,[[3207.01190476]],,,
37,Whittingtons,2046.0,[[3180.13095238]],,,
38,Whittingtons,2047.0,[[3153.25]],,,
39,Whittingtons,2048.0,[[3126.36904762]],,,
40,Whittingtons,2049.0,[[3099.48809524]],,,
