,Suburb,Year,Population
0,Barwon Heads,2012,4126.0
1,Barwon Heads,2013,4207.0
2,Barwon Heads,2014,4349.0
3,Barwon Heads,2015,4548.0
4,Barwon Heads,2016,4761.0
5,Barwon Heads,2017,4833.0
6,Barwon Heads,2018,4951.0
7,Barwon Heads,2019,5106.0
8,Barwon Heads,2020,[[5266.10714286]]
9,Barwon Heads,2021,[[5411.88095238]]
10,Barwon Heads,2022,[[5557.6547619]]
11,Barwon Heads,2023,[[5703.42857143]]
12,Barwon Heads,2024,[[5849.20238095]]
13,Barwon Heads,2025,[[5994.97619048]]
14,Barwon Heads,2026,[[6140.75]]
15,Barwon Heads,2027,[[6286.52380952]]
16,Barwon Heads,2028,[[6432.29761905]]
17,Barwon Heads,2029,[[6578.07142857]]
18,Barwon Heads,2030,[[6723.8452381]]
19,Barwon Heads,2031,[[6869.61904762]]
20,Barwon Heads,2032,[[7015.39285714]]
21,Barwon Heads,2033,[[7161.16666667]]
22,Barwon Heads,2034,[[7306.94047619]]
23,Barwon Heads,2035,[[7452.71428571]]
24,Barwon Heads,2036,[[7598.48809524]]
25,Barwon Heads,2037,[[7744.26190476]]
26,Barwon Heads,2038,[[7890.03571429]]
27,Barwon Heads,2039,[[8035.80952381]]
28,Barwon Heads,2040,[[8181.58333333]]
29,Barwon Heads,2041,[[8327.35714286]]
30,Barwon Heads,2042,[[8473.13095238]]
31,Barwon Heads,2043,[[8618.9047619]]
32,Barwon Heads,2044,[[8764.67857143]]
33,Barwon Heads,2045,[[8910.45238095]]
34,Barwon Heads,2046,[[9056.22619048]]
35,Barwon Heads,2047,[[9202.]]
36,Barwon Heads,2048,[[9347.77380952]]
37,Barwon Heads,2049,[[9493.54761905]]
