,Suburb,Year,Population
0,Bell Park,2012,4995.0
1,Bell Park,2013,5017.0
2,Bell Park,2014,5048.0
3,Bell Park,2015,5108.0
4,Bell Park,2016,5153.0
5,Bell Park,2017,5225.0
6,Bell Park,2018,5282.0
7,Bell Park,2019,5423.0
8,Bell Park,2020,[[5418.71428571]]
9,Bell Park,2021,[[5477.01190476]]
10,Bell Park,2022,[[5535.30952381]]
11,Bell Park,2023,[[5593.60714286]]
12,Bell Park,2024,[[5651.9047619]]
13,Bell Park,2025,[[5710.20238095]]
14,Bell Park,2026,[[5768.5]]
15,Bell Park,2027,[[5826.79761905]]
16,Bell Park,2028,[[5885.0952381]]
17,Bell Park,2029,[[5943.39285714]]
18,Bell Park,2030,[[6001.69047619]]
19,Bell Park,2031,[[6059.98809524]]
20,Bell Park,2032,[[6118.28571429]]
21,Bell Park,2033,[[6176.58333333]]
22,Bell Park,2034,[[6234.88095238]]
23,Bell Park,2035,[[6293.17857143]]
24,Bell Park,2020,[[5418.71428571]]
25,Bell Park,2021,[[5477.01190476]]
26,Bell Park,2022,[[5535.30952381]]
27,Bell Park,2023,[[5593.60714286]]
28,Bell Park,2024,[[5651.9047619]]
29,Bell Park,2025,[[5710.20238095]]
30,Bell Park,2026,[[5768.5]]
31,Bell Park,2027,[[5826.79761905]]
32,Bell Park,2028,[[5885.0952381]]
33,Bell Park,2029,[[5943.39285714]]
34,Bell Park,2030,[[6001.69047619]]
35,Bell Park,2031,[[6059.98809524]]
36,Bell Park,2032,[[6118.28571429]]
37,Bell Park,2033,[[6176.58333333]]
38,Bell Park,2034,[[6234.88095238]]
39,Bell Park,2035,[[6293.17857143]]
40,Bell Park,2036,[[6351.47619048]]
41,Bell Park,2037,[[6409.77380952]]
42,Bell Park,2038,[[6468.07142857]]
43,Bell Park,2039,[[6526.36904762]]
44,Bell Park,2040,[[6584.66666667]]
45,Bell Park,2041,[[6642.96428571]]
46,Bell Park,2042,[[6701.26190476]]
47,Bell Park,2043,[[6759.55952381]]
48,Bell Park,2044,[[6817.85714286]]
49,Bell Park,2045,[[6876.1547619]]
50,Bell Park,2046,[[6934.45238095]]
51,Bell Park,2047,[[6992.75]]
52,Bell Park,2048,[[7051.04761905]]
53,Bell Park,2049,[[7109.3452381]]
