,Suburb,Year,Population
0,Bell post Hill,2012,5101.0
1,Bell post Hill,2013,5039.0
2,Bell post Hill,2014,4985.0
3,Bell post Hill,2015,4984.0
4,Bell post Hill,2016,5058.0
5,Bell post Hill,2017,5093.0
6,Bell post Hill,2018,5146.0
7,Bell post Hill,2019,5223.0
8,Bell Post Hill,2020,[[5174.35714286]]
9,Bell Post Hill,2021,[[5195.63095238]]
10,Bell Post Hill,2022,[[5216.9047619]]
11,Bell Post Hill,2023,[[5238.17857143]]
12,Bell Post Hill,2024,[[5259.45238095]]
13,Bell Post Hill,2025,[[5280.72619048]]
14,Bell Post Hill,2026,[[5302.]]
15,Bell Post Hill,2027,[[5323.27380952]]
16,Bell Post Hill,2028,[[5344.54761905]]
17,Bell Post Hill,2029,[[5365.82142857]]
18,Bell Post Hill,2030,[[5387.0952381]]
19,Bell Post Hill,2031,[[5408.36904762]]
20,Bell Post Hill,2032,[[5429.64285714]]
21,Bell Post Hill,2033,[[5450.91666667]]
22,Bell Post Hill,2034,[[5472.19047619]]
23,Bell Post Hill,2035,[[5493.46428571]]
24,Bell Post Hill,2036,[[5514.73809524]]
25,Bell Post Hill,2037,[[5536.01190476]]
26,Bell Post Hill,2038,[[5557.28571429]]
27,Bell Post Hill,2039,[[5578.55952381]]
28,Bell Post Hill,2040,[[5599.83333333]]
29,Bell Post Hill,2041,[[5621.10714286]]
30,Bell Post Hill,2042,[[5642.38095238]]
31,Bell Post Hill,2043,[[5663.6547619]]
32,Bell Post Hill,2044,[[5684.92857143]]
33,Bell Post Hill,2045,[[5706.20238095]]
34,Bell Post Hill,2046,[[5727.47619048]]
35,Bell Post Hill,2047,[[5748.75]]
36,Bell Post Hill,2048,[[5770.02380952]]
37,Bell Post Hill,2049,[[5791.29761905]]
