,Suburb,Year,Population
0,Belmont,2012,13988.0
1,Belmont,2013,14016.0
2,Belmont,2014,14092.0
3,Belmont,2015,14172.0
4,Belmont,2016,14341.0
5,Belmont,2017,14554.0
6,Belmont,2018,14647.0
7,Belmont,2019,14805.0
8,Belmont,2020,[[14885.57142857]]
9,Belmont,2021,[[15009.72619048]]
10,Belmont,2022,[[15133.88095238]]
11,Belmont,2023,[[15258.03571429]]
12,Belmont,2024,[[15382.19047619]]
13,Belmont,2025,[[15506.3452381]]
14,Belmont,2026,[[15630.5]]
15,Belmont,2027,[[15754.6547619]]
16,Belmont,2028,[[15878.80952381]]
17,Belmont,2029,[[16002.96428571]]
18,Belmont,2030,[[16127.11904762]]
19,Belmont,2031,[[16251.27380952]]
20,Belmont,2032,[[16375.42857143]]
21,Belmont,2033,[[16499.58333333]]
22,Belmont,2034,[[16623.73809524]]
23,Belmont,2035,[[16747.89285714]]
24,Belmont,2036,[[16872.04761905]]
25,Belmont,2037,[[16996.20238095]]
26,Belmont,2038,[[17120.35714286]]
27,Belmont,2039,[[17244.51190476]]
28,Belmont,2040,[[17368.66666667]]
29,Belmont,2041,[[17492.82142857]]
30,Belmont,2042,[[17616.97619048]]
31,Belmont,2043,[[17741.13095238]]
32,Belmont,2044,[[17865.28571429]]
33,Belmont,2045,[[17989.44047619]]
34,Belmont,2046,[[18113.5952381]]
35,Belmont,2047,[[18237.75]]
36,Belmont,2048,[[18361.9047619]]
37,Belmont,2049,[[18486.05952381]]
