Suburb,Year,Population
Armstrong Creek,2012,1521.00
Armstrong Creek,2013,2515.00
Armstrong Creek,2014,3515.00
Armstrong Creek,2015,4524.00
Armstrong Creek,2016,5561.00
Armstrong Creek,2017,6889.00
Armstrong Creek,2018,8496.00
Armstrong Creek,2019,10056.00
Armstrong Creek,2020,10785.10714
Armstrong Creek,2021,11985.21
Armstrong Creek,2022,13185.32
Armstrong Creek,2023,14385.43
Armstrong Creek,2024,15585.54
Armstrong Creek,2025,16785.64
Armstrong Creek,2026,17985.75
Armstrong Creek,2027,19185.86
Armstrong Creek,2028,20385.96
Armstrong Creek,2029,21586.07
Armstrong Creek,2030,22786.18
Armstrong Creek,2031,23986.29
Armstrong Creek,2032,25186.39
Armstrong Creek,2033,26386.50
Armstrong Creek,2034,27586.61
Armstrong Creek,2035,28786.71
Armstrong Creek,2036,29986.82
Armstrong Creek,2037,31186.93
Armstrong Creek,2038,32387.04
Armstrong Creek,2039,33587.14
Armstrong Creek,2040,34787.25
Armstrong Creek,2041,35987.36
Armstrong Creek,2042,37187.46
Armstrong Creek,2043,38387.57
Armstrong Creek,2044,39587.68
Armstrong Creek,2045,40787.79
Armstrong Creek,2046,41987.89
Armstrong Creek,2047,43188.00
Armstrong Creek,2048,44388.11
Armstrong Creek,2049,45588.21
Barwon Heads,2012,4126.00
Barwon Heads,2013,4207.00
Barwon Heads,2014,4349.00
Barwon Heads,2015,4548.00
Barwon Heads,2016,4761.00
Barwon Heads,2017,4833.00
Barwon Heads,2018,4951.00
Barwon Heads,2019,5106.00
Barwon Heads,2020,5266.11
Barwon Heads,2021,5411.88
Barwon Heads,2022,5557.65
Barwon Heads,2023,5703.43
Barwon Heads,2024,5849.20
Barwon Heads,2025,5994.98
Barwon Heads,2026,6140.75
Barwon Heads,2027,6286.52
Barwon Heads,2028,6432.30
Barwon Heads,2029,6578.07
Barwon Heads,2030,6723.85
Barwon Heads,2031,6869.62
Barwon Heads,2032,7015.39
Barwon Heads,2033,7161.17
Barwon Heads,2034,7306.94
Barwon Heads,2035,7452.71
Barwon Heads,2036,7598.49
Barwon Heads,2037,7744.26
Barwon Heads,2038,7890.04
Barwon Heads,2039,8035.81
Barwon Heads,2040,8181.58
Barwon Heads,2041,8327.36
Barwon Heads,2042,8473.13
Barwon Heads,2043,8618.90
Barwon Heads,2044,8764.68
Barwon Heads,2045,8910.45
Barwon Heads,2046,9056.23
Barwon Heads,2047,9202.00
Barwon Heads,2048,9347.77
Barwon Heads,2049,9493.55
Bell Park,2012,4995.00
Bell Park,2013,5017.00
Bell Park,2014,5048.00
Bell Park,2015,5108.00
Bell Park,2016,5153.00
Bell Park,2017,5225.00
Bell Park,2018,5282.00
Bell Park,2019,5423.00
Bell Park,2020,5418.71
Bell Park,2021,5477.01
Bell Park,2022,5535.31
Bell Park,2023,5593.61
Bell Park,2024,5651.90
Bell Park,2025,5710.20
Bell Park,2026,5768.50
Bell Park,2027,5826.80
Bell Park,2028,5885.10
Bell Park,2029,5943.39
Bell Park,2030,6001.69
Bell Park,2031,6059.99
Bell Park,2032,6118.29
Bell Park,2033,6176.58
Bell Park,2034,6234.88
Bell Park,2035,6293.18
Bell Park,2020,5418.71
Bell Park,2021,5477.01
Bell Park,2022,5535.31
Bell Park,2023,5593.61
Bell Park,2024,5651.90
Bell Park,2025,5710.20
Bell Park,2026,5768.50
Bell Park,2027,5826.80
Bell Park,2028,5885.10
Bell Park,2029,5943.39
Bell Park,2030,6001.69
Bell Park,2031,6059.99
Bell Park,2032,6118.29
Bell Park,2033,6176.58
Bell Park,2034,6234.88
Bell Park,2035,6293.18
Bell Park,2036,6351.48
Bell Park,2037,6409.77
Bell Park,2038,6468.07
Bell Park,2039,6526.37
Bell Park,2040,6584.67
Bell Park,2041,6642.96
Bell Park,2042,6701.26
Bell Park,2043,6759.56
Bell Park,2044,6817.86
Bell Park,2045,6876.15
Bell Park,2046,6934.45
Bell Park,2047,6992.75
Bell Park,2048,7051.05
Bell Park,2049,7109.35
Bell post Hill,2012,5101.00
Bell post Hill,2013,5039.00
Bell post Hill,2014,4985.00
Bell post Hill,2015,4984.00
Bell post Hill,2016,5058.00
Bell post Hill,2017,5093.00
Bell post Hill,2018,5146.00
Bell post Hill,2019,5223.00
Bell Post Hill,2020,5174.36
