,Suburb,Year,Population
0,East Geelong,2012,3931.0
1,East Geelong,2013,3953.0
2,East Geelong,2014,3964.0
3,East Geelong,2015,3979.0
4,East Geelong,2016,3980.0
5,East Geelong,2017,4012.0
6,East Geelong,2018,4027.0
7,East Geelong,2019,4067.0
8,East Geelong,2020,[[4067.71428571]]
9,East Geelong,2021,[[4085.17857143]]
10,East Geelong,2022,[[4102.64285714]]
11,East Geelong,2023,[[4120.10714286]]
12,East Geelong,2024,[[4137.57142857]]
13,East Geelong,2025,[[4155.03571429]]
14,East Geelong,2026,[[4172.5]]
15,East Geelong,2027,[[4189.96428571]]
16,East Geelong,2028,[[4207.42857143]]
17,East Geelong,2029,[[4224.89285714]]
18,East Geelong,2030,[[4242.35714286]]
19,East Geelong,2031,[[4259.82142857]]
20,East Geelong,2032,[[4277.28571429]]
21,East Geelong,2033,[[4294.75]]
22,East Geelong,2034,[[4312.21428571]]
23,East Geelong,2035,[[4329.67857143]]
24,East Geelong,2036,[[4347.14285714]]
25,East Geelong,2037,[[4364.60714286]]
26,East Geelong,2038,[[4382.07142857]]
27,East Geelong,2039,[[4399.53571429]]
28,East Geelong,2040,[[4417.]]
29,East Geelong,2041,[[4434.46428571]]
30,East Geelong,2042,[[4451.92857143]]
31,East Geelong,2043,[[4469.39285714]]
32,East Geelong,2044,[[4486.85714286]]
33,East Geelong,2045,[[4504.32142857]]
34,East Geelong,2046,[[4521.78571429]]
35,East Geelong,2047,[[4539.25]]
36,East Geelong,2048,[[4556.71428571]]
37,East Geelong,2049,[[4574.17857143]]
