,Suburb,Year,Population
0,Grovedale,2012,14156.0
1,Grovedale,2013,13939.0
2,Grovedale,2014,13748.0
3,Grovedale,2015,14000.0
4,Grovedale,2016,14616.0
5,Grovedale,2017,15001.0
6,Grovedale,2018,15161.0
7,Grovedale,2019,15409.0
8,Grovedale,2020,[[15535.32142857]]
9,Grovedale,2021,[[15764.55952381]]
10,Grovedale,2022,[[15993.79761905]]
11,Grovedale,2023,[[16223.03571429]]
12,Grovedale,2024,[[16452.27380952]]
13,Grovedale,2025,[[16681.51190476]]
14,Grovedale,2026,[[16910.75]]
15,Grovedale,2027,[[17139.98809524]]
16,Grovedale,2028,[[17369.22619048]]
17,Grovedale,2029,[[17598.46428571]]
18,Grovedale,2030,[[17827.70238095]]
19,Grovedale,2031,[[18056.94047619]]
20,Grovedale,2032,[[18286.17857143]]
21,Grovedale,2033,[[18515.41666667]]
22,Grovedale,2034,[[18744.6547619]]
23,Grovedale,2035,[[18973.89285714]]
24,Grovedale,2036,[[19203.13095238]]
25,Grovedale,2037,[[19432.36904762]]
26,Grovedale,2038,[[19661.60714286]]
27,Grovedale,2039,[[19890.8452381]]
28,Grovedale,2040,[[20120.08333333]]
29,Grovedale,2041,[[20349.32142857]]
30,Grovedale,2042,[[20578.55952381]]
31,Grovedale,2043,[[20807.79761905]]
32,Grovedale,2044,[[21037.03571429]]
33,Grovedale,2045,[[21266.27380952]]
34,Grovedale,2046,[[21495.51190476]]
35,Grovedale,2047,[[21724.75]]
36,Grovedale,2048,[[21953.98809524]]
37,Grovedale,2049,[[22183.22619048]]
