,Suburb,Year,Population
0,Hamlyn Heights,2012,6206.0
1,Hamlyn Heights,2013,6278.0
2,Hamlyn Heights,2014,6271.0
3,Hamlyn Heights,2015,6310.0
4,Hamlyn Heights,2016,6480.0
5,Hamlyn Heights,2017,6510.0
6,Hamlyn Heights,2018,6649.0
7,Hamlyn Heights,2019,6734.0
8,Hamlyn Heights,2020,[[6774.64285714]]
9,Hamlyn Heights,2021,[[6851.28571429]]
10,Hamlyn Heights,2022,[[6927.92857143]]
11,Hamlyn Heights,2023,[[7004.57142857]]
12,Hamlyn Heights,2024,[[7081.21428571]]
13,Hamlyn Heights,2025,[[7157.85714286]]
14,Hamlyn Heights,2026,[[7234.5]]
15,Hamlyn Heights,2027,[[7311.14285714]]
16,Hamlyn Heights,2028,[[7387.78571429]]
17,Hamlyn Heights,2029,[[7464.42857143]]
18,Hamlyn Heights,2030,[[7541.07142857]]
19,Hamlyn Heights,2031,[[7617.71428571]]
20,Hamlyn Heights,2032,[[7694.35714286]]
21,Hamlyn Heights,2033,[[7771.]]
22,Hamlyn Heights,2034,[[7847.64285714]]
23,Hamlyn Heights,2035,[[7924.28571429]]
24,Hamlyn Heights,2036,[[8000.92857143]]
25,Hamlyn Heights,2037,[[8077.57142857]]
26,Hamlyn Heights,2038,[[8154.21428571]]
27,Hamlyn Heights,2039,[[8230.85714286]]
28,Hamlyn Heights,2040,[[8307.5]]
29,Hamlyn Heights,2041,[[8384.14285714]]
30,Hamlyn Heights,2042,[[8460.78571429]]
31,Hamlyn Heights,2043,[[8537.42857143]]
32,Hamlyn Heights,2044,[[8614.07142857]]
33,Hamlyn Heights,2045,[[8690.71428571]]
34,Hamlyn Heights,2046,[[8767.35714286]]
35,Hamlyn Heights,2047,[[8844.]]
36,Hamlyn Heights,2048,[[8920.64285714]]
37,Hamlyn Heights,2049,[[8997.28571429]]
