,Suburb,Year,Population
0,Herne Hill,2012,3655.0
1,Herne Hill,2013,3602.0
2,Herne Hill,2014,3597.0
3,Herne Hill,2015,3618.0
4,Herne Hill,2016,3703.0
5,Herne Hill,2017,3765.0
6,Herne Hill,2018,3811.0
7,Herne Hill,2019,3854.0
8,Herne Hill,2020,[[3862.78571429]]
9,Herne Hill,2021,[[3898.82142857]]
10,Herne Hill,2022,[[3934.85714286]]
11,Herne Hill,2023,[[3970.89285714]]
12,Herne Hill,2024,[[4006.92857143]]
13,Herne Hill,2025,[[4042.96428571]]
14,Herne Hill,2026,[[4079.]]
15,Herne Hill,2027,[[4115.03571429]]
16,Herne Hill,2028,[[4151.07142857]]
17,Herne Hill,2029,[[4187.10714286]]
18,Herne Hill,2030,[[4223.14285714]]
19,Herne Hill,2031,[[4259.17857143]]
20,Herne Hill,2032,[[4295.21428571]]
21,Herne Hill,2033,[[4331.25]]
22,Herne Hill,2034,[[4367.28571429]]
23,Herne Hill,2035,[[4403.32142857]]
24,Herne Hill,2036,[[4439.35714286]]
25,Herne Hill,2037,[[4475.39285714]]
26,Herne Hill,2038,[[4511.42857143]]
27,Herne Hill,2039,[[4547.46428571]]
28,Herne Hill,2040,[[4583.5]]
29,Herne Hill,2041,[[4619.53571429]]
30,Herne Hill,2042,[[4655.57142857]]
31,Herne Hill,2043,[[4691.60714286]]
32,Herne Hill,2044,[[4727.64285714]]
33,Herne Hill,2045,[[4763.67857143]]
34,Herne Hill,2046,[[4799.71428571]]
35,Herne Hill,2047,[[4835.75]]
36,Herne Hill,2048,[[4871.78571429]]
37,Herne Hill,2049,[[4907.82142857]]
