,Suburb,Year,Population
0,Highton,2012,19517.0
1,Highton,2013,20186.0
2,Highton,2014,20806.0
3,Highton,2015,21262.0
4,Highton,2016,21643.0
5,Highton,2017,21899.0
6,Highton,2018,22274.0
7,Highton,2019,22606.0
8,Highton,2020,[[23187.85714286]]
9,Highton,2021,[[23613.13095238]]
10,Highton,2022,[[24038.4047619]]
11,Highton,2023,[[24463.67857143]]
12,Highton,2024,[[24888.95238095]]
13,Highton,2025,[[25314.22619048]]
14,Highton,2026,[[25739.5]]
15,Highton,2027,[[26164.77380952]]
16,Highton,2028,[[26590.04761905]]
17,Highton,2029,[[27015.32142857]]
18,Highton,2030,[[27440.5952381]]
19,Highton,2031,[[27865.86904762]]
20,Highton,2032,[[28291.14285714]]
21,Highton,2033,[[28716.41666667]]
22,Highton,2034,[[29141.69047619]]
23,Highton,2035,[[29566.96428571]]
24,Highton,2036,[[29992.23809524]]
25,Highton,2037,[[30417.51190476]]
26,Highton,2038,[[30842.78571429]]
27,Highton,2039,[[31268.05952381]]
28,Highton,2040,[[31693.33333333]]
29,Highton,2041,[[32118.60714286]]
30,Highton,2042,[[32543.88095238]]
31,Highton,2043,[[32969.1547619]]
32,Highton,2044,[[33394.42857143]]
33,Highton,2045,[[33819.70238095]]
34,Highton,2046,[[34244.97619048]]
35,Highton,2047,[[34670.25]]
36,Highton,2048,[[35095.52380952]]
37,Highton,2049,[[35520.79761905]]
