,Suburb,Year,Population
0,Lara,2012,14817.0
1,Lara,2013,15372.0
2,Lara,2014,15815.0
3,Lara,2015,16249.0
4,Lara,2016,16800.0
5,Lara,2017,17404.0
6,Lara,2018,18049.0
7,Lara,2019,18589.0
8,Lara,2020,[[19053.32142857]]
9,Lara,2021,[[19590.30952381]]
10,Lara,2022,[[20127.29761905]]
11,Lara,2023,[[20664.28571429]]
12,Lara,2024,[[21201.27380952]]
13,Lara,2025,[[21738.26190476]]
14,Lara,2026,[[22275.25]]
15,Lara,2027,[[22812.23809524]]
16,Lara,2028,[[23349.22619048]]
17,Lara,2029,[[23886.21428571]]
18,Lara,2030,[[24423.20238095]]
19,Lara,2031,[[24960.19047619]]
20,Lara,2032,[[25497.17857143]]
21,Lara,2033,[[26034.16666667]]
22,Lara,2034,[[26571.1547619]]
23,Lara,2035,[[27108.14285714]]
24,Lara,2036,[[27645.13095238]]
25,Lara,2037,[[28182.11904762]]
26,Lara,2038,[[28719.10714286]]
27,Lara,2039,[[29256.0952381]]
28,Lara,2040,[[29793.08333333]]
29,Lara,2041,[[30330.07142857]]
30,Lara,2042,[[30867.05952381]]
31,Lara,2043,[[31404.04761905]]
32,Lara,2044,[[31941.03571429]]
33,Lara,2045,[[32478.02380952]]
34,Lara,2046,[[33015.01190476]]
35,Lara,2047,[[33552.]]
36,Lara,2048,[[34088.98809524]]
37,Lara,2049,[[34625.97619048]]
